system:index,H2O,LEDAPS,O3,bkgd_BT,bkgd_TIR,cloud_count,date,doy,lake_BT,lake_TIR,lake_count,lake_mean_rad,solar_z,valid_count,.geo
LC80810712013141LGN01,3.55,"{shadow_count=731.0, cloud_count=1500.0, water_count=674.0, snow_count=0.0, lake_SR={blue=0.30398931750741837, green=0.286661424332344, red=0.18411617210682515, nir=0.029502670623145367, swir1=0.008625370919881303, swir2=0.008822106824925817}}",0.254,21.50231027314157,8.832666693464853,1105.0,2013-05-21T22:51:31,141.95244686342593,26.35638250512667,9.506707772031712,1722.0,"{blue=139.55518909808384, green=110.26337115669193, red=61.81763533855551, nir=9.879929854682755, swir1=0.9200985731615017, swir2=0.2557228330766693, tir1=9.506707772031712, tir2=8.571914382099227}",45.388755798339844,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712013237LGN00,3.0,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.246,,,2952.0,2013-08-25T22:51:32,237.95245667824074,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.06155776977539,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712013301LGN00,3.0899993896484377,"{shadow_count=129.0, cloud_count=837.0, water_count=1711.0, snow_count=0.0, lake_SR={blue=0.2123341320864996, green=0.1962837521917002, red=0.12771145528930458, nir=0.030902980713033334, swir1=0.019933021624780847, swir2=0.01787463471654004}}",0.2695861344537815,19.979828586921595,8.625661146871035,679.0,2013-10-28T22:51:11,301.9522218865741,24.006727791834948,9.176433325926157,2093.0,"{blue=151.51186773369272, green=116.41285469438134, red=65.32815503496126, nir=12.055910368371226, swir1=1.5428433315209935, swir2=0.42581735175490965, tir1=9.176433325926157, tir2=8.424404380980262}",24.04034423828125,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712013317LGN00,4.0,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263556862745098,,,2952.0,2013-11-13T22:51:12,317.95222381944444,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.93016815185547,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712013333LGN00,4.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2638104166666667,,,2952.0,2013-11-29T22:51:06,333.9521595138889,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.24805450439453,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712013349LGN00,4.1399993896484375,"{shadow_count=228.0, cloud_count=179.0, water_count=2061.0, snow_count=0.0, lake_SR={blue=0.33001868025230474, green=0.310229936923823, red=0.19517409024745255, nir=0.029038039786511424, swir1=0.008852207666181484, swir2=0.009084716157205242}}",0.26376315789473687,21.16414408091746,8.786607465124689,786.0,2013-12-15T22:51:01,349.9520955671296,23.71914684335129,9.13632871179708,2126.0,"{blue=209.7838573039913, green=169.54160033555235, red=95.52884620928178, nir=14.69117122359757, swir1=1.1596260866398205, swir2=0.2852202909313027, tir1=9.13632871179708, tir2=8.210708087866426}",27.139240264892578,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712013365LGN00,3.0,"{shadow_count=17.0, cloud_count=2935.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25510714285714287,,,2952.0,2013-12-31T22:50:53,365.9520047685185,11.692645355563156,7.55484198293235,1262.0,"{blue=200.4706085565066, green=164.37247043368134, red=103.21020655370599, nir=33.89489168155991, swir1=4.287276839086359, swir2=1.1510217468453152, tir1=7.55484198293235, tir2=6.828658267769855}",28.897663116455078,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014032LGN00,4.519999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25191041666666664,,,2952.0,2014-02-01T22:50:32,32.951765995370366,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.06783676147461,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014048LGN00,4.430000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.24995772058823532,,,2952.0,2014-02-17T22:50:18,48.951606284722224,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.810787200927734,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014080LGN00,3.6100006103515625,"{shadow_count=157.0, cloud_count=354.0, water_count=1962.0, snow_count=0.0, lake_SR={blue=0.1448241590214068, green=0.14308827726809378, red=0.10911692150866469, nir=0.024524617737003113, swir1=0.00948058103975533, swir2=0.007902038735983689}}",0.24751111111111113,18.88334635799933,8.478827939255293,449.0,2014-03-21T22:49:52,80.95130765046297,22.82826049692799,9.013043391291493,2182.0,"{blue=103.51885164337186, green=80.69788848565922, red=50.89678329289451, nir=8.544786328638073, swir1=0.6395251096294993, swir2=0.15733172010191704, tir1=9.013043391291493, tir2=8.249194601132148}",34.588172912597656,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014096LGN00,3.1600006103515623,"{shadow_count=383.0, cloud_count=1793.0, water_count=587.0, snow_count=0.0, lake_SR={blue=0.19107563884156747, green=0.18806269165247033, red=0.11917376490630331, nir=0.020695741056218058, swir1=0.008569846678023857, swir2=0.0068572402044293}}",0.25010714285714286,18.265475189476682,8.396759902056242,1207.0,2014-04-06T22:49:38,96.9511367824074,21.88097988338921,8.882805787135277,1524.0,"{blue=117.10809297924202, green=93.33597648935576, red=53.55262488730037, nir=9.622511825489438, swir1=0.9016809772262826, swir2=0.22615749747620706, tir1=8.882805787135277, tir2=8.152275946405835}",37.088130950927734,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014112LGN00,4.439999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25228541666666665,,,2952.0,2014-04-22T22:49:21,112.95094805555556,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.14773941040039,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014128LGN00,3.330000305175781,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2533946078431373,2.8376505234662224,6.503495792704223,2952.0,2014-05-08T22:49:06,128.95076554398148,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",43.35703659057617,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014144LGN00,4.310000610351563,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25280161943319834,14.007179953835227,7.844870445043356,2952.0,2014-05-24T22:49:00,144.95069503472223,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",46.180946350097656,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014160LGN00,3.9300003051757812,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2524188034188034,,,2652.0,2014-06-09T22:49:10,160.9508145138889,15.975617237580128,8.09735277796594,39.0,"{blue=80.35249077872588, green=60.48859778075264, red=41.689095279727226, nir=12.324396575490633, swir1=1.7268252285788408, swir2=0.5131014555092686, tir1=8.09735277796594, tir2=7.4823474707887865}",48.148616790771484,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014192LGN00,3.480000305175781,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25373333333333337,,,2952.0,2014-07-11T22:49:21,192.95093833333334,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.30326461791992,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014208LGN00,3.3,"{shadow_count=438.0, cloud_count=548.0, water_count=1594.0, snow_count=0.0, lake_SR={blue=0.24445809284818054, green=0.22498657465495595, red=0.13887785445420345, nir=0.03128550815558346, swir1=0.013909661229611053, swir2=0.01158726474278544}}",0.25655429864253393,11.959073043495488,7.5885948302676045,534.0,2014-07-27T22:49:24,208.95097721064815,17.59383362976555,8.309581283028031,2157.0,"{blue=120.98577563555442, green=93.46622453312104, red=51.73807643717746, nir=10.19666480847734, swir1=0.9811334349721818, swir2=0.25192716691279665, tir1=8.309581283028031, tir2=7.4517687992621875}",46.246036529541016,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014224LGN00,4.039999389648438,"{shadow_count=317.0, cloud_count=1776.0, water_count=750.0, snow_count=0.0, lake_SR={blue=0.2480285333333333, green=0.22870773333333386, red=0.1368141333333333, nir=0.01970240000000002, swir1=0.01100493333333333, swir2=0.010338799999999993}}",0.25639560439560444,16.414229706898176,8.154127478899373,1281.0,2014-08-12T22:49:32,224.95107266203703,20.217938263502795,8.658034114976443,1571.0,"{blue=127.65392167716603, green=98.78561214184155, red=54.322873213398964, nir=9.817376757356593, swir1=1.335101348717586, swir2=0.3714614100125129, tir1=8.658034114976443, tir2=7.868431174982606}",42.90943908691406,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014256LGN00,4.069999694824219,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.262,,,2952.0,2014-09-13T22:49:38,256.95113482638885,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.908477783203125,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
