system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT52320861984288AAA02,1.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,17422.0,1984-10-14T13:58:46,288.58248141203705,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",44.500064849853516,"{lake_TIR=null, bkgd_BT=-11.437742880796774, lake_BT=null, bkgd_TIR=4.9492375099573}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861985066XXX04,1.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,16435.0,1985-03-07T13:59:07,66.58272949074075,4.0,"{blue=115.62857842445374, green=97.6475578546524, red=73.4743145108223, nir=13.820414006710052, swir1=0.5025689098984003, swir2=0.11220473796129227, tir1=6.0832263473421335}",51.01973342895508,"{lake_TIR=6.0832263473421335, bkgd_BT=null, lake_BT=0.1908416748046875, bkgd_TIR=null}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986021XXX01,1.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,17022.0,1986-01-21T13:55:56,21.580515856481483,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.12501525878906,"{lake_TIR=null, bkgd_BT=28.06177297599702, lake_BT=null, bkgd_TIR=9.38282273759285}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986037AAA09,1.05,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,16802.0,1986-02-06T13:55:35,37.58027001157407,8.0,"{blue=56.80253726243973, green=39.139999479055405, red=23.232949003577232, nir=8.673775061964989, swir1=0.27690453734248877, swir2=0.07942914590239525, tir1=7.0522716119885445}",45.2534294128418,"{lake_TIR=7.0522716119885445, bkgd_BT=28.348958616445863, lake_BT=8.600658416748047, bkgd_TIR=9.418120208198129}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986053AAA14,1.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,15968.0,1986-02-22T13:55:12,53.58000855324074,65.0,"{blue=124.61935096153846, green=119.55547280311585, red=85.03033048923199, nir=25.06720994619223, swir1=0.6057958946778224, swir2=0.1979255171922537, tir1=8.065190134770596}",48.686641693115234,"{lake_TIR=8.122835904359818, bkgd_BT=27.870943426316785, lake_BT=17.898915608723957, bkgd_TIR=9.352079498130948}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986085XXX03,1.020001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.244,15912.0,1986-03-26T13:54:33,85.57955011574074,61.0,"{blue=108.48047361217562, green=96.04357181416184, red=68.77642059326172, nir=20.69217329533374, swir1=0.62637603014219, swir2=0.19709889444171405, tir1=8.058989362333152}",56.327919006347656,"{lake_TIR=8.142713755942308, bkgd_BT=null, lake_BT=18.208773099459133, bkgd_TIR=null}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986101XXX03,1.470001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,17422.0,1986-04-11T13:54:12,101.57931122685186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",60.39285659790039,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986117XXX04,1.970001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.242,16548.0,1986-04-27T13:53:49,117.57904976851852,147.0,"{blue=52.81275394335896, green=31.36642519470786, red=18.431190084437933, nir=7.154887117496153, swir1=0.09831753956014608, swir2=0.021235747757006665, tir1=6.056669421722086}",64.38120651245117,"{lake_TIR=6.056669421722086, bkgd_BT=-0.124725341796875, lake_BT=-0.33647830470078655, bkgd_TIR=6.050505338406021}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986197AAA03,0.670001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.341,14027.0,1986-07-16T13:51:24,197.57736828703705,1210.0,"{blue=56.7355421129337, green=31.870605407174953, red=18.37479176275001, nir=7.310327508922451, swir1=0.0959005739447499, swir2=0.018049400773915376, tir1=4.616043764836163}",71.96619033813477,"{lake_TIR=4.616043764836163, bkgd_BT=-11.853426846590908, lake_BT=-15.110775164139172, bkgd_TIR=4.907787026329474}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
LT52320861986213XXX03,2.1600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.339,17422.0,1986-08-01T13:50:50,213.5769753587963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",69.35967063903809,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=17422, green=17422, red=17422, nir=17422, swir1=17422, swir2=17422, tir1=17422}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-71.195902,-37.84440299999999],[-71.198387,-37.87849200000001],[-71.148475,-37.877386],[-71.150735,-37.843918],[-71.195902,-37.84440299999999]]]}"
