system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50700191985211XXX03,1.770001220703125,"{shadow_count=593.0, cloud_count=12353.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.324,11843.0,1985-07-30T20:50:36,211.86847554398148,337.0,"{blue=50.81054181514932, green=33.6677590697031, red=18.643867169006644, nir=7.5439774983007055, swir1=0.5196220830569281, swir2=0.14605015646721559, tir1=6.669254314508123}",43.54767990112305,"{lake_TIR=6.669254314508123, bkgd_BT=-0.7114127981703716, lake_BT=5.685167352240588, bkgd_TIR=5.990346427131252}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191985259XXX04,0.5399993896484375,"{shadow_count=2784.0, cloud_count=6688.0, water_count=2320.0, snow_count=1153.0, lake_SR={blue=0.13120875000000012, green=0.11499991379310294, red=0.07254521551724066, nir=0.04820909482758573, swir1=0.015037112068965651, swir2=0.011260948275862033}}",0.288,8296.0,1985-09-16T20:50:03,259.8680907291667,3353.0,"{blue=53.39181002666088, green=37.03947638512511, red=19.254637554798986, nir=7.66042366615879, swir1=0.4954169264039352, swir2=0.13494139979517072, tir1=6.501372000756386}",58.357242584228516,"{lake_TIR=6.501372000756386, bkgd_BT=-6.12080202355849, lake_BT=4.139924524650267, bkgd_TIR=5.450688482560547}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191985275XXX04,0.679998779296875,"{shadow_count=4390.0, cloud_count=5355.0, water_count=1955.0, snow_count=1235.0, lake_SR={blue=0.11686460358056258, green=0.09388342710997472, red=0.054475856777493885, nir=0.0348002046035803, swir1=0.005327774936061282, swir2=0.00340593350383628}}",0.368,7756.0,1985-10-02T20:49:53,275.8679801041667,4181.0,"{blue=43.177563866312155, green=26.65360862015252, red=13.45540812887435, nir=4.948815015165808, swir1=0.15445242441176685, swir2=0.0317277640132806, tir1=6.637396935184651}",64.20388412475586,"{lake_TIR=6.637396935184651, bkgd_BT=-6.099526523662181, lake_BT=5.3940751359269425, bkgd_TIR=5.451839723801064}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191985291XXX04,0.3100006103515625,"{shadow_count=0.0, cloud_count=12946.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.293,12946.0,1985-10-18T20:49:42,291.8678570486111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",69.97594261169434,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191986086XXX08,0.170001220703125,"{shadow_count=954.0, cloud_count=0.0, water_count=5273.0, snow_count=6681.0, lake_SR={blue=0.10900635311966671, green=0.08560024653897103, red=0.06075321448890626, nir=0.04446662241608266, swir1=0.007005954864404118, swir2=0.005492205575573523}}",0.434,7554.0,1986-03-27T20:46:37,86.8657115625,534.0,"{blue=54.086696213104304, green=34.02078929934162, red=18.389895442496524, nir=7.325699341877569, swir1=0.27527051317167195, swir2=0.07108180410462372, tir1=5.991040018795246}",58.85586357116699,"{lake_TIR=5.991040018795246, bkgd_BT=-18.0542719914363, lake_BT=-0.7051811646879389, bkgd_TIR=4.360412950687683}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191986118XXX09,0.4600006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=5468.0, snow_count=7478.0, lake_SR={blue=0.16660021945866885, green=0.12524817117776146, red=0.07490479151426524, nir=0.042072585954645095, swir1=0.0026971470373078066, swir2=0.002176682516459265}}",0.449,7548.0,1986-04-28T20:45:54,118.86520888888889,4909.0,"{blue=80.39533870723831, green=50.95506615628048, red=27.246404617933763, nir=10.517346222474973, swir1=0.26227090688204907, swir2=0.06281100602979499, tir1=6.195265949135929}",47.2650032043457,"{lake_TIR=6.195265949135929, bkgd_BT=-5.653299301706683, lake_BT=1.2621708192124002, bkgd_TIR=5.497595402065918}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191986166XXX03,1.320001220703125,"{shadow_count=1496.0, cloud_count=2432.0, water_count=4847.0, snow_count=4171.0, lake_SR={blue=0.13098019393439347, green=0.11379645141324454, red=0.07704924695688391, nir=0.056075510625128444, swir1=0.01200346606148177, swir2=0.009994594594594227}}",0.346,7511.0,1986-06-15T20:44:31,166.8642560300926,846.0,"{blue=88.10052336079573, green=62.2543570967149, red=33.706957172417475, nir=14.063753909534878, swir1=0.7210134451605609, swir2=0.19782419239410837, tir1=6.171327321757133}",38.88847351074219,"{lake_TIR=6.171327321757133, bkgd_BT=-3.1497506618095312, lake_BT=1.0353993445141658, bkgd_TIR=5.742395135516378}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191986182XXX02,2.129998779296875,"{shadow_count=0.0, cloud_count=12946.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.336,12946.0,1986-07-01T20:44:00,182.86389604166666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.39503860473633,"{lake_TIR=null, bkgd_BT=-13.73463416664812, lake_BT=null, bkgd_TIR=4.73809371735066}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191986198XXX03,1.4899993896484376,"{shadow_count=213.0, cloud_count=12733.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.283,12207.0,1986-07-17T20:43:27,198.86351790509258,98.0,"{blue=66.37424951183553, green=42.35781400057734, red=24.4926450483653, nir=9.92300266514019, swir1=0.7733661569654942, swir2=0.19180260439004218, tir1=6.531303837059104}",41.44878005981445,"{lake_TIR=6.531303837059104, bkgd_BT=0.1472321103061003, lake_BT=4.419495874521684, bkgd_TIR=6.078863846598361}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LT50700191986278XXX03,0.420001220703125,"{shadow_count=2603.0, cloud_count=102.0, water_count=4126.0, snow_count=6035.0, lake_SR={blue=0.11436497818710568, green=0.09118805138148321, red=0.05535290838584719, nir=0.033379641299078694, swir1=0.003826442074648496, swir2=0.0024587978671836504}}",0.302,6647.0,1986-10-05T20:40:42,278.8615974537037,5098.0,"{blue=37.66836778226204, green=23.583345544950873, red=11.643387441707153, nir=3.934646922707698, swir1=0.11115764118745637, swir2=0.02352162363009857, tir1=6.677524869001762}",65.67596054077148,"{lake_TIR=6.677524869001762, bkgd_BT=-4.500504218207466, lake_BT=5.750110582820852, bkgd_TIR=5.608591932005116}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
