system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40150531987352XXX01,3.3100006103515627,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.246,121.0,1987-12-18T15:16:48,352.63667314814813,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.13916015625,"{lake_TIR=null, lake_BT=null, bkgd_BT=3.1200417938463265, bkgd_TIR=6.475996498480642}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988003XXX03,3.3100006103515627,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.243,121.0,1988-01-03T15:17:28,3.6371401157407406,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.065799713134766,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988035XXX03,2.8399993896484377,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,121.0,1988-02-04T15:18:44,35.63801021990741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.837093353271484,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988083XXX04,2.419999694824219,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263,121.0,1988-03-23T15:20:16,83.63908136574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.476810455322266,"{lake_TIR=null, lake_BT=null, bkgd_BT=7.6890642112998755, bkgd_TIR=6.990431277376169}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988099XXX03,3.0399993896484374,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,121.0,1988-04-08T15:20:44,99.63940472222222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.99504470825195,"{lake_TIR=null, lake_BT=null, bkgd_BT=-6.167510885554615, bkgd_TIR=5.501768713036883}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988131XXX15,3.419999694824219,"{shadow_count=4.0, cloud_count=98.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.292,118.0,1988-05-10T15:21:40,131.64005288194446,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.6320915222168,"{lake_TIR=null, lake_BT=null, bkgd_BT=19.31400317680545, bkgd_TIR=8.404883225289423}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988259XXX03,4.569999694824219,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.293,121.0,1988-09-15T15:24:50,259.6422499305556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.25112533569336,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988275XXX03,3.480000305175781,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.285,121.0,1988-10-01T15:25:08,275.64245847222224,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.96229553222656,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.472270785245028, bkgd_TIR=7.080864739797332}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531988339XXX02,3.4100006103515623,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259,121.0,1988-12-04T15:26:13,339.6432115625,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.86640930175781,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
LT40150531989005XXX02,3.3100006103515627,"{shadow_count=0.0, cloud_count=121.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.261,121.0,1989-01-05T15:26:40,5.64352755787037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.52180099487305,"{lake_TIR=null, lake_BT=null, bkgd_BT=6.0279013893821025, bkgd_TIR=6.800571543249217}","{blue=121, green=121, red=121, nir=121, swir1=121, swir2=121, tir1=121}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-84.232233,10.19945],[-84.232212,10.196482],[-84.229152,10.196509000000004],[-84.229209,10.19948],[-84.232233,10.19945]]]}"
