system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40720871989100XXX02,1.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,508.0,1989-04-10T21:33:25,100.89821,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",60.2982063293457,"{lake_TIR=null, bkgd_BT=-11.210204333793826, lake_BT=null, bkgd_TIR=5.009285590634113}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871989164XXX06,1.479998779296875,"{shadow_count=15.0, cloud_count=53.0, water_count=254.0, snow_count=186.0, lake_SR={blue=0.2036586614173228, green=0.1911389763779528, red=0.15154488188976367, nir=0.059462992125984236, swir1=0.004849212598425198, swir2=0.0026992125984251925}}",0.309,265.0,1989-06-13T21:33:35,164.89833217592593,213.0,"{blue=43.10713579285313, green=31.669045538409776, red=22.068004518607413, nir=6.139784116140554, swir1=0.12209380848307005, swir2=0.019041799743410567, tir1=7.1266235759560495}",72.67589950561523,"{lake_TIR=7.1266235759560495, bkgd_BT=null, lake_BT=8.819654867682658, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871989180XXX06,0.8399993896484375,"{shadow_count=120.0, cloud_count=281.0, water_count=21.0, snow_count=18.0, lake_SR={blue=0.12705714285714287, green=0.10006190476190473, red=0.08569047619047619, nir=0.05225714285714284, swir1=0.0060761904761904755, swir2=0.005152380952380952}}",0.305,430.0,1989-06-29T21:33:41,180.89840155092594,32.0,"{blue=29.278044998645782, green=18.003995940089226, red=9.849274694919586, nir=3.1712515093386173, swir1=0.1654933411628008, swir2=0.041652302257716656, tir1=6.763288470567204}",73.0335578918457,"{lake_TIR=6.763288470567204, bkgd_BT=null, lake_BT=5.567892074584961, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871989196XXX01,1.2899993896484374,"{shadow_count=0.0, cloud_count=306.0, water_count=35.0, snow_count=25.0, lake_SR={blue=0.1368, green=0.10537142857142857, red=0.08660285714285713, nir=0.06753999999999999, swir1=0.016891428571428564, swir2=0.014054285714285715}}",0.345,454.0,1989-07-15T21:33:45,196.89844900462964,2.0,"{blue=31.421809673309326, green=19.83826756477356, red=11.889881134033203, nir=4.184153854846954, swir1=0.2553936839103699, swir2=0.14675195515155792, tir1=8.658118050545454}",71.85168838500977,"{lake_TIR=8.658118050545454, bkgd_BT=null, lake_BT=21.281723022460938, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871989212XXX03,1.429998779296875,"{shadow_count=58.0, cloud_count=450.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.327,508.0,1989-07-31T21:33:45,212.89844224537038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",69.12372016906738,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871990359XXX04,1.379998779296875,"{shadow_count=217.0, cloud_count=53.0, water_count=61.0, snow_count=103.0, lake_SR={blue=0.13220163934426232, green=0.1422770491803279, red=0.13221311475409836, nir=0.08298852459016395, swir1=0.027906557377049186, swir2=0.02565573770491803}}",0.281,420.0,1990-12-25T21:25:08,359.8924555324074,86.0,"{blue=147.85937853746637, green=130.85629731416702, red=95.41237724659055, nir=26.553315898706746, swir1=0.3150242449239243, swir2=0.08080707490444183, tir1=8.14880588819641}",39.009666442871094,"{lake_TIR=8.14880588819641, bkgd_BT=-0.2596216071141909, lake_BT=17.277539630268894, bkgd_TIR=6.109775532674912}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871991010XXX03,1.529998779296875,"{shadow_count=178.0, cloud_count=9.0, water_count=15.0, snow_count=150.0, lake_SR={blue=0.20541333333333336, green=0.21444000000000002, red=0.18869999999999995, nir=0.09938, swir1=0.019399999999999994, swir2=0.013720000000000001}}",0.279,475.0,1991-01-10T21:24:40,10.89213673611111,10.0,"{blue=138.53363199234008, green=120.42305338382721, red=89.34502277374267, nir=26.08474510908127, swir1=0.8307558774948121, swir2=0.18631888329982757, tir1=7.8385826267302035}",41.330562591552734,"{lake_TIR=7.8385826267302035, bkgd_BT=-0.35137607740319293, lake_BT=14.803277587890625, bkgd_TIR=6.100079308466419}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40720871992317XXX02,2.1399993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=26.0, snow_count=344.0, lake_SR={blue=0.31413076923076927, green=0.30398461538461546, red=0.24823846153846152, nir=0.11052307692307688, swir1=0.010026923076923076, swir2=0.003346153846153847}}",0.307,505.0,1992-11-12T21:11:36,317.8830614583333,130.0,"{blue=152.78664654218232, green=127.38045848332919, red=91.64016166100136, nir=29.319293971245106, swir1=0.5103618800640106, swir2=0.07928526997566224, tir1=7.5314698197807255}",41.85297393798828,"{lake_TIR=7.5314698197807255, bkgd_BT=-1.063965657118287, lake_BT=12.259928072415866, bkgd_TIR=6.024487386737615}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871989059XXX01,1.779998779296875,"{shadow_count=273.0, cloud_count=235.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.276,483.0,1989-02-28T21:39:19,59.902311087962964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",49.93034744262695,"{lake_TIR=null, bkgd_BT=-0.19597538815268986, lake_BT=null, bkgd_TIR=6.116520850105753}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871989091XXX02,1.629998779296875,"{shadow_count=8.0, cloud_count=49.0, water_count=102.0, snow_count=36.0, lake_SR={blue=0.044142156862745086, green=0.051929411764705856, red=0.05279411764705884, nir=0.05036274509803921, swir1=0.0330823529411765, swir2=0.03194803921568627}}",0.271,390.0,1989-04-01T21:39:25,91.90238065972223,8.0,"{blue=26.49751853942871, green=15.836220383644104, red=8.750486612319946, nir=3.6366390734910965, swir1=0.23975884169340134, swir2=0.0560777448117733, tir1=7.689072785899043}",57.9632568359375,"{lake_TIR=7.689072785899043, bkgd_BT=0.2351910400390625, lake_BT=13.569499969482422, bkgd_TIR=6.162964929118752}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871989155XXX06,1.129998779296875,"{shadow_count=0.0, cloud_count=372.0, water_count=15.0, snow_count=2.0, lake_SR={blue=0.16151333333333331, green=0.15472666666666665, red=0.13327333333333333, nir=0.07441999999999999, swir1=0.00952, swir2=0.00514}}",0.318,447.0,1989-06-04T21:39:51,155.9026766087963,28.0,"{blue=30.66982432774135, green=19.31418995772089, red=10.885274887084961, nir=3.5584226761545454, swir1=0.1526504350560052, swir2=0.04076911189726421, tir1=7.105667983713959}",71.82789993286133,"{lake_TIR=7.105667983713959, bkgd_BT=null, lake_BT=8.253202165876116, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871989331XXX01,2.0399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.315,508.0,1989-11-27T21:39:27,331.9024038425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.41257095336914,"{lake_TIR=null, bkgd_BT=-8.30302194960767, lake_BT=null, bkgd_TIR=5.290231352909152}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871989363XXX01,3.1600006103515623,"{shadow_count=281.0, cloud_count=94.0, water_count=11.0, snow_count=117.0, lake_SR={blue=0.06033636363636364, green=0.06957272727272727, red=0.07515454545454546, nir=0.0799818181818182, swir1=0.05059090909090909, swir2=0.04965454545454546}}",0.286,461.0,1989-12-29T21:39:11,363.90221466435185,11.0,"{blue=139.57097482681274, green=122.07238191908056, red=88.51393942399459, nir=29.469381939281117, swir1=1.5289226499470798, swir2=0.4614888836037029, tir1=6.558939477259463}",38.04730224609375,"{lake_TIR=6.558939477259463, bkgd_BT=-2.5115455421241553, lake_BT=3.8723949085582388, bkgd_TIR=5.872954749376388}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871990046XXX00,2.55,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,503.0,1990-02-15T21:38:37,46.9018184837963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.981170654296875,"{lake_TIR=null, bkgd_BT=1.3366771089857903, lake_BT=null, bkgd_TIR=6.2810480100629125}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871990334XXX03,2.230000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,508.0,1990-11-30T21:32:08,334.8973246412037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.65090560913086,"{lake_TIR=null, bkgd_BT=-1.4377846328200996, lake_BT=null, bkgd_TIR=5.985944760463233}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871990350XXX03,1.2399993896484376,"{shadow_count=182.0, cloud_count=60.0, water_count=18.0, snow_count=162.0, lake_SR={blue=0.07351666666666667, green=0.07843333333333331, red=0.07860555555555557, nir=0.07157222222222223, swir1=0.03691111111111112, swir2=0.03428888888888889}}",0.29,489.0,1990-12-16T21:31:35,350.8969351736111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.132843017578125,"{lake_TIR=null, bkgd_BT=-1.4555429607554706, lake_BT=null, bkgd_TIR=5.983427587089595}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT40730871992068XXX02,2.029998779296875,"{shadow_count=65.0, cloud_count=133.0, water_count=50.0, snow_count=25.0, lake_SR={blue=0.043539999999999995, green=0.048656, red=0.050878, nir=0.05341999999999999, swir1=0.023039999999999998, swir2=0.018371999999999993}}",0.285,409.0,1992-03-08T21:10:35,68.88235373842592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",56.924537658691406,"{lake_TIR=null, bkgd_BT=-1.084234619140625, lake_BT=null, bkgd_TIR=6.022314930707216}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
