system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80720202013110LGN01,0.3899993896484375,"{shadow_count=1407.0, cloud_count=7704.0, water_count=0.0, snow_count=134.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.418,9245.0,2013-04-20T21:35:20,110.89954258101852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",46.452362060546875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013158LGN00,1.1399993896484375,"{shadow_count=651.0, cloud_count=1144.0, water_count=3187.0, snow_count=2460.0, lake_SR={blue=0.08328857860056511, green=0.11729030436146867, red=0.0634384060244742, nir=0.019945873862566712, swir1=0.010150486350800085, swir2=0.009021870097270103}}",0.3768785714285714,5746.0,2013-06-07T21:35:34,158.89970925925925,2998.0,"{blue=71.18546445813375, green=64.53153128355208, red=30.053405278357985, nir=5.508426415114871, swir1=0.40164699874137383, swir2=0.0999325338557777, tir1=6.791829430630946, tir2=6.317698143470832}",35.63439178466797,"{lake_TIR=6.791829430630946, bkgd_BT=null, lake_BT=5.362752872439048, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013190LGN00,1.4899993896484376,"{shadow_count=48.0, cloud_count=0.0, water_count=5245.0, snow_count=14.0, lake_SR={blue=0.061015767397521306, green=0.07604469018112525, red=0.052147931363203004, nir=0.03677948522402292, swir1=0.0285168541468065, swir2=0.02809094375595806}}",0.329,3687.0,2013-07-09T21:35:32,190.89968359953704,2952.0,"{blue=65.98747079685421, green=53.69504332720639, red=25.960316271657444, nir=7.285064493281689, swir1=0.5239645517607479, swir2=0.10654807824611573, tir1=7.167525359521345, tir2=6.670878651501858}",36.52435302734375,"{lake_TIR=7.167525359521345, bkgd_BT=16.20549166229455, lake_BT=8.534882160383189, bkgd_TIR=8.127199301607833}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013206LGN00,2.8699996948242186,"{shadow_count=400.0, cloud_count=1768.0, water_count=2057.0, snow_count=0.0, lake_SR={blue=0.05074579484686439, green=0.07141871657754013, red=0.04253689839572191, nir=0.030926154594069045, swir1=0.03210165289256198, swir2=0.032454788526981034}}",0.314,6626.0,2013-07-25T21:35:31,206.8996740277778,1785.0,"{blue=56.945431144346145, green=46.278363634933946, red=19.392073508404216, nir=5.102957726160393, swir1=0.6293303066980699, swir2=0.15746169722200754, tir1=7.8540853638904355, tir2=7.215422045313284}",39.29974365234375,"{lake_TIR=7.8540853638904355, bkgd_BT=26.796035512792002, lake_BT=14.074337691619617, bkgd_TIR=9.570896471323293}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013238LGN00,1.65,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.287,9245.0,2013-08-26T21:35:35,238.89972141203702,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.234100341796875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013254LGN00,1.329998779296875,"{shadow_count=166.0, cloud_count=0.0, water_count=4842.0, snow_count=8.0, lake_SR={blue=0.040840933498554235, green=0.05494733581164821, red=0.03661371334159425, nir=0.027166914498141282, swir1=0.024772552664188312, swir2=0.024218174308137063}}",0.344,3261.0,2013-09-11T21:35:33,254.89968844907406,2921.0,"{blue=43.98254497174285, green=33.292448633134896, red=16.538950428806018, nir=4.948800507703339, swir1=0.5996845003060591, swir2=0.1641656810287885, tir1=6.903029441379034, tir2=6.314692990630081}",53.83354568481445,"{lake_TIR=6.903029441379034, bkgd_BT=9.5472380214519, lake_BT=6.3190963938398665, bkgd_TIR=7.290815030300388}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013270LGN00,1.4,"{shadow_count=7122.0, cloud_count=2123.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.344,9245.0,2013-09-27T21:35:25,270.89959640046294,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.78355598449707,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013286LGN00,1.2899993896484374,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.279,9245.0,2013-10-13T21:35:25,286.89960024305554,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",65.74065971374512,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013334LGN00,0.2600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.294,5912.0,2013-11-30T21:35:10,334.89942693287037,3212.0,"{blue=28.713001086687147, green=19.71479149295393, red=10.702681328664369, nir=2.536020049577113, swir1=0.09928545218889206, swir2=0.022761191173866456, tir1=5.764762617262665, tir2=5.457172940068194}",79.42967796325684,"{lake_TIR=5.764762617262665, bkgd_BT=null, lake_BT=-3.880840990344436, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202013350LGN00,0.2100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.368,9175.0,2013-12-16T21:35:03,350.8993492592593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",81.17753314971924,"{lake_TIR=null, bkgd_BT=-18.42458201090495, lake_BT=null, bkgd_TIR=4.345072310115211}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202014033LGN00,0.8,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.351,9245.0,2014-02-02T21:34:35,33.89902506944444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",75.15318775177002,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202014049LGN00,0.320001220703125,"{shadow_count=662.0, cloud_count=7717.0, water_count=0.0, snow_count=866.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.421,9245.0,2014-02-18T21:34:22,49.8988684837963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",70.02469253540039,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202014065LGN00,0.720001220703125,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.449,9245.0,2014-03-06T21:34:07,65.8986970949074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",64.02354431152344,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LC80720202014081LGN00,0.8899993896484375,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.397,9245.0,2014-03-22T21:33:55,81.8985603587963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",57.641902923583984,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
