system:index,H2O,LEDAPS,O3,bkgd_BT,bkgd_TIR,cloud_count,date,doy,lake_BT,lake_TIR,lake_count,lake_mean_rad,solar_z,valid_count,.geo
LE70810711999255EDC00,3.8699996948242186,"{shadow_count=0.0, cloud_count=0.0, water_count=2125.0, snow_count=0.0, lake_SR={blue=0.1695887999999999, green=0.1323628235294117, red=0.04212447058823525, nir=0.012747388235294265, swir1=0.002663905882352959, swir2=0.0017715294117646868}}",0.266,19.102297585504015,8.353036368521224,744.0,1999-09-12T22:42:20,255.94607136574075,22.62376219297325,8.807274990570294,2109.0,"{blue=102.9513825928221, green=68.5533770486437, red=23.12120165085555, nir=5.888526775730679, swir1=0.246943444310347, swir2=0.045182781879542395, tir1=8.804951174404595, tir2=8.801471975804676}",35.86871337890625,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712000098EDC00,3.3199996948242188,"{shadow_count=70.0, cloud_count=2882.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,16.6158447265625,8.050393760204315,2575.0,2000-04-07T22:41:54,98.94576414351852,20.420655478200604,8.532768160513331,310.0,"{blue=114.68057048705316, green=76.33702214033373, red=34.114040728538264, nir=13.522900723641918, swir1=1.688089067705216, swir2=0.4257136974603899, tir1=8.532768160513331, tir2=8.537677742721092}",38.946937561035156,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712001068EDC00,4.319999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,14.899196014404296,7.828001632578671,1028.0,2001-03-09T22:39:49,68.94431868055555,21.632648327963352,8.678219272337238,1607.0,"{blue=115.58342886594193, green=80.54549578401563, red=35.779622277341126, nir=13.89316429109698, swir1=1.6499231891392474, swir2=0.4194788355670067, tir1=8.678219272337238, tir2=8.681017535302253}",35.67999267578125,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712001116EDC01,3.8100006103515627,"{shadow_count=34.0, cloud_count=1488.0, water_count=1278.0, snow_count=0.0, lake_SR={blue=0.2550788732394367, green=0.19283090766823152, red=0.07425297339593134, nir=0.01946830985915491, swir1=0.010307668231611859, swir2=0.008922926447574293}}",0.2533416666666667,20.319432319389595,8.519410290446256,1290.0,2001-04-26T22:39:33,116.94414108796296,26.007703374161512,9.269248899455471,1556.0,"{blue=123.6874538221825, green=82.60721383299344, red=33.078277956857164, nir=8.933544602982488, swir1=0.8619143262333153, swir2=0.23062803717401922, tir1=9.269248899455471, tir2=9.268865181588039}",42.80478286743164,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712002087EDC00,5.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,,,2728.0,2002-03-28T22:38:17,87.94326061342592,14.639425360638162,7.796631348197875,368.0,"{blue=174.26668537246144, green=129.58372066736868, red=65.16745595050895, nir=27.00514155658691, swir1=3.59401388409669, swir2=1.0098724104464054, tir1=7.796631348197875, tir2=7.797007614442998}",38.10096740722656,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712002103EDC00,4.35,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.245,,,2952.0,2002-04-13T22:38:17,103.94325784722223,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.6168098449707,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712002151EDC00,4.460000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.234,18.42324149298231,8.266694720805754,771.0,2002-05-31T22:38:06,151.94312747685186,20.860013532527915,8.577965388410744,2155.0,"{blue=179.40612400468706, green=147.71755505689612, red=79.46122733290953, nir=16.215563314005284, swir1=0.3064259070807986, swir2=0.06314701753605823, tir1=8.577965388410744, tir2=8.578905343891849}",48.91495895385742,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712003042EDC00,3.4,"{shadow_count=0.0, cloud_count=0.0, water_count=2211.0, snow_count=0.0, lake_SR={blue=1.7951599728629581, green=0.41945463591135085, red=0.24391718679330612, nir=0.06708543645409343, swir1=0.0031647218453189625, swir2=0.0019156037991858977}}",0.26,22.67177664404001,8.813937459464814,757.0,2003-02-11T22:38:09,42.94316813657407,23.104324560766823,8.870300980556655,2220.0,"{blue=189.8194236574946, green=180.07095555663108, red=96.8960185665268, nir=19.30736715326438, swir1=0.31178330566969004, swir2=0.05443167455897138, tir1=8.870300980556655, tir2=8.87031835577543}",34.53852081298828,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712003106EDC00,2.9100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,18.503916709076073,8.276850454789093,2167.0,2003-04-16T22:38:14,106.94322215277778,20.678342931410846,8.555275879634632,1394.0,"{blue=172.523102969145, green=149.18115260145242, red=81.65467065581291, nir=24.147705514342064, swir1=2.30889614601987, swir2=0.6970877185025636, tir1=8.555275879634632, tir2=8.553530257633504}",41.13810348510742,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LE70810712003122EDC00,3.8800003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,18.056329345703126,8.220346517364185,742.0,2003-05-02T22:38:15,122.94323293981482,19.276163292421472,8.374892922569364,1945.0,"{blue=99.1653463434744, green=67.90699548240185, red=25.316557750849, nir=6.860905714084066, swir1=0.5069232832649986, swir2=0.1244104276471089, tir1=8.374892922569364, tir2=8.373120808143618}",44.10441589355469,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
