system:index,H2O,LEDAPS,O3,date,doy,solar_z,swir,tir,vnir,.geo
LC80810712013141LGN01,3.55,"{cloud_count=1500.0, shadow_count=731.0, water_count=674.0, snow_count=0.0, lake_SR={blue=0.30398931750741837, green=0.286661424332344, red=0.18411617210682515, nir=0.029502670623145367, swir1=0.008625370919881303, swir2=0.008822106824925817}}",0.254,2013-05-21T22:51:31,141.95244686342593,45.388755798339844,"{swir1=1.992750170180768, swir2=0.5657046671099285}","{bkgd_rad={tir1=8.424303705788493, tir2=7.814985861909387}, lake_rad={tir1=9.425796793433975, tir2=8.508019281549462}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2110.0}, mean_radiance={blue=136.74219691199713, green=108.54949877409008, red=62.92217143497196, nir=13.840732005761133}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712013237LGN00,3.0,"{cloud_count=2952.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.246,2013-08-25T22:51:32,237.95245667824074,39.06155776977539,"{swir1=null, swir2=null}","{bkgd_rad={tir1=7.433044929405591, tir2=7.015799269666104}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712013301LGN00,3.0899993896484377,"{cloud_count=837.0, shadow_count=129.0, water_count=1711.0, snow_count=0.0, lake_SR={blue=0.2123341320864996, green=0.1962837521917002, red=0.12771145528930458, nir=0.030902980713033334, swir1=0.019933021624780847, swir2=0.01787463471654004}}",0.2695861344537815,2013-10-28T22:51:11,301.9522218865741,24.04034423828125,"{swir1=2.0908380378626408, swir2=0.5690913460321617}","{bkgd_rad={tir1=8.318215563250522, tir2=7.774541430847318}, lake_rad={tir1=9.16311061636593, tir2=8.414361952074621}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2298.0}, mean_radiance={blue=147.92931627749982, green=113.57607836345676, red=64.50110783838417, nir=13.297077070432087}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712013317LGN00,4.0,"{cloud_count=2952.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263556862745098,2013-11-13T22:51:12,317.95222381944444,23.93016815185547,"{swir1=18.767243485701712, swir2=4.827485134727077}","{bkgd_rad={tir1=7.8186888311489815, tir2=7.230595160883369}, lake_rad={tir1=7.958588424481843, tir2=7.299070885306911}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=19.0}, mean_radiance={blue=227.3897913882607, green=192.84639539216695, red=150.7660907946135, nir=77.6270587318822}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712013333LGN00,4.6100006103515625,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2638104166666667,2013-11-29T22:51:06,333.9521595138889,25.24805450439453,"{swir1=null, swir2=null}","{bkgd_rad={tir1=4.2442289737075365, tir2=4.054580216747973}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712013349LGN00,4.1399993896484375,"{cloud_count=179.0, shadow_count=228.0, water_count=2061.0, snow_count=0.0, lake_SR={blue=0.33001868025230474, green=0.310229936923823, red=0.19517409024745255, nir=0.029038039786511424, swir1=0.008852207666181484, swir2=0.009084716157205242}}",0.26376315789473687,2013-12-15T22:51:01,349.9520955671296,27.139240264892578,"{swir1=2.0338844092646555, swir2=0.5055366925432544}","{bkgd_rad={tir1=8.713044062696792, tir2=7.943537217727279}, lake_rad={tir1=9.152809749578767, tir2=8.221343916539716}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2335.0}, mean_radiance={blue=203.44681401385486, green=164.3334849551607, red=93.67465119127033, nir=16.486747037368872}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712013365LGN00,3.0,"{cloud_count=2935.0, shadow_count=17.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25510714285714287,2013-12-31T22:50:53,365.9520047685185,28.897663116455078,"{swir1=5.295788180711711, swir2=1.4251668262847463}","{bkgd_rad={tir1=6.85819161143167, tir2=6.3349824814002655}, lake_rad={tir1=7.492004296991339, tir2=6.7780459533453765}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2151.0}, mean_radiance={blue=193.01078486032455, green=158.09921391272977, red=100.98229566012799, nir=36.87672639081557}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712014032LGN00,4.519999694824219,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25191041666666664,2014-02-01T22:50:32,32.951765995370366,31.06783676147461,"{swir1=8.90934552192688, swir2=2.481096910238266}","{bkgd_rad={tir1=5.9409440179586355, tir2=5.49752003090618}, lake_rad={tir1=6.5188755249977115, tir2=5.857027297019958}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=200.0}, mean_radiance={blue=149.26293125152588, green=119.1149970626831, red=81.76471931457519, nir=45.96484462738037}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712014048LGN00,4.430000305175781,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.24995772058823532,2014-02-17T22:50:18,48.951606284722224,31.810787200927734,"{swir1=6.370558949580706, swir2=1.6391632770637117}","{bkgd_rad={tir1=6.850504539140342, tir2=6.208357855996891}, lake_rad={tir1=7.429750024559963, tir2=6.636558646699822}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=251.0}, mean_radiance={blue=143.61758574831532, green=109.19185383101383, red=73.83582672179932, nir=37.54689049435802}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80810712014080LGN00,3.6100006103515625,"{cloud_count=354.0, shadow_count=157.0, water_count=1962.0, snow_count=0.0, lake_SR={blue=0.1448241590214068, green=0.14308827726809378, red=0.10911692150866469, nir=0.024524617737003113, swir1=0.00948058103975533, swir2=0.007902038735983689}}",0.24751111111111113,2014-03-21T22:49:52,80.95130765046297,34.588172912597656,"{swir1=0.966758442827228, swir2=0.2361299418891799}","{bkgd_rad={tir1=8.444563139538655, tir2=7.846455435223317}, lake_rad={tir1=9.01402077747851, tir2=8.25108581538103}}","{pixel_counts={valid={blue=2952, green=2952, red=2952, nir=2952}, cloud=0.0, lake=2353.0}, mean_radiance={blue=101.3744332232072, green=78.85616576068715, red=50.00931935973032, nir=9.195737009093046}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
