system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51120371984136HAJ00,1.2899993896484374,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.334,132.0,1984-05-15T01:15:07,136.05216974537038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.333602905273438,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371984184HAJ00,3.9699996948242187,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.297,132.0,1984-07-02T01:16:02,184.0528071875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",28.544097900390625,"{lake_TIR=null, bkgd_BT=12.937038174191036, lake_BT=null, bkgd_TIR=7.489838576082744}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371984200HAJ00,2.4300003051757812,"{shadow_count=46.0, cloud_count=86.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.294,132.0,1984-07-18T01:16:19,200.05300594907408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.91982650756836,"{lake_TIR=null, bkgd_BT=25.5247510363172, lake_BT=null, bkgd_TIR=9.044380848341575}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371984248HAJ00,4.619999694824219,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.28,132.0,1984-09-04T01:17:35,248.05388689814814,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.36641311645508,"{lake_TIR=null, bkgd_BT=-29.483803392917345, lake_BT=null, bkgd_TIR=3.459008403709898}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371984296HAJ00,1.079998779296875,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.261,127.0,1984-10-22T01:17:34,296.05386869212964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",50.337894439697266,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371984312HAJ00,2.1,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,132.0,1984-11-07T01:17:27,312.0537879050926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",54.902042388916016,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985026HAJ00,0.470001220703125,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.241,66.0,1985-01-26T01:17:54,26.0541053125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",60.29667854309082,"{lake_TIR=null, bkgd_BT=-6.657188864315257, lake_BT=null, bkgd_TIR=5.397565748323412}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985074HAJ00,0.7899993896484375,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,132.0,1985-03-15T01:17:56,74.05412983796296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.04220962524414,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985106HAJ00,0.7899993896484375,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.297,132.0,1985-04-16T01:17:49,106.05404206018518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.23973846435547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985122HAJ00,1.470001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.04806, green=0.056479999999999995, red=0.057120000000000004, nir=0.06788000000000001, swir1=0.048799999999999996, swir2=0.04794}}",0.313,12.0,1985-05-02T01:17:41,122.05395818287037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.155925750732422,"{lake_TIR=null, bkgd_BT=24.880257178412542, lake_BT=null, bkgd_TIR=8.961567653417587}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985138HAJ00,1.6100006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=12.0, snow_count=0.0, lake_SR={blue=0.05025833333333334, green=0.060025, red=0.06468333333333333, nir=0.07405833333333332, swir1=0.061849999999999995, swir2=0.06784166666666668}}",0.293,93.0,1985-05-18T01:17:38,138.05391627314816,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",28.511356353759766,"{lake_TIR=null, bkgd_BT=22.220844187635056, lake_BT=null, bkgd_TIR=8.619532965539776}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985154HAJ00,1.7100006103515626,"{shadow_count=12.0, cloud_count=118.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.301,132.0,1985-06-03T01:17:38,154.0539173263889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",27.38355255126953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985186HAJ00,5.819999694824219,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.287,132.0,1985-07-05T01:17:31,186.053833125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",28.475666046142578,"{lake_TIR=null, bkgd_BT=-3.61614990234375, lake_BT=null, bkgd_TIR=5.695608241483569}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985218HAJ00,3.9399993896484373,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.3,132.0,1985-08-06T01:17:16,218.05366520833334,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.058719635009766,"{lake_TIR=null, bkgd_BT=12.668378775935288, lake_BT=null, bkgd_TIR=7.45822708233217}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985234HAJ00,3.3800003051757814,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.29,132.0,1985-08-22T01:17:06,234.0535478009259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.68315505981445,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985282HAJ00,1.7100006103515626,"{shadow_count=0.0, cloud_count=50.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.27,115.0,1985-10-09T01:16:33,282.05316414351853,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.539283752441406,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985298HAJ00,1.3899993896484375,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.26,132.0,1985-10-25T01:16:21,298.0530309027778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",51.29874038696289,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371985330HAJ00,0.9899993896484375,"{shadow_count=29.0, cloud_count=102.0, water_count=1.0, snow_count=0.0, lake_SR={blue=0.0589, green=0.0647, red=0.0799, nir=0.0876, swir1=0.0739, swir2=0.055}}",0.279,24.0,1985-11-26T01:15:51,330.0526793634259,1.0,"{blue=28.690235137939453, green=15.670865893363953, red=8.225787878036499, nir=3.746142029762268, swir1=0.47248032689094543, swir2=0.24330710619688034, tir1=6.498531460762024}",59.624502182006836,"{lake_TIR=6.498531460762024, bkgd_BT=4.1168212890625, lake_BT=4.1168212890625, bkgd_TIR=6.498531460762024}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371986029HAJ00,0.670001220703125,"{shadow_count=100.0, cloud_count=32.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.304,104.0,1986-01-29T01:14:36,29.051813298611112,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",60.18895721435547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371986045HAJ00,1.1100006103515625,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.32,132.0,1986-02-14T01:14:14,45.05155523148148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",56.27793884277344,"{lake_TIR=null, bkgd_BT=-2.188016491065445, lake_BT=null, bkgd_TIR=5.839293185915823}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371986141HAJ00,1.3899993896484375,"{shadow_count=10.0, cloud_count=122.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.315,132.0,1986-05-21T01:12:02,141.05002542824073,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.425479888916016,"{lake_TIR=null, bkgd_BT=21.579177856445312, lake_BT=null, bkgd_TIR=8.538141017779708}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371986221HAJ00,3.5600006103515627,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.289,132.0,1986-08-09T01:09:24,221.04819641203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.005916595458984,"{lake_TIR=null, bkgd_BT=11.847533337823275, lake_BT=null, bkgd_TIR=7.371404154316105}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LT51120371986237HAJ00,3.2899993896484374,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.29,99.0,1986-08-25T01:08:48,237.0477811111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.70001983642578,"{lake_TIR=null, bkgd_BT=22.867708559389467, lake_BT=null, bkgd_TIR=8.701186728974184}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
