system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81110572013144LGN00,4.630000305175781,"{shadow_count=0.0, cloud_count=1774.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,1774.0,2013-05-24T01:51:21,144.0773325462963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.350414276123047,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=1774, green=1774, red=1774, nir=1774, swir1=1774, swir2=1774, tir1=1774, tir2=1774}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572013240LGN00,4.980000305175781,"{shadow_count=0.0, cloud_count=3637.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.279,3637.0,2013-08-28T01:51:21,240.07733502314815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.456188201904297,"{lake_TIR=null, bkgd_BT=18.805530802408853, lake_BT=null, bkgd_TIR=8.46828832438914}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572013336LGN00,4.480000305175781,"{shadow_count=265.0, cloud_count=2811.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,3525.0,2013-12-02T01:50:56,336.07703986111113,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.727657318115234,"{lake_TIR=null, bkgd_BT=20.916802888758042, lake_BT=null, bkgd_TIR=8.751662814510672}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572013352LGN00,5.15,"{shadow_count=0.0, cloud_count=3637.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.246,3637.0,2013-12-18T01:50:48,352.0769471527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.924678802490234,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572014003LGN00,4.189999389648437,"{shadow_count=1.0, cloud_count=3636.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.247,3637.0,2014-01-03T01:50:41,3.07686625,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.86565399169922,"{lake_TIR=null, bkgd_BT=12.363120937347412, lake_BT=null, bkgd_TIR=7.637473838186997}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572014019LGN00,5.689999389648437,"{shadow_count=0.0, cloud_count=3419.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.244,3637.0,2014-01-19T01:50:27,19.07670775462963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.416404724121094,"{lake_TIR=null, bkgd_BT=19.305412679643773, lake_BT=null, bkgd_TIR=8.534923501351132}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572014035LGN00,4.019999694824219,"{shadow_count=179.0, cloud_count=3364.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.248,3637.0,2014-02-04T01:50:20,35.0766246875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.71250534057617,"{lake_TIR=null, bkgd_BT=21.009441778526543, lake_BT=null, bkgd_TIR=8.764542321022311}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572014051LGN00,3.5699996948242188,"{shadow_count=0.0, cloud_count=3637.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,3634.0,2014-02-20T01:50:06,51.07646940972222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.131858825683594,"{lake_TIR=null, bkgd_BT=13.9341821069116, lake_BT=null, bkgd_TIR=7.835577985259226}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572014067LGN00,3.5300003051757813,"{shadow_count=6.0, cloud_count=3607.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,3637.0,2014-03-08T01:49:52,67.07630512731481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.288192749023438,"{lake_TIR=null, bkgd_BT=17.860526037997886, lake_BT=null, bkgd_TIR=8.34345353833165}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
LC81110572014083LGN00,4.689999389648437,"{shadow_count=206.0, cloud_count=3277.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,3381.0,2014-03-24T01:49:39,83.07615133101852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.921550750732422,"{lake_TIR=null, bkgd_BT=21.188568115234375, lake_BT=null, bkgd_TIR=8.788195800152607}","{blue=3637, green=3637, red=3637, nir=3637, swir1=3637, swir2=3637, tir1=3637, tir2=3637}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.444632,3.690192],[125.444509,3.675014000000002],[125.461864,3.674646000000002],[125.46206099999999,3.689955000000002],[125.444632,3.690192]]]}"
