system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71160661999181EDC00,4.089999389648438,"{shadow_count=1923.0, cloud_count=11906.0, water_count=14853.0, snow_count=0.0, lake_SR={blue=0.03604902039991921, green=0.028668888440045687, red=0.01592744226755539, nir=0.015121584865010146, swir1=0.007225907224130205, swir2=0.006006759577191214}}",0.252,29152.0,1999-06-30T02:16:29,181.09478163194444,11760.0,"{blue=40.433225892818704, green=23.194881403811124, red=11.359479405198778, nir=4.929439604814563, swir1=0.36795739478425304, swir2=0.09228359984271989, tir1=8.509035736914141, tir2=8.512059490025665}",43.91558837890625,"{lake_TIR=8.509035736914141, bkgd_BT=23.748168163630975, lake_BT=20.32561054618991, bkgd_TIR=8.958404457451048}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160661999325SGS00,5.069999694824219,"{shadow_count=0.0, cloud_count=47444.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2601352941176471,47444.0,1999-11-21T02:16:37,325.09488074074073,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.852371215820312,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160661999341SGS00,4.589999389648438,"{shadow_count=252.0, cloud_count=47192.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.255,47278.0,1999-12-07T02:16:41,341.09492712962964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.035625457763672,"{lake_TIR=null, bkgd_BT=17.72504784280409, lake_BT=null, bkgd_TIR=8.179559872489873}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662000120SGS00,4.969999694824219,"{shadow_count=2321.0, cloud_count=4569.0, water_count=16474.0, snow_count=0.0, lake_SR={blue=0.03347501517542794, green=0.03535682287240466, red=0.018712061430132286, nir=0.026291119339566592, swir1=0.015842958601435517, swir2=0.01307883331310064}}",0.255,27956.0,2000-04-29T02:16:06,120.0945216087963,56.0,"{blue=46.072933703660965, green=31.01610625109502, red=14.848509992871966, nir=7.379626080393791, swir1=0.8662599633846965, swir2=0.22145314102194139, tir1=8.128262152230102, tir2=8.130954673380725}",37.31523513793945,"{lake_TIR=8.128262152230102, bkgd_BT=19.490848688771283, lake_BT=17.323300497872488, bkgd_TIR=8.406638321699926}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662000184SGS00,4.880000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=17841.0, snow_count=0.0, lake_SR={blue=0.02377836444145523, green=0.02185014292920749, red=0.00890055490163107, nir=0.0125204865198138, swir1=0.005469340283616951, swir2=0.004091127178970741}}",0.256,27665.0,2000-07-02T02:15:26,184.09405876157408,12655.0,"{blue=37.13493650700913, green=21.730481452284383, red=9.923467846888885, nir=4.545731883847822, swir1=0.3106483407639459, swir2=0.06910013452802237, tir1=8.345129564418617, tir2=8.348313565217238}",44.08006286621094,"{lake_TIR=8.344541424674782, bkgd_BT=21.329620844081376, lake_BT=19.0378516897621, bkgd_TIR=8.645891507902638}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662000232SGS00,4.430000305175781,"{shadow_count=948.0, cloud_count=2260.0, water_count=17419.0, snow_count=0.0, lake_SR={blue=0.03447563005913061, green=0.03052633331419716, red=0.016890745737412918, nir=0.01869943165508909, swir1=0.006826522762500844, swir2=0.004873546127791545}}",0.259,27876.0,2000-08-19T02:14:51,232.09364859953703,8894.0,"{blue=45.49481062723434, green=27.75880349339167, red=13.908850356866088, nir=6.438969931670567, swir1=0.4309292636478325, swir2=0.09239181304362643, tir1=8.561938625684354, tir2=8.560228570872276}",37.7747917175293,"{lake_TIR=8.561752800693197, bkgd_BT=27.91589120718149, lake_BT=20.73475397839172, bkgd_TIR=9.52429579124866}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662000312SGS00,4.330000305175782,"{shadow_count=2854.0, cloud_count=38355.0, water_count=1387.0, snow_count=0.0, lake_SR={blue=0.05846524873828401, green=0.05273785147801023, red=0.031330713770728234, nir=0.029338860850756716, swir1=0.015864960346070697, swir2=0.012884426820476086}}",0.2636838235294118,41263.0,2000-11-07T02:14:07,312.0931377314815,618.0,"{blue=63.17592012766495, green=43.59985806525332, red=21.723055648186445, nir=10.116933026360076, swir1=1.0129920003580044, swir2=0.25604307803424814, tir1=8.414376638817652, tir2=8.414260130900058}",26.983448028564453,"{lake_TIR=8.414376638817652, bkgd_BT=23.72213412570981, lake_BT=19.586491952050466, bkgd_TIR=8.960600175170253}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662000344DKI01,4.510000610351563,"{shadow_count=962.0, cloud_count=1966.0, water_count=2759.0, snow_count=0.0, lake_SR={blue=0.058343602754621166, green=0.0563551649148243, red=0.04445788329104741, nir=0.05898075389633949, swir1=0.039829249728162805, swir2=0.033662703878216994}}",0.254,29660.0,2000-12-09T02:14:09,344.0931604976852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.909725189208984,"{lake_TIR=null, bkgd_BT=16.591942975282794, lake_BT=null, bkgd_TIR=8.058730806448137}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662000360EDC00,4.65,"{shadow_count=1485.0, cloud_count=8917.0, water_count=14228.0, snow_count=0.0, lake_SR={blue=0.033744194545965646, green=0.030858033455159067, red=0.01692121872364319, nir=0.025522743885297666, swir1=0.017401982007309986, swir2=0.014831311498450864}}",0.25714375,29776.0,2000-12-25T02:14:15,360.0932362615741,71.0,"{blue=52.54552583627298, green=34.4860260159197, red=17.00303363800049, nir=8.156083043192474, swir1=0.9270845204591751, swir2=0.24230893449464314, tir1=8.22519691110077, tir2=8.233641956841023}",32.77374267578125,"{lake_TIR=8.22519691110077, bkgd_BT=22.897858697616638, lake_BT=18.095155098068883, bkgd_TIR=8.845220047513074}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LE71160662001026SGS00,5.3,"{shadow_count=3406.0, cloud_count=8808.0, water_count=13890.0, snow_count=0.0, lake_SR={blue=0.03430556515478762, green=0.03775473002159815, red=0.01833732181425568, nir=0.026559064074873462, swir1=0.018503837293017144, swir2=0.01596533477321815}}",0.244,29146.0,2001-01-26T02:14:19,26.093282604166667,471.0,"{blue=51.104364006382646, green=35.29291884686537, red=16.637767326047214, nir=8.424804071711886, swir1=0.9335048139854601, swir2=0.24005504730780414, tir1=8.238407202587005, tir2=8.241121618278846}",34.19157028198242,"{lake_TIR=8.238407202587005, bkgd_BT=21.106490073586002, lake_BT=18.199713964118068, bkgd_TIR=8.61529945930134}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444, tir2=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
