system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80910642013115LGN01,4.669999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,5410.0,2013-04-25T23:50:15,115.9932299537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.787776947021484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642013243LGN00,4.069999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,5410.0,2013-08-31T23:50:32,243.9934337962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.604961395263672,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642013323LGN00,4.130000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,2233.0,2013-11-19T23:50:07,323.99314623842594,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.932327270507812,"{lake_TIR=null, bkgd_BT=16.788301343823214, lake_BT=null, bkgd_TIR=8.20318177982622}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642013339LGN00,4.510000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,5410.0,2013-12-05T23:50:07,339.99313810185186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.42302703857422,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642013355LGN00,4.730000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,4557.0,2013-12-21T23:49:57,355.9930264236111,1.0,"{blue=56.2571637481451, green=37.527420033700764, red=22.239428121596575, nir=7.998852513730526, swir1=2.8298798333853483, swir2=0.6969601658638567, tir1=8.31329745799303, tir2=7.5737126366002485}",31.42308807373047,"{lake_TIR=8.31329745799303, bkgd_BT=18.13717505768055, lake_BT=17.63238525390625, bkgd_TIR=8.380049144578027}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642014006LGN00,4.260000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,5306.0,2014-01-06T23:49:49,6.9929282638888886,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.51582717895508,"{lake_TIR=null, bkgd_BT=18.59630247604015, lake_BT=null, bkgd_TIR=8.440701531014827}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642014086LGN00,4.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,3963.0,2014-03-27T23:48:44,86.99217829861111,548.0,"{blue=42.835989224607204, green=27.05329078733649, red=12.848257979738397, nir=4.574921070700885, swir1=0.4861325144140648, swir2=0.11527206217079852, tir1=8.624029148819968, tir2=7.75925101841805}",30.186901092529297,"{lake_TIR=8.624029148819968, bkgd_BT=21.331040997546044, lake_BT=19.97084078823563, bkgd_TIR=8.808276235661797}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642014102LGN00,4.969999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,5391.0,2014-04-12T23:48:31,102.99203214120371,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.442081451416016,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642014118LGN00,4.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,5410.0,2014-04-28T23:48:16,118.9918603125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.608524322509766,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
LC80910642014134LGN00,4.589999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.248,5410.0,2014-05-14T23:48:03,134.99170267361112,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.15318298339844,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=5410, green=5410, red=5410, nir=5410, swir1=5410, swir2=5410, tir1=5410, tir2=5410}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[155.214853,-6.080109000000003],[155.214509,-6.100037999999998],[155.233879,-6.100548000000001],[155.233903,-6.079272000000001],[155.214853,-6.080109000000003]]]}"
