system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE72320881999225EDC00,0.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,9936.0,1999-08-13T14:22:22,225.59886828703705,741.0,"{blue=26.09617281474887, green=13.29880925663087, red=5.98757980259163, nir=2.552990696127759, swir1=0.08828968320459167, swir2=0.012555359798645683, tir1=6.696529744346293, tir2=6.699704298143766}",64.83209991455078,"{lake_TIR=6.68107763034892, bkgd_BT=1.9642632421258872, lake_BT=5.1051452946541875, bkgd_TIR=6.334129806555079}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320881999337EDC00,2.05,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,11531.0,1999-12-03T14:22:19,337.59883678240743,180.0,"{blue=46.60290965106752, green=25.108967383702595, red=10.859072960747612, nir=5.502970367670059, swir1=0.4073583625257015, swir2=0.08653758838772774, tir1=7.920910107696222, tir2=7.922726138494909}",33.40740203857422,"{lake_TIR=7.9129839574672145, bkgd_BT=16.224061124045356, lake_BT=15.590950444059551, bkgd_TIR=7.992716047949996}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000004COA00,2.8399993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,12434.0,2000-01-04T14:22:19,4.5988324305555555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.667510986328125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000020COA01,2.0100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28,12434.0,2000-01-20T14:22:16,20.598802199074076,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.40346145629883,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000036EDC00,0.929998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.278,12434.0,2000-02-05T14:22:15,36.59878767361111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.74405288696289,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000052EDC00,0.4600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,12300.0,2000-02-21T14:22:07,52.59869400462963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.52317810058594,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000084COA00,1.7899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,11984.0,2000-03-24T14:22:05,84.59867122685185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",54.0695915222168,"{lake_TIR=null, bkgd_BT=9.088556847628123, lake_BT=null, bkgd_TIR=7.144078353471202}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000100EDC00,0.4399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,9581.0,2000-04-09T14:21:52,100.5985202662037,463.0,"{blue=32.20887785235955, green=16.241253430848502, red=7.70026132612455, nir=3.469794672843447, swir1=0.1945964331310202, swir2=0.04318248353431858, tir1=7.461248673289435, tir2=7.45877574601454}",58.58065605163574,"{lake_TIR=7.461248673289435, bkgd_BT=7.0680412756626145, lake_BT=11.783928098740382, bkgd_TIR=6.911675000864261}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000116EDC00,0.829998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28,5900.0,2000-04-25T14:21:48,116.59847921296296,159.0,"{blue=29.475115555637288, green=15.44443113061617, red=7.847506841023763, nir=3.5187044424830742, swir1=0.1526549607515335, swir2=0.030722250072461255, tir1=7.209490470681925, tir2=7.206644593310431}",62.94285583496094,"{lake_TIR=7.209490470681925, bkgd_BT=4.426905757348829, lake_BT=9.731976970936516, bkgd_TIR=6.614414727200372}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000164COA00,1.879998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.338,12434.0,2000-06-12T14:21:21,164.59816354166668,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",71.80125617980957,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LE72320882000180EDC02,0.9100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,12434.0,2000-06-28T14:21:09,180.59802921296296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",72.23606300354004,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434, tir2=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
