system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70220481999194EDC00,2.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,342.0,1999-07-13T16:28:28,194.6864461689815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.35092544555664,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220481999290EDC00,3.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,342.0,1999-10-17T16:28:37,290.68654097222225,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.681861877441406,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220481999322EDC00,2.1600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,160.0,1999-11-18T16:28:33,322.68649332175926,8.0,"{blue=61.25836697220802, green=41.52913337945938, red=21.575689554214478, nir=9.85447821766138, swir1=0.861752089112997, swir2=0.1932332320138812, tir1=8.603858331218362, tir2=8.59003439033404}",42.71393585205078,"{lake_TIR=8.603858331218362, bkgd_BT=null, lake_BT=21.060054779052734, bkgd_TIR=null}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220481999338EDC00,2.0899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,262.0,1999-12-04T16:28:32,338.68648578703704,23.0,"{blue=51.05433140630307, green=50.66345368779224, red=22.406813331272293, nir=8.78009231712507, swir1=0.8055016579835311, swir2=0.23593799769878387, tir1=9.076898336572492, tir2=9.10737048526821}",45.87739181518555,"{lake_TIR=9.071673242375255, bkgd_BT=24.08019102336279, lake_BT=24.621742248535156, bkgd_TIR=9.001143036440748}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000053EDC00,1.9100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,167.0,2000-02-22T16:28:17,53.686314976851854,40.0,"{blue=40.913780093193054, green=31.144487857818604, red=13.96043348312378, nir=7.306929230690002, swir1=0.4830906502902508, swir2=0.11202260497957468, tir1=9.182480382733047, tir2=9.181589498836548}",40.222721099853516,"{lake_TIR=9.220682482752535, bkgd_BT=23.532366880436534, lake_BT=25.738644070095486, bkgd_TIR=8.927776021733113}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000085EDC00,2.1800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,215.0,2000-03-25T16:28:16,85.6862978587963,52.0,"{blue=51.621457397937775, green=49.455874635623054, red=21.6354639346783, nir=11.023788674519611, swir1=0.7306769756743541, swir2=0.17845998905025995, tir1=9.577904371114878, tir2=9.575601833442656}",31.18042755126953,"{lake_TIR=9.54459563236345, bkgd_BT=27.262987400198583, lake_BT=28.12689208984375, bkgd_TIR=9.428616680797173}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000133EDC00,3.1600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2811538461538462,306.0,2000-05-12T16:27:48,133.6859795601852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.21844482421875,"{lake_TIR=null, bkgd_BT=28.300218203462972, lake_BT=null, bkgd_TIR=9.569068527232536}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000181EDC00,4.119999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.294,342.0,2000-06-29T16:27:21,181.6856601736111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.287139892578125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000197EDC00,2.830000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2865567226890756,342.0,2000-07-15T16:27:09,197.6855213888889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.715057373046875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000245EDC00,3.3,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.277,342.0,2000-09-01T16:26:32,245.68510100694445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.573654174804688,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482000293EDC00,2.3199996948242188,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,210.0,2000-10-19T16:25:53,293.68464207175924,83.0,"{blue=52.65586828323732, green=53.6269085608333, red=20.000958706959185, nir=8.925528968673154, swir1=0.7503587140376309, swir2=0.18258937744491072, tir1=8.772181072238698, tir2=8.782053348888834}",35.77163314819336,"{lake_TIR=8.731322899088264, bkgd_BT=22.507089010099087, lake_BT=22.041850280761718, bkgd_TIR=8.792600794681688}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
LE70220482001007EDC00,1.729998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,111.0,2001-01-07T16:26:07,7.684812060185185,110.0,"{blue=38.52092394178564, green=28.319573796337302, red=12.259363295815207, nir=5.1013241897929795, swir1=0.3356421809304844, swir2=0.08099495755000548, tir1=9.190866209566593, tir2=9.181843167407946}",48.40345764160156,"{lake_TIR=9.188381520134431, bkgd_BT=22.23166963651583, lake_BT=25.490273934823495, bkgd_TIR=8.757852605798028}","{blue=342, green=342, red=342, nir=342, swir1=342, swir2=342, tir1=342, tir2=342}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-93.227146,17.357950000000002],[-93.227129,17.363138],[-93.232075,17.363072999999996],[-93.232215,17.357944000000007],[-93.227146,17.357950000000002]]]}"
