system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70290461999227EDC00,3.3699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,34323.0,1999-08-15T17:11:00,227.71598217592592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.33212661743164,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290461999307EDC01,1.9399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2519283088235294,32670.0,1999-11-03T17:11:01,307.71598560185186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.199249267578125,"{lake_TIR=null, bkgd_BT=17.47200784877855, lake_BT=null, bkgd_TIR=8.16877938698198}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000022EDC00,1.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,31481.0,2000-01-22T17:10:56,22.715936365740742,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.78105163574219,"{lake_TIR=null, bkgd_BT=13.220519688245673, lake_BT=null, bkgd_TIR=7.647614859883514}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000102EDC00,1.8100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.273,31413.0,2000-04-11T17:10:28,102.71560590277778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.71490478515625,"{lake_TIR=null, bkgd_BT=24.064288671799062, lake_BT=null, bkgd_TIR=9.025445015854775}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000182EDC00,3.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.285,34427.0,2000-06-30T17:09:48,182.71514469907407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.189682006835938,"{lake_TIR=null, bkgd_BT=14.162469832623591, lake_BT=null, bkgd_TIR=7.7424552010708165}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000198EDC00,3.6399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,34996.0,2000-07-16T17:09:36,198.71500221064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.79742431640625,"{lake_TIR=null, bkgd_BT=19.9232711867806, lake_BT=null, bkgd_TIR=8.469668435779933}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000230EDC01,2.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.283,33182.0,2000-08-17T17:09:13,230.71473511574075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.90615463256836,"{lake_TIR=null, bkgd_BT=17.20488762636797, lake_BT=null, bkgd_TIR=8.118166371410291}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000262EDC02,4.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27222500000000005,36149.0,2000-09-18T17:08:38,262.7143396875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.55799102783203,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462000342EDC00,2.919999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,30702.0,2000-12-07T17:08:28,342.7142214583333,4.0,"{blue=24.1708664894104, green=13.770177081227303, red=6.189764022827148, nir=3.0569881349802017, swir1=0.3568701706826687, swir2=0.04507870972156525, tir1=6.071338627487421, tir2=6.083366123959422}",49.00834274291992,"{lake_TIR=null, bkgd_BT=11.002528177428355, lake_BT=null, bkgd_TIR=7.367315994721541}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LE70290462001024EDC00,2.4100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,31920.0,2001-01-24T17:08:40,24.71436008101852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.699195861816406,"{lake_TIR=null, bkgd_BT=14.318088623313987, lake_BT=null, bkgd_TIR=7.7765994704345}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149, tir2=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
