system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50170512000010XXX03,2.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,0.0,2000-01-10T15:40:58,10.653459039351851,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.85546112060547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=670, green=0, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511985087XXX10,2.1800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,735.0,1985-03-28T15:42:32,87.6545446875,407.0,"{blue=42.78504589910296, green=30.16313912944653, red=15.677265808974788, nir=7.002711520441041, swir1=0.7383244165587777, swir2=0.1837151206352494, tir1=8.890634492424109}",34.72422409057617,"{lake_TIR=8.890634492424109, bkgd_BT=32.26378641690875, lake_BT=24.348983202285204, bkgd_TIR=9.950125095089527}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511985103XXX09,2.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,764.0,1985-04-13T15:42:28,103.65449152777778,625.0,"{blue=45.370581490325925, green=33.95960142898559, red=17.013563842582702, nir=7.625875571632386, swir1=0.7324456840753555, swir2=0.18467812712192536, tir1=8.979996125650406}",32.145755767822266,"{lake_TIR=8.979996125650406, bkgd_BT=34.78537758507023, lake_BT=25.04298955078125, bkgd_TIR=10.301040424137554}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511985167AAA05,3.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,926.0,1985-06-16T15:42:14,167.65433854166668,1376.0,"{blue=49.95693311268507, green=53.182659085233546, red=26.12057565897703, nir=9.114333467428075, swir1=0.5265348161310824, swir2=0.12649642054511365, tir1=8.611637681747007}",32.6406364440918,"{lake_TIR=8.611637681747007, bkgd_BT=22.81792273492733, lake_BT=22.161623134169467, bkgd_TIR=8.69655334768474}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511986010XXX03,2.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.246,678.0,1986-01-10T15:39:38,10.652524212962962,1016.0,"{blue=33.251504889154056, green=19.620562046883613, red=9.345801957244948, nir=4.052232970520268, swir1=0.26197870482697966, swir2=0.053621593100114134, tir1=8.838628619527958}",49.03364562988281,"{lake_TIR=8.838628619527958, bkgd_BT=25.502322692503853, lake_BT=23.945155736968275, bkgd_TIR=9.043976981916368}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511986026XXX03,2.669999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,667.0,1986-01-26T15:39:17,26.652289884259257,1305.0,"{blue=33.375200846368784, green=19.54122757043875, red=9.35136246160529, nir=3.8743569854575557, swir1=0.25307576298371126, swir2=0.05217894101051535, tir1=8.617340710673524}",47.873477935791016,"{lake_TIR=8.617340710673524, bkgd_BT=27.011800276394286, lake_BT=22.206846601113504, bkgd_TIR=9.245293899208521}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511986074XXX10,1.5100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.266,687.0,1986-03-15T15:38:13,74.65155018518519,1403.0,"{blue=45.214829413617245, green=38.209602758447694, red=16.991320522190076, nir=5.593097095479306, swir1=0.3403736473999105, swir2=0.06945396571055702, tir1=9.030461927000978}",38.57733917236328,"{lake_TIR=9.030461927000978, bkgd_BT=33.54461590468721, lake_BT=25.43040108493797, bkgd_TIR=10.134007867942953}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511986090XXX09,1.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,705.0,1986-03-31T15:37:54,90.6513275,595.0,"{blue=40.61862377198804, green=25.115185243742808, red=13.114053967419792, nir=5.729341789053268, swir1=0.4961466409203385, swir2=0.1257556550142144, tir1=8.822751046767255}",35.3585319519043,"{lake_TIR=8.822751046767255, bkgd_BT=32.2588336747189, lake_BT=23.819901256400996, bkgd_TIR=9.949698628547067}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511986122XXX02,3.0899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,756.0,1986-05-02T15:37:09,122.65081010416667,32.0,"{blue=53.15213385224342, green=39.05736168473959, red=20.26414104178548, nir=9.385544277727604, swir1=0.9877473108936101, swir2=0.24330710619688034, tir1=8.850196665502153}",32.134647369384766,"{lake_TIR=8.850196665502153, bkgd_BT=30.659187671280367, lake_BT=24.03433895111084, bkgd_TIR=9.729202099015351}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LT50180511986186XXX03,3.75,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,941.0,1986-07-05T15:35:14,186.64947672453704,1296.0,"{blue=47.652959366271524, green=49.027968645831685, red=21.58079186624583, nir=7.225226695982762, swir1=0.4038523551548061, swir2=0.08969680822948799, tir1=8.514513062252835}",35.0157585144043,"{lake_TIR=8.514513062252835, bkgd_BT=22.637958337390234, lake_BT=21.390714763123313, bkgd_TIR=8.674433608572665}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
