system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50450301984178PAC00,2.5399993896484374,"{shadow_count=10612.0, cloud_count=75338.0, water_count=8525.0, snow_count=45.0, lake_SR={blue=0.058580105571846994, green=0.03704961876832739, red=0.02864882111437184, nir=0.0331210791788857, swir1=0.016455941348972603, swir2=0.014663448680352093}}",0.308,56157.0,1984-06-26T18:19:07,178.7632823263889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.30477523803711,"{lake_TIR=null, bkgd_BT=-5.436080568072739, lake_BT=null, bkgd_TIR=5.521265139262932}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301984210PAC04,2.1600006103515623,"{shadow_count=9888.0, cloud_count=35437.0, water_count=36539.0, snow_count=0.0, lake_SR={blue=0.04577074906264481, green=0.03140137113768877, red=0.02186968992035899, nir=0.025159183338351435, swir1=0.005229831139329674, swir2=0.003659249021593292}}",0.305,42507.0,1984-07-28T18:19:51,210.7637872337963,1522.0,"{blue=45.81907234586648, green=25.13739987138693, red=12.819421337797513, nir=5.891306382049556, swir1=0.31851851055582153, swir2=0.06965245812661387, tir1=7.627913968933749}",34.22038650512695,"{lake_TIR=7.627913968933749, bkgd_BT=23.022771465315838, lake_BT=14.110023408305786, bkgd_TIR=8.791892384325804}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301984354XXX03,0.470001220703125,"{shadow_count=48028.0, cloud_count=14348.0, water_count=25543.0, snow_count=6603.0, lake_SR={blue=0.05656094820498464, green=0.041644325255454716, red=0.030942712289085163, nir=0.02864984927377258, swir1=0.0023962103120224614, swir2=0.0014429432721292635}}",0.303,30257.0,1984-12-19T18:20:48,354.76444599537035,31209.0,"{blue=23.122958639270124, green=12.294454393710295, red=6.840877499043791, nir=2.8524626111941473, swir1=0.06290384120120728, swir2=0.011994958914864842, tir1=6.178927457300095}",70.75360870361328,"{lake_TIR=6.181086559748051, bkgd_BT=null, lake_BT=1.128516112856541, bkgd_TIR=null}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985020XXX01,0.55,"{shadow_count=2112.0, cloud_count=1393.0, water_count=59906.0, snow_count=25344.0, lake_SR={blue=0.05118482288919473, green=0.0399453794277728, red=0.0319541197876625, nir=0.037418569091573435, swir1=0.0029468400494121463, swir2=0.0035325893900434676}}",0.276,29951.0,1985-01-20T18:21:01,20.764605092592593,2224.0,"{blue=24.871393366468897, green=13.972332236095728, red=7.809417783624405, nir=3.144663561323135, swir1=0.0882556158245253, swir2=0.020716034947968216, tir1=5.632764709932502}",68.71880531311035,"{lake_TIR=5.632764709932502, bkgd_BT=-4.62552392578125, lake_BT=-4.282656827418924, bkgd_TIR=5.601693911835551}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985100XXX03,1.829998779296875,"{shadow_count=9365.0, cloud_count=26619.0, water_count=47455.0, snow_count=10167.0, lake_SR={blue=0.043981894426300315, green=0.03056737540828273, red=0.020455254451585334, nir=0.02303929196080316, swir1=0.004480193867875047, swir2=0.004104416815930747}}",0.326,38098.0,1985-04-10T18:20:59,100.76457700231481,977.0,"{blue=43.791573411732635, green=25.336358249614523, red=13.275770058041342, nir=5.793186035224579, swir1=0.31061175750795383, swir2=0.08771529865423514, tir1=6.2488666331107625}",42.229408264160156,"{lake_TIR=6.2488666331107625, bkgd_BT=-5.21805052729378, lake_BT=1.773258923752159, bkgd_TIR=5.546365555988527}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985132PAC00,1.0,"{shadow_count=9734.0, cloud_count=19943.0, water_count=49823.0, snow_count=12286.0, lake_SR={blue=0.03250269754932221, green=0.021760819300317577, red=0.013588459145376255, nir=0.014894245629526523, swir1=0.0027148284928649605, swir2=0.001718914958954212}}",0.326,35348.0,1985-05-12T18:20:46,132.7644238773148,36012.0,"{blue=38.667867439860146, green=20.105604813381735, red=9.794390578280154, nir=4.483313547443393, swir1=0.1501919326067176, swir2=0.02977792827546345, tir1=6.330318205226157}",33.03822708129883,"{lake_TIR=6.330318205226157, bkgd_BT=-1.0347216206212198, lake_BT=2.54415019941134, bkgd_TIR=5.956814203637816}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985180PAC03,1.25,"{shadow_count=3767.0, cloud_count=5629.0, water_count=56861.0, snow_count=97.0, lake_SR={blue=0.04787691211902523, green=0.03465295369409358, red=0.02715352702203215, nir=0.032390816200914954, swir1=0.016504802940501568, swir2=0.014392518597983472}}",0.327,33746.0,1985-06-29T18:20:42,180.76437659722222,29.0,"{blue=67.4658242751812, green=55.10904083580807, red=31.48126274963905, nir=11.93243200203468, swir1=1.0908525845613972, swir2=0.3178998329516115, tir1=7.298590506844479}",30.275897979736328,"{lake_TIR=7.298590506844479, bkgd_BT=22.57504741736995, lake_BT=11.28118896484375, bkgd_TIR=8.675510943722566}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985212PAC06,1.7899993896484374,"{shadow_count=6673.0, cloud_count=66819.0, water_count=10756.0, snow_count=18.0, lake_SR={blue=0.050469189289698284, green=0.03213364633692678, red=0.021283218668650353, nir=0.022934510970620457, swir1=0.005738304202305691, swir2=0.00427134622536255}}",0.341,68535.0,1985-07-31T18:20:28,212.76421391203704,2367.0,"{blue=50.17987598182282, green=33.53263935203738, red=20.10074406602889, nir=5.998562788076929, swir1=1.1108108230051634, swir2=0.26460362524486664, tir1=7.322942230902395}",34.62953567504883,"{lake_TIR=7.322942230902395, bkgd_BT=-1.7504826748697142, lake_BT=11.42262845025266, bkgd_TIR=5.9767722253529}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985228PAC09,1.279998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=60109.0, snow_count=0.0, lake_SR={blue=0.029603210833642517, green=0.015100698730637779, red=0.008642150093996225, nir=0.012639060706388294, swir1=0.0036618243524270313, swir2=0.002658561945798215}}",0.301,31530.0,1985-08-16T18:20:18,228.7641030787037,47245.0,"{blue=35.40021038539877, green=16.19728499755038, red=7.73861361056336, nir=3.5909071901132474, swir1=0.17547553872236413, swir2=0.0399798064499838, tir1=7.5628893002159625}",38.06926345825195,"{lake_TIR=7.5628893002159625, bkgd_BT=25.79633109366231, lake_BT=13.560283449746047, bkgd_TIR=9.091335309087286}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
LT50450301985228XXX08,1.279998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=60109.0, snow_count=0.0, lake_SR={blue=0.029603210833642517, green=0.015100698730637779, red=0.008642150093996225, nir=0.012639060706388294, swir1=0.0036618243524270313, swir2=0.002658561945798215}}",0.301,31538.0,1985-08-16T18:20:18,228.7641030787037,47253.0,"{blue=35.40124809723557, green=16.196944041521874, red=7.73827631646655, nir=3.591508180777807, swir1=0.17539592403910226, swir2=0.03973400785954892, tir1=7.530005938254955}",38.06926345825195,"{lake_TIR=7.530245108672975, bkgd_BT=24.752167831677735, lake_BT=13.282137953935136, bkgd_TIR=8.954548419257147}","{blue=94678, green=94678, red=94678, nir=94678, swir1=94678, swir2=94678, tir1=94678}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-122.169267,42.97901199999999],[-122.16819900000002,42.902603000000006],[-122.04645900000001,42.904016000000006],[-122.044417,42.980101000000005],[-122.169267,42.97901199999999]]]}"
