system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50100601986034XXX04,4.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,8507.0,1986-02-03T14:53:15,34.6203218287037,3.0,"{blue=51.06818707784017, green=33.300262014071144, red=18.317559997240703, nir=7.83425239721934, swir1=1.154488208393256, swir2=0.2651575009028117, tir1=7.458347722887993}",41.50634002685547,"{lake_TIR=7.458347722887993, bkgd_BT=0.2715426411868062, lake_BT=12.642852783203125, bkgd_TIR=6.106958068108985}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986050XXX03,4.260000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,10498.0,1986-02-19T14:52:53,50.620063171296295,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.090065002441406,"{lake_TIR=null, bkgd_BT=-5.2731658203125, lake_BT=null, bkgd_TIR=5.5317897551447155}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986082XXX15,4.75,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.248,5996.0,1986-03-23T14:52:13,82.61959689814815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.13612747192383,"{lake_TIR=null, bkgd_BT=14.398935822153708, lake_BT=null, bkgd_TIR=7.662614037453192}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986114XXX04,4.989999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,6369.0,1986-04-24T14:51:30,114.61910609953703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.211734771728516,"{lake_TIR=null, bkgd_BT=11.350603564032193, lake_BT=null, bkgd_TIR=7.306705664233144}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986130XXX03,4.660000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,10446.0,1986-05-10T14:51:06,130.61882131944444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.578125,"{lake_TIR=null, bkgd_BT=-0.024685767389112902, lake_BT=null, bkgd_TIR=6.060898115437839}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986178XXX03,5.339999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,8262.0,1986-06-27T14:49:39,178.61781752314815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.7291374206543,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986194XXX03,5.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,6834.0,1986-07-13T14:49:07,194.6174442939815,6.0,"{blue=29.92102249463399, green=19.19674511750539, red=10.139744659264883, nir=4.476161738236745, swir1=0.8536023783187071, swir2=0.18868111943205199, tir1=7.606011763215065}",42.7153205871582,"{lake_TIR=null, bkgd_BT=14.114918157921075, lake_BT=null, bkgd_TIR=7.629657499486384}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986210XXX03,4.239999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.266,6586.0,1986-07-29T14:48:33,210.6170554513889,6.0,"{blue=31.823148409525555, green=21.18005218108495, red=10.66173287232717, nir=4.622165679931641, swir1=0.7332480462888876, swir2=0.11220473796129227, tir1=7.689072785899043}",41.72684860229492,"{lake_TIR=null, bkgd_BT=14.373083623250325, lake_BT=null, bkgd_TIR=7.660001427959651}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986226XXX05,4.910000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,8244.0,1986-08-14T14:47:58,226.61664899305555,10.0,"{blue=40.371526050567624, green=26.512944507598878, red=13.96765822172165, nir=6.374212980270386, swir1=0.42433859407901764, swir2=0.11875985637307167, tir1=7.417740111798048}",39.93832778930664,"{lake_TIR=7.417740111798048, bkgd_BT=11.190504308690361, lake_BT=12.32105712890625, bkgd_TIR=7.31559430154907}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT50100601986242XXX03,4.830000305175782,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,10508.0,1986-08-30T14:47:22,242.6162282638889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.73830032348633,"{lake_TIR=null, bkgd_BT=-1.9200607135563492, lake_BT=null, bkgd_TIR=5.866512717168371}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
