system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71200651999225EDC00,4.460000610351562,"{shadow_count=0.0, cloud_count=0.0, water_count=227.0, snow_count=0.0, lake_SR={blue=0.03406828193832601, green=0.0544374449339207, red=0.033545374449339166, nir=0.030517621145374447, swir1=0.007968281938325984, swir2=0.0054092511013215895}}",0.263,3676.0,1999-08-13T02:41:00,225.11181047453704,59.0,"{blue=51.426772356033325, green=46.56575415397094, red=18.106546612109167, nir=7.955518376019041, swir1=0.49325246856374255, swir2=0.10906509474172431, tir1=8.142495722715127, tir2=8.150750649303703}",37.84237289428711,"{lake_TIR=8.13812241015526, bkgd_BT=21.999592645930857, lake_BT=17.401935283954327, bkgd_TIR=8.730290797324134}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200651999337SGS00,5.569999694824219,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.272,3989.0,1999-12-03T02:40:56,337.11176966435187,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.058452606201172,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200651999353EDC00,4.65,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.266,3989.0,1999-12-19T02:41:03,353.1118492013889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.1536979675293,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000020SGS00,4.819999694824219,"{shadow_count=193.0, cloud_count=399.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.07956, green=0.10262, red=0.06120000000000001, nir=0.06906, swir1=0.03563999999999999, swir2=0.024640000000000002}}",0.25616666666666665,3712.0,2000-01-20T02:40:54,20.111738506944445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.03432846069336,"{lake_TIR=null, bkgd_BT=11.832843101187928, lake_BT=null, bkgd_TIR=7.458561159568291}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000036SGS00,4.589999389648438,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.255,3989.0,2000-02-05T02:40:53,36.11173057870371,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.729679107666016,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000068SGS00,4.910000610351562,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,3989.0,2000-03-08T02:40:40,68.11158407407407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.432960510253906,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000132SGS00,4.710000610351562,"{shadow_count=1442.0, cloud_count=1276.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,3827.0,2000-05-11T02:40:14,132.11128224537038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.14960479736328,"{lake_TIR=null, bkgd_BT=24.847369854266827, lake_BT=null, bkgd_TIR=9.103137559615648}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000212SGS01,4.65,"{shadow_count=457.0, cloud_count=738.0, water_count=84.0, snow_count=0.0, lake_SR={blue=0.048242857142857136, green=0.07787738095238095, red=0.02770714285714285, nir=0.024310714285714297, swir1=0.007597619047619055, swir2=0.0054642857142857115}}",0.259,3721.0,2000-07-30T02:39:18,212.11063244212963,60.0,"{blue=50.01206105152766, green=45.74955982863903, red=17.28628001213074, nir=7.484632641077042, swir1=0.45784655436873434, swir2=0.09556099139153958, tir1=8.149905571962396, tir2=8.154429082448283}",40.520713806152344,"{lake_TIR=8.149905571962396, bkgd_BT=23.206786486278276, lake_BT=17.411066182454427, bkgd_TIR=8.898051036679966}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000244EDC01,4.380000305175781,"{shadow_count=892.0, cloud_count=2518.0, water_count=16.0, snow_count=0.0, lake_SR={blue=0.04055, green=0.041593750000000006, red=0.0370125, nir=0.04055, swir1=0.010068750000000001, swir2=0.0059875000000000015}}",0.266,3415.0,2000-08-31T02:39:00,244.11042621527778,32.0,"{blue=61.5503945350647, green=53.83593684621155, red=23.110396772623062, nir=10.317790422588587, swir1=0.6250886898487806, swir2=0.123271374264732, tir1=8.190856359666213, tir2=8.18078242847696}",34.12456512451172,"{lake_TIR=8.146231781159129, bkgd_BT=22.683952956903177, lake_BT=17.466439383370535, bkgd_TIR=8.815841035764725}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LE71200652000308SGS00,4.989999389648437,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.266,3989.0,2000-11-03T02:38:29,308.11006055555555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.952381134033203,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
