system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71120661999233ASA00,4.469999694824219,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,515.0,1999-08-21T01:51:56,233.07774104166666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.12158966064453,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999249ASA00,3.7899993896484374,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.264,515.0,1999-09-06T01:52:00,249.07778315972223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.27577209472656,"{lake_TIR=null, bkgd_BT=22.16876325936153, lake_BT=null, bkgd_TIR=8.749945217987587}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999265EDC00,3.1300003051757814,"{shadow_count=42.0, cloud_count=473.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.269,498.0,1999-09-22T01:52:00,265.0777836111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.59009552001953,"{lake_TIR=null, bkgd_BT=20.573916348544035, lake_BT=null, bkgd_TIR=8.541345803913744}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999281ASA00,4.05,"{shadow_count=2.0, cloud_count=352.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.27,515.0,1999-10-08T01:52:07,281.0778631134259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.869415283203125,"{lake_TIR=null, bkgd_BT=24.999471811147835, lake_BT=null, bkgd_TIR=9.126359849308546}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999297ASA00,4.960000610351562,"{shadow_count=50.0, cloud_count=433.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.266,485.0,1999-10-24T01:51:56,297.07773569444447,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.80438995361328,"{lake_TIR=null, bkgd_BT=22.073355723235565, lake_BT=null, bkgd_TIR=8.735757438023969}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999313SGS00,4.65,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259,515.0,1999-11-09T01:51:59,313.0777774652778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.512950897216797,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999329EDC00,4.769999694824219,"{shadow_count=20.0, cloud_count=418.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263,503.0,1999-11-25T01:51:50,329.0776726388889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.37991714477539,"{lake_TIR=null, bkgd_BT=17.838684572667553, lake_BT=null, bkgd_TIR=8.193027450508435}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120661999361ASA00,5.419999694824218,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,515.0,1999-12-27T01:51:53,361.07770310185185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.370975494384766,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120662000028ASA00,5.039999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,429.0,2000-01-28T01:51:53,28.077699386574075,17.0,"{blue=99.70866274833679, green=93.2644036026562, red=55.4832342933206, nir=14.171792528208565, swir1=1.398189127445221, swir2=0.34203330778023777, tir1=8.16088936083457, tir2=8.148228295147419}",33.627418518066406,"{lake_TIR=8.16088936083457, bkgd_BT=18.875084510216347, lake_BT=17.581936106962317, bkgd_TIR=8.323900727698437}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120662000060ASA00,4.969999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,515.0,2000-02-29T01:51:43,60.07758604166666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.81329345703125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120662000076SGS00,4.960000610351562,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,515.0,2000-03-16T01:51:39,76.07753496527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.819976806640625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120662000092SGS00,5.030000305175781,"{shadow_count=45.0, cloud_count=470.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.258,410.0,2000-04-01T01:51:35,92.07749826388888,19.0,"{blue=75.69067652601944, green=77.68619875845157, red=37.46875351353695, nir=10.765768816596584, swir1=1.3516868454845328, swir2=0.3107749290372196, tir1=8.428197327020921, tir2=8.418452078574582}",33.690738677978516,"{lake_TIR=8.428197327020921, bkgd_BT=19.33989345666134, lake_BT=19.693206787109375, bkgd_TIR=8.385318601616856}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LE71120662000124ASA00,5.010000610351563,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.261,507.0,2000-05-03T01:51:20,124.07732206018518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.95923614501953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
