system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC82140342013161LGN00,3.480000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.316,2606.0,2013-06-10T12:18:43,161.5130083564815,1986.0,"{blue=68.59554193311156, green=77.59953982632304, red=37.18930063515007, nir=9.546270301709026, swir1=1.0609776658225947, swir2=0.2498599370280133, tir1=8.14928985270443, tir2=7.416446752665111}",22.29741668701172,"{lake_TIR=8.14928985270443, bkgd_BT=21.212197127312482, lake_BT=16.375349338681318, bkgd_TIR=8.795646430085636}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342013177LGN01,1.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.306,2884.0,2013-06-26T12:18:39,177.51296181712962,1576.0,"{blue=76.6392755129813, green=77.52568269076966, red=37.09654473497764, nir=11.236920011579059, swir1=1.033553975880847, swir2=0.24986653403127282, tir1=8.492494448944825, tir2=7.785654027455517}",22.656875610351562,"{lake_TIR=8.492494448944825, bkgd_BT=22.81046335217476, lake_BT=18.98553509397555, bkgd_TIR=9.015368443472193}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342013209LGN00,3.6199996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.309,2637.0,2013-07-28T12:18:42,209.5129925462963,1911.0,"{blue=58.35915387804512, green=54.197608981293214, red=23.466727560045893, nir=6.18583878367303, swir1=0.5798837763967879, swir2=0.13147213624288098, tir1=8.37213748659565, tir2=7.628008348300938}",26.443851470947266,"{lake_TIR=8.37213748659565, bkgd_BT=22.382889088445463, lake_BT=18.078819686115132, bkgd_TIR=8.953126270694197}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342013225LGN00,2.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.312,4662.0,2013-08-13T12:18:43,225.51300244212962,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.601253509521484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342013241LGN00,2.7800003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,4662.0,2013-08-29T12:18:45,241.5130320486111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.56062316894531,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342013289LGN00,1.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.307,4662.0,2013-10-16T12:18:34,289.5128993634259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.85588836669922,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342013305LGN00,3.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.316,2790.0,2013-11-01T12:18:27,305.512816412037,204.0,"{blue=44.48893398246454, green=32.96330399448782, red=16.699305330585762, nir=6.703305318750734, swir1=0.7478368972187323, swir2=0.1880741003648533, tir1=7.744711687788367, tir2=7.078644335461671}",54.01573944091797,"{lake_TIR=7.744711687788367, bkgd_BT=13.470079279270301, lake_BT=13.217241923014322, bkgd_TIR=7.776753520237149}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342014004LGN00,2.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.305,4650.0,2014-01-04T12:18:04,4.512550983796297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",63.31292915344238,"{lake_TIR=null, bkgd_BT=7.796016009556765, lake_BT=null, bkgd_TIR=7.082704111005413}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342014068LGN00,1.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,3733.0,2014-03-09T12:17:16,68.51199975694445,486.0,"{blue=55.6642742967578, green=47.7467862075739, red=26.19053218879166, nir=7.902883721010591, swir1=0.8186589593581334, swir2=0.20807578131892343, tir1=7.152353012936483, tir2=6.643102888888852}",46.92315673828125,"{lake_TIR=7.152353012936483, bkgd_BT=7.753403890198766, lake_BT=8.409137490354938, bkgd_TIR=7.0737086659308925}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
LC82140342014084LGN00,1.079998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,4662.0,2014-03-25T12:17:01,84.51182391203703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.78714370727539,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=4662, green=4662, red=4662, nir=4662, swir1=4662, swir2=4662, tir1=4662, tir2=4662}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.342298000000007,37.76871400000002],[-25.342179000000005,37.749307],[-25.320661999999995,37.74893599999999],[-25.320994,37.769458],[-25.342298000000007,37.76871400000002]]]}"
