system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81050292013182LGN00,2.3100006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.351,5187.0,2013-07-01T01:03:03,182.04378543981483,1720.0,"{blue=75.40117124096317, green=43.67351058865085, red=20.4289142574162, nir=8.354500543150975, swir1=0.6695974666721372, swir2=0.14872059523368925, tir1=7.935131974673903, tir2=7.3489010868616385}",26.49289321899414,"{lake_TIR=7.935131974673903, bkgd_BT=17.70237162535579, lake_BT=14.7116553373115, bkgd_TIR=8.322966344877969}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013198LGN00,2.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.354,7474.0,2013-07-17T01:03:03,198.04378903935185,151.0,"{blue=64.4646708110335, green=35.8123699026244, red=16.23075570037206, nir=6.886134902514912, swir1=0.6465849379780672, swir2=0.15110048720388, tir1=8.068862176874948, tir2=7.356646351754474}",28.407405853271484,"{lake_TIR=8.068862176874948, bkgd_BT=15.742950996343236, lake_BT=15.756230234310326, bkgd_TIR=8.068233647407542}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013214LGN00,2.85,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.31,8218.0,2013-08-02T01:03:05,214.04380917824074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.422313690185547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013262LGN00,1.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.31,4979.0,2013-09-19T01:03:01,262.04376809027775,3083.0,"{blue=40.974181841707875, green=22.00101212985171, red=9.324948266726755, nir=3.0470959041137737, swir1=0.19757798180483135, swir2=0.037225394694739816, tir1=7.999238794729661, tir2=7.382868769740854}",45.425350189208984,"{lake_TIR=7.999238794729661, bkgd_BT=14.81310981894439, lake_BT=15.213269130076984, bkgd_TIR=7.948042917145605}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013310LGN00,1.129998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.295,8218.0,2013-11-06T01:02:49,310.04363125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",61.77175521850586,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013326LGN00,0.9399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.365,8218.0,2013-11-22T01:02:40,326.0435229166667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",65.95834159851074,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013342LGN00,0.620001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.397,3535.0,2013-12-08T01:02:41,342.0435354861111,3188.0,"{blue=29.163179645784563, green=14.611573035168547, red=7.1429008410550034, nir=2.2486216057155635, swir1=0.12206019410937137, swir2=0.023095767177177484, tir1=6.53486871301525, tir2=6.005217953336446}",68.77201461791992,"{lake_TIR=6.53486871301525, bkgd_BT=-2.3697701966690197, lake_BT=3.1423847959511253, bkgd_TIR=5.923324597989091}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292013358LGN00,0.520001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.398,8218.0,2013-12-24T01:02:31,358.0434246296296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",69.86522102355957,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292014009LGN00,0.4600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.405,8218.0,2014-01-09T01:02:21,9.043307025462964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",69.06904792785645,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LC81050292014057LGN00,0.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.361,8185.0,2014-02-26T01:01:47,57.042908321759256,3.0,"{blue=87.18010925501585, green=60.9608714270095, red=43.97218979212145, nir=13.264162431160608, swir1=0.5315098388430973, swir2=0.13523097212115923, tir1=6.9680306552909315, tir2=6.427851893589832}",56.7767448425293,"{lake_TIR=6.9680306552909315, bkgd_BT=-4.349595984634088, lake_BT=6.862030029296875, bkgd_TIR=5.712166926290184}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218, tir2=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
