system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70990231999190SGS00,2.5,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.294,8187.0,1999-07-09T00:14:23,190.0099930902778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.91050720214844,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990231999206EDC01,1.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.311,6228.0,1999-07-25T00:14:26,206.01002586805555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.505462646484375,"{lake_TIR=null, bkgd_BT=26.198800140956664, lake_BT=null, bkgd_TIR=9.285800098248249}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990231999222EDC00,1.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,8187.0,1999-08-10T00:14:30,222.01007612268518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.25436782836914,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990231999238EDC00,1.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.325,3630.0,1999-08-26T00:14:32,238.0100940162037,50.0,"{blue=77.99738687515259, green=58.33628274679184, red=30.620748805999757, nir=10.433464431762696, swir1=0.8049528732895851, swir2=0.21101177468895913, tir1=7.078979579806328, tir2=7.0804527219384905}",44.91849899291992,"{lake_TIR=7.078979579806328, bkgd_BT=13.617872619628907, lake_BT=8.294424438476563, bkgd_TIR=7.673031552694738}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990231999254EDC00,1.429998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.291,815.0,1999-09-11T00:14:29,254.0100605902778,66.0,"{blue=53.18483727989775, green=40.802934391932055, red=24.302488110282205, nir=7.326926646810589, swir1=0.562456557922291, swir2=0.14750652760267258, tir1=7.091868341533524, tir2=7.092967038127509}",50.26062774658203,"{lake_TIR=7.091868341533524, bkgd_BT=10.601245085398356, lake_BT=8.494894316702178, bkgd_TIR=7.311742179949458}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990231999302EDC02,0.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.281,8187.0,1999-10-29T00:14:29,302.0100659722222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",67.3718032836914,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990232000033EDC00,0.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.513,8048.0,2000-02-02T00:14:23,33.009998680555555,74.0,"{blue=73.0315502495379, green=37.84808959268235, red=22.09233406427744, nir=9.061257594340557, swir1=0.08651954882048271, swir2=0.014231722097139101, tir1=2.9799148974990524, tir2=3.2000000290572643}",72.50970649719238,"{lake_TIR=2.9799148974990524, bkgd_BT=-33.143320846557614, lake_BT=-36.08801063331398, bkgd_TIR=3.1849370313808323}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990232000081EDC00,0.4,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.439,8187.0,2000-03-21T00:14:12,81.00987246527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.296836853027344,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990232000113SGS00,0.6600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.413,8187.0,2000-04-22T00:13:54,113.00965907407408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",43.20009994506836,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LE70990232000145EDC00,1.4,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.391,8187.0,2000-05-24T00:13:34,145.0094266087963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.906982421875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187, tir2=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
