system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80930672013146LGN01,4.010000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.246,19762.0,2013-05-26T00:04:06,146.00285280092592,1.0,"{blue=101.98093098402023, green=85.21098580211401, red=56.77300534583628, nir=18.80406721867621, swir1=1.650664274347946, swir2=0.3466083153616637, tir1=8.306613455992192, tir2=7.317381159868091}",41.01934814453125,"{lake_TIR=8.306613455992192, bkgd_BT=15.610982562797398, lake_BT=17.581512451171875, bkgd_TIR=8.051228563699496}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013178LGN01,4.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,20319.0,2013-06-27T00:04:00,178.0027799884259,994.0,"{blue=50.07365677648709, green=28.522127836393622, red=14.940672263665165, nir=5.267359653881318, swir1=0.5350473455373119, swir2=0.11730789678275277, tir1=8.550850856468204, tir2=7.723763102040602}",43.56840515136719,"{lake_TIR=8.550850856468204, bkgd_BT=19.641872020942206, lake_BT=19.424939529756664, bkgd_TIR=8.579857684287811}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013194LGN00,4.369999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.246,22496.0,2013-07-13T00:04:02,194.00280766203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",42.93496322631836,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013210LGN00,4.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,22496.0,2013-07-29T00:04:02,210.00281091435184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.939697265625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013226LGN00,3.7199996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,19540.0,2013-08-14T00:04:03,226.00281952546297,2405.0,"{blue=48.37025842306799, green=25.707610859419848, red=12.704823050758339, nir=4.937154635403639, swir1=0.5399698814625993, swir2=0.12325887461800396, tir1=8.89314144063226, tir2=8.138909344501423}",37.77436447143555,"{lake_TIR=8.89314144063226, bkgd_BT=23.996622942211218, lake_BT=21.959385582810874, bkgd_TIR=9.17429689902443}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013258LGN00,3.2,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,19844.0,2013-09-15T00:04:02,258.0028023148148,268.0,"{blue=60.992689101324316, green=37.66034875476538, red=19.41130939882193, nir=7.741773543083595, swir1=0.802929209781126, swir2=0.16287453312760414, tir1=8.913812639248217, tir2=8.093633219102786}",29.65652847290039,"{lake_TIR=8.913812639248217, bkgd_BT=24.34576720664052, lake_BT=22.109262722641674, bkgd_TIR=9.22342623855946}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013322LGN00,3.6399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,22496.0,2013-11-18T00:03:43,322.0025836342593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.128280639648438,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672013354LGN00,4.269999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,22496.0,2013-12-20T00:03:31,354.00244274305555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.332408905029297,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672014005LGN00,3.6300003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,20138.0,2014-01-05T00:03:24,5.002363854166667,1702.0,"{blue=60.243370503154345, green=32.81841731941947, red=16.15255410614348, nir=5.958040744834224, swir1=0.6111952482654848, swir2=0.14139826960497662, tir1=8.762224800133838, tir2=7.855505173480547}",30.748001098632812,"{lake_TIR=8.762224800133838, bkgd_BT=19.539943319528213, lake_BT=20.996607259353656, bkgd_TIR=8.56759819292558}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
LC80930672014037LGN00,4.719999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,19629.0,2014-02-06T00:03:03,37.002118877314814,5.0,"{blue=107.80900906287134, green=102.24261768441647, red=76.75149624664337, nir=21.366962746623905, swir1=1.9283591674640774, swir2=0.41900447255466133, tir1=8.169056694814936, tir2=7.201681085233576}",31.316932678222656,"{lake_TIR=8.169056694814936, bkgd_BT=16.942286128273103, lake_BT=16.529248046875, bkgd_TIR=8.224260229367454}","{blue=22496, green=22496, red=22496, nir=22496, swir1=22496, swir2=22496, tir1=22496, tir2=22496}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[150.510413,-9.486078],[150.511514,-9.535515999999998],[150.54657,-9.534180000000001],[150.543962,-9.486645000000001],[150.510413,-9.486078]]]}"
