system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50150531984128XXX03,4.480000305175781,"{shadow_count=102.0, cloud_count=1167.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.276,1269.0,1984-05-07T15:21:46,128.64011936342592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.478824615478516,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531984176AAA04,4.939999389648437,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.277,1269.0,1984-06-24T15:22:51,176.64086858796296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.018150329589844,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531985034XXX01,3.330000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=146.0, snow_count=0.0, lake_SR={blue=0.02472534246575343, green=0.03276301369863016, red=0.023582876712328803, nir=0.030991780821917815, swir1=0.020062328767123265, swir2=0.018576027397260275}}",0.24,585.0,1985-02-03T15:24:49,34.64224398148148,28.0,"{blue=38.28078596932547, green=35.26782854540007, red=13.632094370467323, nir=5.717195242643356, swir1=0.3822145778685808, swir2=0.1192280791167702, tir1=8.312030456028879}",44.6583137512207,"{lake_TIR=8.312030456028879, bkgd_BT=15.291645498540316, lake_BT=19.69882529122489, bkgd_TIR=7.775334090170361}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531985066XXX03,3.2199996948242187,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.266,1269.0,1985-03-07T15:24:51,66.6422577662037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.592960357666016,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531985082AAA09,3.480000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=108.0, snow_count=0.0, lake_SR={blue=0.0473712962962963, green=0.09549259259259264, red=0.07496111111111106, nir=0.04718240740740743, swir1=0.028493518518518533, swir2=0.027450000000000013}}",0.26,716.0,1985-03-23T15:24:49,82.64223524305555,44.0,"{blue=54.06378109888597, green=79.76774417541243, red=47.6596247011965, nir=11.112704542550174, swir1=0.9374857006425207, swir2=0.32673588598316367, tir1=8.559955023737116}",35.42523956298828,"{lake_TIR=8.559955023737116, bkgd_BT=19.839418988720688, lake_BT=21.67150254683061, bkgd_TIR=8.330824312108643}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531985194AAA04,4.430000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=1158.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.292,1269.0,1985-07-13T15:24:21,194.64191743055557,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.99759292602539,"{lake_TIR=null, bkgd_BT=-13.421973418785567, lake_BT=null, bkgd_TIR=4.766635120126023}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531986005XXX09,4.2,"{shadow_count=0.0, cloud_count=0.0, water_count=258.0, snow_count=0.0, lake_SR={blue=0.03570542635658919, green=0.05172131782945731, red=0.04375891472868221, nir=0.0414790697674419, swir1=0.025658527131782915, swir2=0.023753875968992262}}",0.249,302.0,1986-01-05T15:21:59,5.640272337962963,40.0,"{blue=48.56185646057129, green=65.78242436647415, red=39.72777653634548, nir=8.805178609490394, swir1=0.5777903674170375, swir2=0.17939470168203114, tir1=7.441274068225175}",47.345069885253906,"{lake_TIR=7.441274068225175, bkgd_BT=11.620272610740136, lake_BT=12.501578521728515, bkgd_TIR=7.338576721695257}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531986021XXX03,3.4,"{shadow_count=0.0, cloud_count=0.0, water_count=160.0, snow_count=0.0, lake_SR={blue=0.030360000000000033, green=0.055321250000000086, red=0.04271562500000006, nir=0.034721249999999995, swir1=0.01997562499999999, swir2=0.017709999999999983}}",0.237,356.0,1986-01-21T15:21:39,21.640044907407407,37.0,"{blue=45.546276234291696, green=64.12788171703751, red=37.880361495791256, nir=8.434052373911884, swir1=0.6090987578437135, swir2=0.1848425365783073, tir1=7.824514633699043}",46.800811767578125,"{lake_TIR=7.824514633699043, bkgd_BT=13.80788649775211, lake_BT=15.70659658071157, bkgd_TIR=7.598189989329639}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531986037XXX18,2.75,"{shadow_count=0.0, cloud_count=0.0, water_count=172.0, snow_count=0.0, lake_SR={blue=0.028312790697674436, green=0.0527151162790698, red=0.040902325581395345, nir=0.03222093023255811, swir1=0.019075581395348852, swir2=0.0170796511627907}}",0.248,352.0,1986-02-06T15:21:18,37.63979724537037,36.0,"{blue=46.42476205031077, green=67.8244960837894, red=38.67510030666987, nir=7.73691643608941, swir1=0.449078095662925, swir2=0.1340551326672236, tir1=7.838274993312855}",44.9705810546875,"{lake_TIR=7.872813836078752, bkgd_BT=14.034088134765625, lake_BT=16.10367376154119, bkgd_TIR=7.6289683272734505}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT50150531986053XXX03,3.4399993896484373,"{shadow_count=0.0, cloud_count=0.0, water_count=316.0, snow_count=0.0, lake_SR={blue=0.05557341772151902, green=0.07381613924050633, red=0.0667648734177215, nir=0.0634699367088608, swir1=0.04333386075949371, swir2=0.0440018987341772}}",0.254,496.0,1986-02-22T15:20:56,53.63953755787037,40.0,"{blue=56.5843522310257, green=75.8972903907299, red=48.13178676664829, nir=10.491524136066436, swir1=0.680091549642384, swir2=0.23511320818215609, tir1=8.230353783722967}",42.20056915283203,"{lake_TIR=8.230353783722967, bkgd_BT=17.043157456238145, lake_BT=19.02195816040039, bkgd_TIR=7.989308775407989}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
