system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81070322013132LGN01,1.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3569246031746031,2166.0,2013-05-12T01:16:33,132.0531655324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.19147491455078,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013164LGN00,3.9300003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.279,2091.0,2013-06-13T01:16:37,164.05321421296296,3.0,"{blue=44.632565058767796, green=25.536368844099343, red=11.775891713177165, nir=4.426112778484821, swir1=0.4103142910947402, swir2=0.08761509214915957, tir1=8.207690226379782, tir2=7.493281812523492}",23.557708740234375,"{lake_TIR=8.207690226379782, bkgd_BT=27.531531197684153, lake_BT=16.825775146484375, bkgd_TIR=9.70293590079982}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013180LGN00,3.019999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.354,2107.0,2013-06-29T01:16:35,180.05319177083334,1.0,"{blue=73.43938813731074, green=42.45230513531715, red=27.532603085041046, nir=8.980384002439678, swir1=2.0744480115827173, swir2=0.5365442853653803, tir1=8.56127393222414, tir2=7.822357511031441}",24.043167114257812,"{lake_TIR=8.56127393222414, bkgd_BT=15.528374343621927, lake_BT=19.503570556640625, bkgd_TIR=8.039910818778406}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013196LGN00,3.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.337,2172.0,2013-07-15T01:16:37,196.05320725694443,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.730270385742188,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013212LGN00,5.230000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.287,2172.0,2013-07-31T01:16:38,212.05321820601853,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.393875122070312,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013228LGN00,3.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,2172.0,2013-08-16T01:16:38,228.05322055555555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.938304901123047,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013260LGN00,1.8399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28544444444444445,1985.0,2013-09-17T01:16:35,260.05319278935184,4.0,"{blue=34.2546566138044, green=19.45934756938368, red=8.994535555131733, nir=3.557008879026398, swir1=0.4142612408613786, swir2=0.07178201584611088, tir1=7.561013032798655, tir2=7.19213967237738}",41.27850341796875,"{lake_TIR=7.561013032798655, bkgd_BT=13.071297131713585, lake_BT=11.750740051269531, bkgd_TIR=7.737664030182897}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013276LGN00,1.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28613345864661655,1872.0,2013-10-03T01:16:31,276.05313921296295,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",46.6973762512207,"{lake_TIR=null, bkgd_BT=4.4243179257974585, lake_BT=null, bkgd_TIR=6.6816341122974645}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013292LGN00,0.9399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2882462406015038,2172.0,2013-10-19T01:16:28,292.05310388888887,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",52.1890754699707,"{lake_TIR=null, bkgd_BT=-2.0312971096594357, lake_BT=null, bkgd_TIR=5.959746790356998}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013308LGN00,1.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.30103859649122805,2071.0,2013-11-04T01:16:22,308.0530421527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",57.3246955871582,"{lake_TIR=null, bkgd_BT=2.002251642400568, lake_BT=null, bkgd_TIR=6.405629612392196}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013324LGN00,1.0600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313656862745098,2172.0,2013-11-20T01:16:15,324.0529624421296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",61.634321212768555,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
LC81070322013340LGN00,1.1600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3169388888888889,2172.0,2013-12-06T01:16:15,340.0529541203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",64.66412162780762,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2172, green=2172, red=2172, nir=2172, swir1=2172, swir2=2172, tir1=2172, tir2=2172}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.976304,39.854628],[140.977397,39.846979],[141.00705899999997,39.847726],[141.007769,39.853561],[140.976304,39.854628]]]}"
