system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81620682013117LGN01,4.069999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,16772.0,2013-04-27T07:10:38,117.29905886574075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.29008865356445,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013197LGN00,3.019999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,15203.0,2013-07-16T07:10:52,197.29921694444445,13.0,"{blue=38.419859799699715, green=20.251026228500102, red=11.317831864652153, nir=4.194805679771189, swir1=0.7470252059865743, swir2=0.229920545382461, tir1=7.678240144813362, tir2=7.298203215665685}",43.83885192871094,"{lake_TIR=7.678240144813362, bkgd_BT=14.769406996611867, lake_BT=12.688279371995192, bkgd_TIR=7.94234580626408}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013213LGN00,3.8800003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,16813.0,2013-08-01T07:10:53,213.29923476851852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.52580642700195,"{lake_TIR=null, bkgd_BT=16.659873536179184, lake_BT=null, bkgd_TIR=8.186609014761913}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013229LGN00,2.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,16969.0,2013-08-17T07:10:54,229.29924128472223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.07828903198242,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013245LGN00,3.5100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.266,12033.0,2013-09-02T07:10:56,245.29926239583332,10.0,"{blue=36.24337461590767, green=18.669387697055935, red=9.921246023382992, nir=3.7032055226154625, swir1=0.7012461746344343, swir2=0.2087196935201064, tir1=8.206420265999622, tir2=7.783055579266511}",33.9027214050293,"{lake_TIR=8.206420265999622, bkgd_BT=18.80558272029849, lake_BT=16.7802490234375, bkgd_TIR=8.47829934571956}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013277LGN00,3.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,17042.0,2013-10-04T07:10:46,277.29915392361113,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.00174331665039,"{lake_TIR=null, bkgd_BT=15.563717185380217, lake_BT=null, bkgd_TIR=8.044619088642708}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013293LGN00,3.3699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,16512.0,2013-10-20T07:10:42,293.29910790509257,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.90106201171875,"{lake_TIR=null, bkgd_BT=17.41650666386248, lake_BT=null, bkgd_TIR=8.285119557750821}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682013325LGN00,3.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,12460.0,2013-11-21T07:10:30,325.2989595949074,20.0,"{blue=44.72899310551584, green=23.28950058557093, red=12.42462539859116, nir=4.443973490502685, swir1=0.6428800837835297, swir2=0.2150041452725418, tir1=9.923506960005033, tir2=8.80199826428434}",25.142959594726562,"{lake_TIR=9.923506960005033, bkgd_BT=24.077772581649647, lake_BT=29.265348815917967, bkgd_TIR=9.191628166434878}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682014008LGN00,4.430000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,16860.0,2014-01-08T07:10:11,8.298743402777777,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.503746032714844,"{lake_TIR=null, bkgd_BT=7.111529927675416, lake_BT=null, bkgd_TIR=6.9968781486202305}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LC81620682014024LGN00,4.769999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,12929.0,2014-01-24T07:10:01,24.298627291666666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.107444763183594,"{lake_TIR=null, bkgd_BT=19.321934418561153, lake_BT=null, bkgd_TIR=8.543977381656644}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
