system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71120661999233ASA00,4.469999694824219,"{shadow_count=0.0, cloud_count=2085.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,2072.0,1999-08-21T01:51:56,233.07774104166666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.12158966064453,"{lake_TIR=null, bkgd_BT=16.7000732421875, lake_BT=null, bkgd_TIR=8.050393760204315}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999249ASA00,3.7899993896484374,"{shadow_count=150.0, cloud_count=113.0, water_count=195.0, snow_count=0.0, lake_SR={blue=0.052281025641025665, green=0.05248410256410254, red=0.02700410256410255, nir=0.026597435897435868, swir1=0.013585641025641016, swir2=0.009611794871794867}}",0.264,1754.0,1999-09-06T01:52:00,249.07778315972223,135.0,"{blue=68.29370754206622, green=49.35755846500397, red=18.80242396460639, nir=7.5199328219449075, swir1=0.5660689285507908, swir2=0.11921693980693818, tir1=9.29969560669528, tir2=9.301023552014872}",33.27577209472656,"{lake_TIR=9.29969560669528, bkgd_BT=20.53074820478921, lake_BT=26.273060890480323, bkgd_TIR=8.536256401248849}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999265EDC00,3.1300003051757814,"{shadow_count=87.0, cloud_count=1871.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.269,2023.0,1999-09-22T01:52:00,265.0777836111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.59009552001953,"{lake_TIR=null, bkgd_BT=19.120421036430027, lake_BT=null, bkgd_TIR=8.355200335545385}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999281ASA00,4.05,"{shadow_count=119.0, cloud_count=417.0, water_count=26.0, snow_count=0.0, lake_SR={blue=0.12324230769230768, green=0.12798846153846155, red=0.07226538461538463, nir=0.07557692307692307, swir1=0.046938461538461554, swir2=0.03813846153846154}}",0.27,1838.0,1999-10-08T01:52:07,281.0778631134259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.869415283203125,"{lake_TIR=null, bkgd_BT=16.388668679684535, lake_BT=null, bkgd_TIR=8.01181132172281}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999297ASA00,4.960000610351562,"{shadow_count=298.0, cloud_count=1449.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.13116, green=0.13785999999999998, red=0.06744, nir=0.05512, swir1=0.03424000000000001, swir2=0.0312}}",0.266,1858.0,1999-10-24T01:51:56,297.07773569444447,51.0,"{blue=86.21049984296162, green=65.10212208242977, red=27.4113099528294, nir=13.101906582420947, swir1=1.6308307957415487, swir2=0.4358537460074705, tir1=9.00407602754878, tir2=9.022174552375196}",25.80438995361328,"{lake_TIR=9.00407602754878, bkgd_BT=19.26082524838655, lake_BT=24.117175532322303, bkgd_TIR=8.37328455341251}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999313SGS00,4.65,"{shadow_count=0.0, cloud_count=2085.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259,2085.0,1999-11-09T01:51:59,313.0777774652778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.512950897216797,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999329EDC00,4.769999694824219,"{shadow_count=263.0, cloud_count=1822.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263,1873.0,1999-11-25T01:51:50,329.0776726388889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.37991714477539,"{lake_TIR=null, bkgd_BT=17.669908996022077, lake_BT=null, bkgd_TIR=8.171777799007817}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120661999361ASA00,5.419999694824218,"{shadow_count=0.0, cloud_count=2085.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,2085.0,1999-12-27T01:51:53,361.07770310185185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.370975494384766,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120662000028ASA00,5.039999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,2085.0,2000-01-28T01:51:53,28.077699386574075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.627418518066406,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LE71120662000060ASA00,4.969999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,2085.0,2000-02-29T01:51:43,60.07758604166666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.81329345703125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
