system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51010271984187HAJ00,1.629998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.348,117.0,1984-07-05T00:04:06,187.00285239583334,5.0,"{blue=84.67987089157104, green=68.29461331367493, red=33.69881267547608, nir=11.805559611320495, swir1=0.8816850557923317, swir2=0.3219685271382332, tir1=7.007972399890423}",32.719635009765625,"{lake_TIR=7.007972399890423, bkgd_BT=23.578653269800647, lake_BT=8.739349365234375, bkgd_TIR=8.791779466358753}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51010271984251HAJ00,2.3399993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.316,95.0,1984-09-07T00:05:38,251.0039226736111,4.0,"{blue=57.05428922176361, green=37.156692415475845, red=19.7095285654068, nir=8.78327801823616, swir1=1.0140748210251331, swir2=0.25969490222632885, tir1=7.149176138453186}",46.619239807128906,"{lake_TIR=7.149176138453186, bkgd_BT=null, lake_BT=9.9864501953125, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51010271991269HAJ00,2.129998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.315,132.0,1991-09-26T23:59:29,269.9996422800926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",53.39812088012695,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51010271994277HAJ00,1.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29,132.0,1994-10-04T23:51:32,277.99413020833333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",56.892059326171875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51010272007186MGR00,2.4300003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.339,105.0,2007-07-05T00:29:19,186.02036541666666,9.0,"{blue=82.72094386816025, green=54.2830114364624, red=25.393400218751694, nir=9.294291814168295, swir1=1.0475065799223051, swir2=0.38897640423642266, tir1=7.932103185604016}",29.622589111328125,"{lake_TIR=7.932103185604016, bkgd_BT=27.018983470698704, lake_BT=16.659474690755207, bkgd_TIR=9.240438338609472}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51010272010258MGR00,1.6899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.306,82.0,2010-09-15T00:25:46,258.01789520833336,19.0,"{blue=39.834645211696625, green=27.11464666065417, red=12.56653196560709, nir=5.8209348854265714, swir1=0.6118379745044207, swir2=0.1777559220790863, tir1=7.197992704416576}",47.337852478027344,"{lake_TIR=7.197992704416576, bkgd_BT=21.876854112413195, lake_BT=10.4105369166324, bkgd_TIR=8.575672294696172}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51020271984226HAJ00,0.9100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.339,132.0,1984-08-13T00:11:26,226.0079435300926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.635009765625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51020271986055HAJ00,0.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.48,132.0,1986-02-24T00:08:13,55.00571361111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",62.89766502380371,"{lake_TIR=null, bkgd_BT=-8.508135986328124, lake_BT=null, bkgd_TIR=5.219391711428761}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51020271987154HAJ00,1.3100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.365,131.0,1987-06-03T00:06:01,154.00418681712964,1.0,"{blue=118.64960193634033, green=104.2585813999176, red=64.60051488876343, nir=25.646733283996582, swir1=1.4353149831295013, swir2=0.43996065855026245, tir1=7.1076456271111965}",32.8859977722168,"{lake_TIR=7.1076456271111965, bkgd_BT=null, lake_BT=9.621826171875, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LT51020271987202HAJ00,2.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.368,132.0,1987-07-21T00:07:00,202.00486788194445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.123130798339844,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
