system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71120381999233SGS00,4.6100006103515625,"{shadow_count=0.0, cloud_count=33331.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.28,33331.0,1999-08-21T01:40:47,233.0699925462963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.721492767333984,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120381999297SGS00,1.4,"{shadow_count=5288.0, cloud_count=8393.0, water_count=276.0, snow_count=0.0, lake_SR={blue=0.02490615942028987, green=0.01994927536231882, red=0.006166666666666685, nir=0.02013152173913044, swir1=0.006920652173913046, swir2=0.003781159420289853}}",0.285,30973.0,1999-10-24T01:40:46,297.0699870486111,8.0,"{blue=39.64832732081413, green=24.15482260286808, red=9.997392058372498, nir=5.376131810247898, swir1=0.3568701706826687, swir2=0.0834891414269805, tir1=7.891063050366938, tir2=7.911048180889338}",47.23392868041992,"{lake_TIR=7.849133916199207, bkgd_BT=15.13659462949778, lake_BT=15.072296142578125, bkgd_TIR=7.857778336811761}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120381999329EDC00,2.3100006103515627,"{shadow_count=161.0, cloud_count=33170.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.273,33108.0,1999-11-25T01:40:41,329.06992459490743,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.88036346435547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120381999345SGS00,1.129998779296875,"{shadow_count=173.0, cloud_count=180.0, water_count=1071.0, snow_count=1.0, lake_SR={blue=0.024194397759103193, green=0.017969000933706677, red=0.010754248366013092, nir=0.02088674136321211, swir1=0.012022408963585458, swir2=0.007742296918767508}}",0.247,28040.0,1999-12-11T01:40:51,345.0700431365741,119.0,"{blue=32.6584799129422, green=18.195566583581332, red=8.744289983220462, nir=4.249152979930909, swir1=0.36084770680475636, swir2=0.07126973638264071, tir1=6.772365563118658, tir2=6.768214422238975}",58.558359146118164,"{lake_TIR=6.751352948898619, bkgd_BT=6.824026460278374, lake_BT=5.7415179628314394, bkgd_TIR=6.875079394823622}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120382000028SGS00,0.470001220703125,"{shadow_count=1025.0, cloud_count=3032.0, water_count=833.0, snow_count=32.0, lake_SR={blue=0.023758343337334824, green=0.017315606242497172, red=0.008556782713085196, nir=0.015349099639855892, swir1=0.006136494597839144, swir2=0.0037507803121248555}}",0.283,28487.0,2000-01-28T01:40:43,28.069950925925927,445.0,"{blue=31.25827700368474, green=16.074634935748712, red=6.92876341959064, nir=3.31325306182497, swir1=0.18306882488593626, swir2=0.033931669509142975, tir1=6.12885220837727, tir2=6.123873289540578}",56.37943649291992,"{lake_TIR=6.12885220837727, bkgd_BT=-0.11067881038803233, lake_BT=0.053990601957514046, bkgd_TIR=6.11251648903326}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120382000044EDC00,0.6899993896484375,"{shadow_count=1399.0, cloud_count=1818.0, water_count=757.0, snow_count=51.0, lake_SR={blue=0.029882694848084552, green=0.023144649933949716, red=0.014275297225891668, nir=0.021954557463672385, swir1=0.008145178335535044, swir2=0.005507793923381761}}",0.283,29997.0,2000-02-13T01:40:39,44.069899837962964,120.0,"{blue=34.70332725644111, green=18.656285935640334, red=8.577949770291646, nir=4.3205215856432915, swir1=0.26641216029723486, swir2=0.060077068768441676, tir1=6.186503982668122, tir2=6.183818878233433}",52.35188674926758,"{lake_TIR=6.158923929971126, bkgd_BT=7.602065639346944, lake_BT=0.3370598687065972, bkgd_TIR=6.964628564393461}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120382000092EDC00,1.120001220703125,"{shadow_count=96.0, cloud_count=33235.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.312,33228.0,2000-04-01T01:40:26,92.06975096064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.687679290771484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120382000108EDC00,0.9600006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=476.0, snow_count=0.0, lake_SR={blue=0.03119642857142855, green=0.027895168067226916, red=0.018651680672268953, nir=0.033683613445378256, swir1=0.015256722689075668, swir2=0.010159453781512636}}",0.354,32587.0,2000-04-17T01:40:12,108.06958956018518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.471141815185547,"{lake_TIR=null, bkgd_BT=11.731320688590428, lake_BT=null, bkgd_TIR=7.445878023912796}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120382000124EDC00,1.05,"{shadow_count=0.0, cloud_count=0.0, water_count=451.0, snow_count=0.0, lake_SR={blue=0.025301995565410185, green=0.02371463414634142, red=0.014264523281596454, nir=0.02815831485587589, swir1=0.01472594235033261, swir2=0.009826164079822612}}",0.321,32627.0,2000-05-03T01:40:11,124.06957427083333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.37691879272461,"{lake_TIR=null, bkgd_BT=16.66659661030898, lake_BT=null, bkgd_TIR=8.048092896398932}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LE71120382000172SGS00,3.6899993896484373,"{shadow_count=438.0, cloud_count=32387.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.287,33331.0,2000-06-20T01:39:44,172.06926784722222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.0389404296875,"{lake_TIR=null, bkgd_BT=14.254686438519022, lake_BT=null, bkgd_TIR=7.749233196530005}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331, tir2=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
