system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71860561999255EDC00,3.85,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.286,2660.0,1999-09-12T09:25:17,255.3925669212963,129.0,"{blue=42.75800583898559, green=26.747887786044632, red=16.65667507260345, nir=6.207452758800152, swir1=0.34341643739116284, swir2=0.07128117476091829, tir1=8.553803395855335, tir2=8.559210709274508}",26.928749084472656,"{lake_TIR=8.553803395855335, bkgd_BT=23.3371223207853, lake_BT=20.67312361842902, bkgd_TIR=8.902290069603282}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860561999319EDC01,2.5600006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,2943.0,1999-11-15T09:25:19,319.39258635416667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.875606536865234,"{lake_TIR=null, bkgd_BT=21.591835270203333, lake_BT=null, bkgd_TIR=8.673442082858065}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000050EDC00,1.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,3550.0,2000-02-19T09:25:06,50.392430868055555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.69144058227539,"{lake_TIR=null, bkgd_BT=25.243636391379617, lake_BT=null, bkgd_TIR=9.156306438373797}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000098EDC00,3.080000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,2869.0,2000-04-07T09:24:51,98.39226230324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.367877960205078,"{lake_TIR=null, bkgd_BT=25.4296334806011, lake_BT=null, bkgd_TIR=9.182453828499883}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000130EDC01,3.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,3550.0,2000-05-09T09:24:33,130.39205791666666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.02564239501953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000194EDC00,4.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,3008.0,2000-07-12T09:23:55,194.39160921296298,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.88667678833008,"{lake_TIR=null, bkgd_BT=20.27028878235586, lake_BT=null, bkgd_TIR=8.502119927477208}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000242EDC01,4.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27633888888888886,3550.0,2000-08-29T09:23:21,242.39121818287038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.553348541259766,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000258SGS00,3.8800003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,2895.0,2000-09-14T09:23:02,258.39100501157407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.350677490234375,"{lake_TIR=null, bkgd_BT=21.105659379407616, lake_BT=null, bkgd_TIR=8.610439253715096}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000306EDC00,2.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,3550.0,2000-11-01T09:22:48,306.3908335763889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.647979736328125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
LE71860562000322EDC00,2.129998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,3093.0,2000-11-17T09:22:46,322.3908126388889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.847164154052734,"{lake_TIR=null, bkgd_BT=17.465432152959515, lake_BT=null, bkgd_TIR=8.146231781159129}","{blue=3550, green=3550, red=3550, nir=3550, swir1=3550, swir2=3550, tir1=3550, tir2=3550}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.576779,5.58633],[10.576292,5.570184999999999],[10.593088,5.570802],[10.592784000000004,5.586511],[10.576779,5.58633]]]}"
