system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51860561984254AAA04,3.669999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,1804.0,1984-09-10T09:02:31,254.37675659722223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.82136917114258,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561984286XXX03,3.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,3001.0,1984-10-12T09:02:31,286.37675243055554,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.98827362060547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561984334XXX02,2.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,1406.0,1984-11-29T09:02:20,334.37662266203705,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.59523010253906,"{lake_TIR=null, bkgd_BT=22.177554938800174, lake_BT=null, bkgd_TIR=8.614111135301352}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561984366XXX01,3.2899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.266,1323.0,1984-12-31T09:02:40,366.376857337963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",44.2054557800293,"{lake_TIR=null, bkgd_BT=24.77335191987475, lake_BT=null, bkgd_TIR=8.948472861744882}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561986003XXX03,3.0600006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.242,3001.0,1986-01-03T09:00:03,3.375037708333333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",44.826637268066406,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561986019XXX03,2.1600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,2262.0,1986-01-19T08:59:43,19.374813935185184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",44.737796783447266,"{lake_TIR=null, bkgd_BT=26.11316997248952, lake_BT=null, bkgd_TIR=9.120693664679804}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561986243AAA03,3.9399993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,3001.0,1986-08-31T08:53:28,243.37046680555557,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.755558013916016,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561986275AAA03,4.130000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,1314.0,1986-10-02T08:52:27,275.36976002314816,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.70646667480469,"{lake_TIR=null, bkgd_BT=18.38259833701013, lake_BT=null, bkgd_TIR=8.141568232193242}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561986355XXX03,1.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,1275.0,1986-12-21T08:51:24,355.36903494212964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.61659622192383,"{lake_TIR=null, bkgd_BT=24.683428886241483, lake_BT=null, bkgd_TIR=8.934988126158714}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
LT51860561987006XXX03,1.579998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,1202.0,1987-01-06T08:51:53,6.369365648148148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.457008361816406,"{lake_TIR=null, bkgd_BT=25.121815999348957, lake_BT=null, bkgd_TIR=8.990362141281366}","{blue=3001, green=3001, red=3001, nir=3001, swir1=3001, swir2=3001, tir1=3001}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.291575,6.446941],[10.292221,6.42984],[10.304845999999998,6.429551000000001],[10.304659,6.446721],[10.291575,6.446941]]]}"
