system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51160661995018DKI00,5.519999694824219,"{shadow_count=6284.0, cloud_count=30773.0, water_count=3782.0, snow_count=0.0, lake_SR={blue=0.05053519301956639, green=0.04874918032786776, red=0.03940031729243797, nir=0.05350415124272926, swir1=0.03165002644103577, swir2=0.027008117398202892}}",0.2553333333333333,32893.0,1995-01-18T01:36:17,18.066865208333333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.75736999511719,"{lake_TIR=null, bkgd_BT=10.421195986971796, lake_BT=null, bkgd_TIR=7.207018809122652}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661995034DKI00,5.169999694824218,"{shadow_count=7892.0, cloud_count=26661.0, water_count=3827.0, snow_count=0.0, lake_SR={blue=0.04545962895218189, green=0.04146182388293658, red=0.02859600209041043, nir=0.03432291612228872, swir1=0.018367703161745515, swir2=0.013964280114972418}}",0.2549196078431373,32860.0,1995-02-03T01:35:39,34.06643002314815,278.0,"{blue=101.64623110928981, green=134.9150736434854, red=100.50879757438632, nir=10.297412420777109, swir1=8.33101210748549, swir2=1.7934275536442832, tir1=7.125572466539393}",43.22373580932617,"{lake_TIR=7.125572466539393, bkgd_BT=6.397869039246173, lake_BT=9.584445980813006, bkgd_TIR=6.755514893173341}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661995146DKI00,3.7399993896484376,"{shadow_count=0.0, cloud_count=0.0, water_count=17977.0, snow_count=0.0, lake_SR={blue=0.020273772042054005, green=0.018830839405907965, red=0.00894891249930508, nir=0.012271424598097505, swir1=0.0023391222117150026, swir2=0.0012344050731492554}}",0.25445344129554653,26163.0,1995-05-26T01:30:55,146.06314594907408,17245.0,"{blue=30.845273427705415, green=17.522318698385895, red=8.046958863088863, nir=3.299316629536707, swir1=0.10277024368145529, swir2=0.016825769455424598, tir1=8.381180543542365}",49.7243537902832,"{lake_TIR=8.381180543542365, bkgd_BT=21.61499021549766, lake_BT=20.324475090577657, bkgd_TIR=8.54756269258659}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661995162DKI00,4.569999694824219,"{shadow_count=172.0, cloud_count=130.0, water_count=17660.0, snow_count=0.0, lake_SR={blue=0.017097208380520885, green=0.0159642355605889, red=0.007892089467723327, nir=0.012709558323895968, swir1=0.004010594563986674, swir2=0.002911319365798402}}",0.24855465587044534,22067.0,1995-06-11T01:30:10,162.06262148148147,14374.0,"{blue=29.671590231950947, green=16.839411866072737, red=7.866998150399419, nir=3.300085462655712, swir1=0.15615457833420754, swir2=0.03425838768013632, tir1=8.243178912597712}",51.452369689941406,"{lake_TIR=8.243178912597712, bkgd_BT=18.582142516856884, lake_BT=19.210832403949162, bkgd_TIR=8.167701068011992}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661995178DKI00,4.1,"{shadow_count=4449.0, cloud_count=8888.0, water_count=15958.0, snow_count=0.0, lake_SR={blue=0.02395970046371662, green=0.021973235994486362, red=0.010061649329490446, nir=0.01160787066048346, swir1=0.0023351422484022967, swir2=0.0014722082967789716}}",0.24728968253968253,24724.0,1995-06-27T01:29:27,178.06212895833335,16180.0,"{blue=31.903983712288447, green=18.563750477376473, red=8.729000000863788, nir=3.565902058723094, swir1=0.13702795905727613, swir2=0.02620223261811972, tir1=8.302625771631039}",52.42146682739258,"{lake_TIR=8.302625771631039, bkgd_BT=20.735129554629257, lake_BT=19.69183112334262, bkgd_TIR=8.434345467140133}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661995210DKI00,3.2,"{shadow_count=314.0, cloud_count=1255.0, water_count=18074.0, snow_count=0.0, lake_SR={blue=0.02535715945557101, green=0.02148744605510715, red=0.012310728117738734, nir=0.015960219099259557, swir1=0.0064194810224630205, swir2=0.005088574748256706}}",0.2521890756302521,25690.0,1995-07-29T01:28:01,210.06112313657408,14497.0,"{blue=32.468138731602366, green=18.545787050319948, red=9.177731340610874, nir=3.916065359021858, swir1=0.2544195636230115, swir2=0.06582559086215359, tir1=8.312046689702347}",51.17904281616211,"{lake_TIR=8.312046689702347, bkgd_BT=22.914198146874494, lake_BT=19.76782175829684, bkgd_TIR=8.712063625156944}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661995354DKI00,4.260000610351563,"{shadow_count=1486.0, cloud_count=44600.0, water_count=1051.0, snow_count=0.0, lake_SR={blue=0.052083158896289276, green=0.049373453853472984, red=0.03750057088487151, nir=0.04803862987630809, swir1=0.027615318744053197, swir2=0.02247469077069461}}",0.2571156862745098,40802.0,1995-12-20T01:25:12,354.0591737384259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.89046859741211,"{lake_TIR=null, bkgd_BT=6.894857808163292, lake_BT=null, bkgd_TIR=6.803817149398751}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661996165DKI00,4.6,"{shadow_count=5297.0, cloud_count=14075.0, water_count=4359.0, snow_count=0.0, lake_SR={blue=0.04675737554484916, green=0.04210467997247157, red=0.03372757513191143, nir=0.04878460656113784, swir1=0.03211984400091758, swir2=0.0259742601514102}}",0.25015873015873014,33150.0,1996-06-13T01:36:29,165.06701119212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",50.50179672241211,"{lake_TIR=null, bkgd_BT=14.840430880407228, lake_BT=null, bkgd_TIR=7.7184830075932185}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661996181DKI00,3.669999694824219,"{shadow_count=3723.0, cloud_count=8857.0, water_count=12662.0, snow_count=0.0, lake_SR={blue=0.027118204075185497, green=0.023348167746012, red=0.011319033328068426, nir=0.014267919759911617, swir1=0.005297133154319871, swir2=0.0038016427104722228}}",0.24969999999999998,26081.0,1996-06-29T01:37:20,181.06760188657407,13531.0,"{blue=33.68578812646263, green=20.33380712318223, red=9.289207217425679, nir=3.7783835328133617, swir1=0.19318640731838377, swir2=0.04315581125735919, tir1=8.245569156117885}",50.9843864440918,"{lake_TIR=8.245569156117885, bkgd_BT=23.85921695038897, lake_BT=19.2299341837941, bkgd_TIR=8.830406658783103}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661996229DKI00,4.2,"{shadow_count=3355.0, cloud_count=11983.0, water_count=13913.0, snow_count=0.0, lake_SR={blue=0.04021266441457604, green=0.0376232085100268, red=0.022026256019550147, nir=0.022559253935169114, swir1=0.010155056422051275, swir2=0.008189154028605986}}",0.247,27835.0,1996-08-16T01:39:52,229.0693522800926,10398.0,"{blue=40.4136921438627, green=25.576287602043813, red=12.904203874201793, nir=5.740405909658326, swir1=0.45281481331923323, swir2=0.12490772276580804, tir1=8.17139334520309}",45.75688552856445,"{lake_TIR=8.17139334520309, bkgd_BT=25.54010144248179, lake_BT=18.627175784748456, bkgd_TIR=9.049531992270106}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661996245DKI00,3.9899993896484376,"{shadow_count=923.0, cloud_count=8045.0, water_count=14711.0, snow_count=0.0, lake_SR={blue=0.046636904357283855, green=0.04841653864455221, red=0.03147732988919913, nir=0.03326289851131846, swir1=0.0194666983889599, swir2=0.015604880701514435}}",0.254,29420.0,1996-09-01T01:40:44,245.06996127314815,851.0,"{blue=45.35471731088136, green=31.58639712199201, red=16.60213457319347, nir=7.526117168918479, swir1=0.8075207647036862, swir2=0.22412702999790182, tir1=8.13639201852028}",42.31145095825195,"{lake_TIR=8.13639201852028, bkgd_BT=26.27601234767223, lake_BT=18.341733293723834, bkgd_TIR=9.154226557585739}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661996341DKI00,5.2,"{shadow_count=0.0, cloud_count=47444.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.261,47444.0,1996-12-06T01:45:35,341.0733269328704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.71224594116211,"{lake_TIR=null, bkgd_BT=-20.14230702829049, lake_BT=null, bkgd_TIR=4.186178851695066}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
LT51160661997071DKI00,4.3600006103515625,"{shadow_count=272.0, cloud_count=200.0, water_count=17641.0, snow_count=0.0, lake_SR={blue=0.02349627572133146, green=0.026992199988664207, red=0.012218150898475784, nir=0.018699608865709646, swir1=0.0063392268012020065, swir2=0.004886911172836958}}",0.263,27648.0,1997-03-12T01:49:51,71.07629165509259,9357.0,"{blue=40.06847732222793, green=25.63780063182431, red=11.813487563668835, nir=5.815100739294486, swir1=0.3458619615493249, swir2=0.08575868473433143, tir1=8.070261067302038}",39.262733459472656,"{lake_TIR=8.070261067302038, bkgd_BT=19.608334570699114, lake_BT=17.80025041308479, bkgd_TIR=8.296374948413014}","{blue=47444, green=47444, red=47444, nir=47444, swir1=47444, swir2=47444, tir1=47444}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[115.37600200000001,-8.22433],[115.37296599999998,-8.289786],[115.42719300000002,-8.286171999999997],[115.43032,-8.222211],[115.37600200000001,-8.22433]]]}"
