system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81120532013151LGN00,4.660000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,370.0,2013-05-31T01:55:57,151.08052483796297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.193675994873047,"{lake_TIR=null, bkgd_BT=17.905995051066082, lake_BT=null, bkgd_TIR=8.350136056520569}","{blue=370, green=370, red=370, nir=370, swir1=370, swir2=370, tir1=370, tir2=370}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81120532013247LGN00,4.719999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.281,27.0,2013-09-04T01:55:56,247.08051232638888,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.60546875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=24, green=27, red=27, nir=27, swir1=31, swir2=31, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81120532013343LGN00,4.6399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,367.0,2013-12-09T01:55:30,343.08021175925927,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.9152717590332,"{lake_TIR=null, bkgd_BT=21.78062689482276, lake_BT=null, bkgd_TIR=8.868733036201517}","{blue=370, green=370, red=370, nir=370, swir1=370, swir2=370, tir1=99, tir2=56}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81120532015109LGN00,4.6099998474121096,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,321.0,2015-04-19T01:53:16,109.07866494212963,2.0,"{blue=57.61331756878644, green=42.06448295991868, red=18.149174943566322, nir=8.802667135372758, swir1=1.5189830751623958, swir2=0.3661305546120275, tir1=8.500449514016509, tir2=7.732624784170184}",25.030166625976562,"{lake_TIR=8.500449514016509, bkgd_BT=20.128276721851247, lake_BT=19.047409057617188, bkgd_TIR=8.645181867476897}","{blue=370, green=370, red=370, nir=370, swir1=370, swir2=370, tir1=370, tir2=370}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81120532015125LGN00,3.7400001525878905,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,370.0,2015-05-05T01:53:03,125.07851174768518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.926254272460938,"{lake_TIR=null, bkgd_BT=22.915966033935547, lake_BT=null, bkgd_TIR=9.024402164610365}","{blue=370, green=370, red=370, nir=370, swir1=370, swir2=370, tir1=238, tir2=199}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013142LGN01,4.430000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.277,304.0,2013-05-22T02:02:06,142.0848019675926,18.0,"{blue=48.63821634024175, green=31.947357236407697, red=14.180586482915613, nir=6.302097025534345, swir1=0.9222114729345776, swir2=0.2524595560324896, tir1=8.661199762136675, tir2=7.812962774885818}",25.418319702148438,"{lake_TIR=8.661199762136675, bkgd_BT=21.514480176554546, lake_BT=20.24791802300347, bkgd_TIR=8.832544607093466}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013158LGN00,5.560000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,391.0,2013-06-07T02:02:06,158.0848019675926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.775222778320312,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013174LGN00,5.519999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,358.0,2013-06-23T02:01:59,174.08472180555555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.749897003173828,"{lake_TIR=null, bkgd_BT=15.690452212379093, lake_BT=null, bkgd_TIR=8.060371639423206}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013190LGN00,4.4,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.281,391.0,2013-07-09T02:02:04,190.08477141203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.965965270996094,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013206LGN00,5.189999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.273,391.0,2013-07-25T02:02:03,206.08475943287036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.363056182861328,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013222LGN00,5.369999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,358.0,2013-08-10T02:02:05,222.08478560185185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.19393539428711,"{lake_TIR=null, bkgd_BT=18.03030950372869, lake_BT=null, bkgd_TIR=8.365817510078408}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013254LGN00,5.660000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,391.0,2013-09-11T02:02:05,254.0847821412037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.547210693359375,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013270LGN00,5.819999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,391.0,2013-09-27T02:01:56,270.0846829976852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.46965789794922,"{lake_TIR=null, bkgd_BT=15.853569617638222, lake_BT=null, bkgd_TIR=8.081418288580608}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013302LGN00,4.519999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,391.0,2013-10-29T02:01:47,302.08457818287036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.374103546142578,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013318LGN00,5.230000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,391.0,2013-11-14T02:01:47,318.0845781481481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.13597106933594,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
LC81130532013334LGN00,4.719999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,391.0,2013-11-30T02:01:42,334.08451452546296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.458534240722656,"{lake_TIR=null, bkgd_BT=19.690745960582387, lake_BT=null, bkgd_TIR=8.586490848863667}","{blue=391, green=391, red=391, nir=391, swir1=391, swir2=391, tir1=391, tir2=391}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.218883,10.277258],[125.21881500000002,10.282094],[125.21323,10.282313],[125.213071,10.277142999999997],[125.218883,10.277258]]]}"
