system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT42320881989181XXX02,0.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.296,12434.0,1989-06-30T14:02:56,181.5853771759259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",74.2987289428711,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42320881989229XXX02,0.879998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,12434.0,1989-08-17T14:02:57,229.58538375,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",66.0429630279541,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42320881989341XXX01,1.5899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.292,12434.0,1989-12-07T14:02:26,341.58503037037036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.94475173950195,"{lake_TIR=null, bkgd_BT=-3.6420001216395774, lake_BT=null, bkgd_TIR=5.756003823962086}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42320881990008XXX01,1.629998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2795105263157895,11292.0,1990-01-08T14:02:06,8.584797164351851,69.0,"{blue=46.556437596030854, green=27.320355772972107, red=12.807130316029424, nir=6.272645020830458, swir1=0.42579080488370813, swir2=0.09657650278962177, tir1=8.363592491849609}",40.04013442993164,"{lake_TIR=8.363592491849609, bkgd_BT=18.985558157534143, lake_BT=19.0045922320822, bkgd_TIR=8.366396493922345}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42320881990024XXX01,1.0899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.287,11324.0,1990-01-24T14:01:55,24.584671620370372,209.0,"{blue=43.31452929346185, green=26.201969382295196, red=11.947561875484777, nir=5.887998896922792, swir1=0.34995081578715564, swir2=0.06771275657786137, tir1=8.278978262791794}",42.94033432006836,"{lake_TIR=8.278978262791794, bkgd_BT=14.580379270723068, lake_BT=18.339692914314817, bkgd_TIR=7.816539038677695}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42320881990056XXX02,1.020001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,12345.0,1990-02-25T14:01:33,56.58441605324074,1.0,"{blue=48.74173021316528, green=29.176377654075623, red=16.912912368774414, nir=5.498189330101013, swir1=1.5061810612678528, swir2=0.17972439527511597, tir1=7.993629869073629}",50.07858657836914,"{lake_TIR=7.993629869073629, bkgd_BT=7.44342041015625, lake_BT=16.06927490234375, bkgd_TIR=6.962527518513902}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42330881988266XXX01,1.329998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.354,10681.0,1988-09-22T14:06:12,266.5876471064815,385.0,"{blue=35.38682331357683, green=22.208311090221653, red=10.379057713298055, nir=5.074967514694511, swir1=0.2693635169561807, swir2=0.05811175897523954, tir1=7.145184894506033}",54.02149200439453,"{lake_TIR=7.145184894506033, bkgd_BT=10.28188357697091, lake_BT=9.022590379591112, bkgd_TIR=7.293955540405224}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42330881988282XXX02,0.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.326,12434.0,1988-10-08T14:06:29,282.587839525463,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.29280471801758,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42330881988314XXX01,1.020001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,12387.0,1988-11-09T14:07:03,314.5882293171296,2.0,"{blue=52.47739934921265, green=34.51244056224823, red=18.9221248626709, nir=8.12626028060913, swir1=2.06903538107872, swir2=0.7402558773756027, tir1=7.578324755653739}",39.54692077636719,"{lake_TIR=7.578324755653739, bkgd_BT=9.33135735988617, lake_BT=12.677749633789062, bkgd_TIR=7.216663219383918}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
LT42330881989188XXX02,0.8100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.285,10973.0,1989-07-07T14:09:08,188.58968072916667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",73.9368839263916,"{lake_TIR=null, bkgd_BT=-0.9010865013453151, lake_BT=null, bkgd_TIR=6.0430903138711285}","{blue=12434, green=12434, red=12434, nir=12434, swir1=12434, swir2=12434, tir1=12434}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-72.105384,-40.344782],[-72.105384,-40.373838],[-72.064962,-40.374294000000006],[-72.064897,-40.34476099999999],[-72.105384,-40.344782]]]}"
