system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81970282013106LGN01,1.9100006103515625,"{shadow_count=36.0, cloud_count=142.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.313,530.0,2013-04-16T10:31:04,106.43825200231481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.707157135009766,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=923, green=927, red=924, nir=924, swir1=930, swir2=930, tir1=197, tir2=134}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013154LGN00,1.029998779296875,"{shadow_count=16.0, cloud_count=0.0, water_count=396.0, snow_count=0.0, lake_SR={blue=0.02152247474747472, green=0.025615404040404056, red=0.008668181818181818, nir=0.01505505050505051, swir1=0.00721212121212121, swir2=0.004869444444444441}}",0.353,513.0,2013-06-03T10:31:18,154.43841361111112,200.0,"{blue=46.36491349686869, green=29.201755823683925, red=12.65394409908913, nir=6.105443273670971, swir1=0.5218007053772453, swir2=0.1057972557283938, tir1=7.14487542322895, tir2=6.755896584789152}",27.414424896240234,"{lake_TIR=7.14487542322895, bkgd_BT=10.882324415637601, lake_BT=8.34966567993164, bkgd_TIR=7.455977175549995}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013170LGN00,3.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.366,311.0,2013-06-19T10:31:12,170.43833337962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.813262939453125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=309, green=317, red=314, nir=311, swir1=324, swir2=322, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013186LGN00,1.779998779296875,"{shadow_count=0.0, cloud_count=136.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.32,780.0,2013-07-05T10:31:15,186.43837033564816,3.0,"{blue=51.50630995165557, green=28.661720845848322, red=13.07365633547306, nir=5.169323514215648, swir1=0.9516699996311218, swir2=0.20375979639356956, tir1=null, tir2=null}",27.766773223876953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=875, green=882, red=880, nir=879, swir1=888, swir2=887, tir1=136, tir2=74}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013202LGN00,2.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.325,39.0,2013-07-21T10:31:13,202.43834697916665,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.037216186523438,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=36, green=41, red=39, nir=39, swir1=47, swir2=46, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013218LGN00,3.3100006103515627,"{shadow_count=306.0, cloud_count=62.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.314,575.0,2013-08-06T10:31:16,218.4383879861111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.394771575927734,"{lake_TIR=null, bkgd_BT=13.38000732421875, lake_BT=null, bkgd_TIR=7.76845771889668}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=515, tir2=456}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013234LGN01,2.129998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=420.0, snow_count=0.0, lake_SR={blue=0.02009857142857141, green=0.017080952380952356, red=0.007012619047619043, nir=0.01490833333333334, swir1=0.0054880952380952355, swir2=0.002719285714285702}}",0.31,491.0,2013-08-22T10:31:18,234.43840625,9.0,"{blue=38.23010040881733, green=20.94853699704011, red=9.338264897465706, nir=4.232782249494146, swir1=0.41178182885050774, swir2=0.05678649238931636, tir1=8.483331042225473, tir2=7.885112863150425}",37.659664154052734,"{lake_TIR=8.483331042225473, bkgd_BT=23.47672209883551, lake_BT=18.91778564453125, bkgd_TIR=9.104898684487868}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013250LGN00,2.15,"{shadow_count=0.0, cloud_count=965.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.305,965.0,2013-09-07T10:31:17,250.43839643518518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",42.657169342041016,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013266LGN00,0.920001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=165.0, snow_count=0.0, lake_SR={blue=0.017886666666666672, green=0.014466666666666645, red=0.005024848484848483, nir=0.0065060606060606055, swir1=0.002690909090909093, swir2=0.0015103030303030324}}",0.254,450.0,2013-09-23T10:31:10,266.4383117708333,421.0,"{blue=32.62423647028746, green=17.412991802632863, red=7.304693381934738, nir=2.427539735176377, swir1=0.1596027011037395, swir2=0.02942024567247437, tir1=7.929305800370972, tir2=7.480006961997976}",48.159732818603516,"{lake_TIR=7.929305800370972, bkgd_BT=19.78483499584228, lake_BT=14.669741102084991, bkgd_TIR=8.601441563679495}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=419, tir2=361}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013298LGN00,3.6,"{shadow_count=11.0, cloud_count=195.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,614.0,2013-10-25T10:31:01,298.43821185185186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.40548133850098,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=379, tir2=319}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013314LGN00,1.070001220703125,"{shadow_count=0.0, cloud_count=965.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.278,965.0,2013-11-10T10:31:00,314.4381987962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",64.33107948303223,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LC81970282013330LGN00,0.9600006103515625,"{shadow_count=0.0, cloud_count=965.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.321,965.0,2013-11-26T10:30:52,330.43810717592595,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",68.17984008789062,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
