system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80180512013116LGN01,1.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27252731092436977,960.0,2013-04-26T16:13:54,116.67632268518518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.336265563964844,"{lake_TIR=null, bkgd_BT=28.299816777014705, lake_BT=null, bkgd_TIR=9.786533862612604}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013132LGN01,2.85,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27275,1422.0,2013-05-12T16:14:05,132.67645424768517,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.348793029785156,"{lake_TIR=null, bkgd_BT=22.097511971714987, lake_BT=null, bkgd_TIR=8.914095822900691}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013148LGN00,4.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2748333333333334,907.0,2013-05-28T16:14:12,148.67653872685185,1056.0,"{blue=45.76753285564623, green=27.641166429755025, red=13.287587033153448, nir=4.907988861845242, swir1=0.4603189003670802, swir2=0.09173730336161415, tir1=8.864239931438947, tir2=7.793254568796825}",24.31732940673828,"{lake_TIR=8.864239931438947, bkgd_BT=21.988389388011935, lake_BT=21.747557379982688, bkgd_TIR=8.898027218705588}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013164LGN00,3.0399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27549285714285715,2424.0,2013-06-13T16:14:08,164.676491875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.45958709716797,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013180LGN00,3.4899993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27640238095238095,2450.0,2013-06-29T16:14:07,180.67647462962964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.17523193359375,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013212LGN00,2.8699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.282797619047619,920.0,2013-07-31T16:14:09,212.67650082175925,565.0,"{blue=43.786781935204246, green=25.661901327486323, red=12.321684219973344, nir=4.8967505686990584, swir1=0.4905377711474368, swir2=0.10913248422124992, tir1=9.389776091384537, tir2=8.448917041599248}",25.646759033203125,"{lake_TIR=9.389776091384537, bkgd_BT=24.50783994745835, lake_BT=25.539331864888688, bkgd_TIR=9.24614219413297}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013228LGN00,3.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28127731092436975,975.0,2013-08-16T16:14:10,228.6765052662037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.877212524414062,"{lake_TIR=null, bkgd_BT=16.614806540413007, lake_BT=null, bkgd_TIR=8.180323872182226}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013244LGN00,3.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2809395833333333,2450.0,2013-09-01T16:14:12,244.6765302662037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.548751831054688,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013260LGN00,4.210000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.280619298245614,2450.0,2013-09-17T16:14:07,260.6764709953704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.348388671875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LC80180512013276LGN00,4.069999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2738,928.0,2013-10-03T16:14:02,276.6764212152778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.580345153808594,"{lake_TIR=null, bkgd_BT=12.635911152252753, lake_BT=null, bkgd_TIR=7.674082792694077}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
