system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40100601987317XXX03,5.180000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,6201.0,1987-11-13T14:47:30,317.6163215625,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.79088592529297,"{lake_TIR=null, bkgd_BT=19.251370482245278, lake_BT=null, bkgd_TIR=8.447906033622349}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601987333XXX03,5.380000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,6856.0,1987-11-29T14:47:56,333.6166245949074,4.0,"{blue=40.25157308578491, green=25.174330472946167, red=14.150245189666748, nir=5.717195242643356, swir1=0.9745964258909225, swir2=0.11377951502799988, tir1=8.450465493835509}",39.10352325439453,"{lake_TIR=8.450465493835509, bkgd_BT=22.867654031107485, lake_BT=19.67894744873047, bkgd_TIR=8.869952731983968}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601988080XXX01,4.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,6031.0,1988-03-20T14:52:04,80.61950018518519,16.0,"{blue=40.16667151451111, green=24.590698592364788, red=13.961881518363953, nir=5.717195242643356, swir1=0.9667790047824383, swir2=0.16323817521333694, tir1=7.8517339553218335}",37.33388900756836,"{lake_TIR=7.8517339553218335, bkgd_BT=22.207437245119284, lake_BT=14.919435501098633, bkgd_TIR=8.783878063431306}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601988096XXX01,5.0,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,9055.0,1988-04-05T14:52:33,96.61982965277778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.48992156982422,"{lake_TIR=null, bkgd_BT=22.452270015152045, lake_BT=null, bkgd_TIR=8.811029792754105}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601988144XXX01,4.580000305175782,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,5700.0,1988-05-23T14:53:57,144.62080767361113,25.0,"{blue=35.07597330093384, green=21.33236517906189, red=11.488038635253906, nir=4.4469609498977665, swir1=0.7707180833816528, swir2=0.17181100964546203, tir1=7.96483538120985}",39.328609466552734,"{lake_TIR=7.96483538120985, bkgd_BT=17.020347013290884, lake_BT=15.829532470703125, bkgd_TIR=8.11613207195451}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601989146XXX02,5.319999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,10502.0,1989-05-26T14:59:43,146.6248033912037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.43837356567383,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601989194XXX02,4.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,9916.0,1989-07-13T14:59:49,194.62487586805557,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.482887268066406,"{lake_TIR=null, bkgd_BT=-1.956316875322216, lake_BT=null, bkgd_TIR=5.930736990976454}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601989274XXX02,4.760000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,10515.0,1989-10-01T14:59:42,274.6247928819445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.17056655883789,"{lake_TIR=null, bkgd_BT=-12.838467914674943, lake_BT=null, bkgd_TIR=4.897737676665125}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601990325XXX01,5.219999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,7234.0,1990-11-21T14:52:17,325.619647650463,1.0,"{blue=46.704092502593994, green=39.84850347042084, red=20.931337356567383, nir=6.374212980270386, swir1=2.2566534876823425, swir2=0.7072834372520447, tir1=7.495263732969761}",37.08068084716797,"{lake_TIR=7.495263732969761, bkgd_BT=20.134330443636795, lake_BT=11.629119873046875, bkgd_TIR=8.603040040085542}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LT40100601990357XXX01,4.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,10000.0,1990-12-23T14:51:14,357.6189136574074,35.0,"{blue=40.90167654582432, green=23.68785580566951, red=13.784281485421317, nir=5.197838364328657, swir1=0.6484982882227216, swir2=0.13638918825558255, tir1=7.882881838828325}",41.65669250488281,"{lake_TIR=7.882881838828325, bkgd_BT=16.810087679418302, lake_BT=15.169342912946428, bkgd_TIR=8.150820621679868}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
