system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81200652013143LGN01,5.030000305175781,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,3989.0,2013-05-23T02:50:09,143.11817097222223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.17401885986328,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013159LGN00,5.219999694824219,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.243,3989.0,2013-06-08T02:50:09,159.11816244212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.132476806640625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013175LGN00,4.069999694824219,"{shadow_count=85.0, cloud_count=0.0, water_count=261.0, snow_count=0.0, lake_SR={blue=0.03108045977011495, green=0.05743141762452106, red=0.03230421455938695, nir=0.021434482758620695, swir1=0.006889655172413795, swir2=0.003858620689655171}}",0.263,3663.0,2013-06-24T02:50:03,175.11809207175926,209.0,"{blue=40.175835339205435, green=35.7943181569541, red=17.689560933163364, nir=6.037002395352785, swir1=0.4004982783348839, swir2=0.0732844095909968, tir1=8.41194245402933, tir2=7.760755957662948}",41.07284927368164,"{lake_TIR=8.41194245402933, bkgd_BT=22.327782257605367, lake_BT=18.379711826452226, bkgd_TIR=8.94634695127042}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013191LGN00,5.460000610351562,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263,3989.0,2013-07-10T02:50:06,191.11813581018518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.74089813232422,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013207LGN00,4.75,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,3989.0,2013-07-26T02:50:06,207.11812792824074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.08423614501953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013223LGN00,4.319999694824219,"{shadow_count=0.0, cloud_count=0.0, water_count=259.0, snow_count=0.0, lake_SR={blue=0.02891428571428572, green=0.04213166023166025, red=0.02186061776061777, nir=0.012299227799227801, swir1=0.006200000000000001, swir2=0.0044220077220077205}}",0.266,3672.0,2013-08-11T02:50:08,223.11814967592593,236.0,"{blue=40.88248062936463, green=31.019969027264487, red=14.643350963804366, nir=4.222640057025335, swir1=0.39787096676606115, swir2=0.09154123844780122, tir1=8.393487072675548, tir2=7.7304057521499905}",36.26334762573242,"{lake_TIR=8.393487072675548, bkgd_BT=23.684030225127497, lake_BT=18.238667504262114, bkgd_TIR=9.133598006475738}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013239LGN00,3.8800003051757814,"{shadow_count=0.0, cloud_count=0.0, water_count=257.0, snow_count=0.0, lake_SR={blue=0.026442801556420217, green=0.03954163424124513, red=0.02244241245136187, nir=0.012670817120622577, swir1=0.006320233463035018, swir2=0.004621789883268485}}",0.262,3680.0,2013-08-27T02:50:10,239.11817667824073,230.0,"{blue=39.85422281742744, green=30.19038021962118, red=14.536160466281455, nir=4.025891742646775, swir1=0.37695483886839254, swir2=0.08802514394198585, tir1=8.42361255188513, tir2=7.827903779648224}",32.64140701293945,"{lake_TIR=8.42361255188513, bkgd_BT=26.068957493099155, lake_BT=18.465179974099865, bkgd_TIR=9.469229468789484}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013255LGN00,3.9699996948242187,"{shadow_count=386.0, cloud_count=1201.0, water_count=200.0, snow_count=0.0, lake_SR={blue=0.03213649999999998, green=0.046488999999999996, red=0.029536000000000003, nir=0.034268999999999994, swir1=0.022862499999999997, swir2=0.017815499999999995}}",0.262,3713.0,2013-09-12T02:50:07,255.11814248842592,13.0,"{blue=76.91884761676192, green=68.83408642889789, red=33.22328196867154, nir=13.381128057371825, swir1=1.8390958168758795, swir2=0.4497646098025143, tir1=8.213628705080527, tir2=7.553943415297768}",28.814746856689453,"{lake_TIR=8.213628705080527, bkgd_BT=24.230301485361398, lake_BT=16.870586688701923, bkgd_TIR=9.208580262337813}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013271LGN00,3.2600006103515624,"{shadow_count=487.0, cloud_count=1249.0, water_count=140.0, snow_count=0.0, lake_SR={blue=0.027386428571428603, green=0.042699999999999995, red=0.03061714285714286, nir=0.025660714285714276, swir1=0.010727142857142852, swir2=0.00803142857142857}}",0.263,3714.0,2013-09-28T02:49:59,271.1180509490741,10.0,"{blue=48.28121450990439, green=36.89900907725096, red=20.98433189932257, nir=8.033003365527838, swir1=0.6105439009144902, swir2=0.12601132529089226, tir1=8.615046728320886, tir2=8.00703648631461}",25.576461791992188,"{lake_TIR=8.615046728320886, bkgd_BT=28.488342792556946, lake_BT=19.903988647460938, bkgd_TIR=9.815653098418057}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LC81200652013287LGN00,4.539999389648438,"{shadow_count=0.0, cloud_count=0.0, water_count=239.0, snow_count=0.0, lake_SR={blue=0.033517991631799186, green=0.04878535564853555, red=0.0308836820083682, nir=0.021088702928870287, swir1=0.009825523012552297, swir2=0.0075824267782426845}}",0.267,3712.0,2013-10-14T02:49:59,287.11805212962963,169.0,"{blue=49.178677159047425, green=39.15212914906442, red=19.651010550018512, nir=6.343350144753442, swir1=0.5906010922760918, swir2=0.14132246367644363, tir1=8.690484787471119, tir2=8.05137752278325}",23.801979064941406,"{lake_TIR=8.690484787471119, bkgd_BT=27.92497301171911, lake_BT=20.461181098892844, bkgd_TIR=9.733877676502154}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989, tir2=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
