system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50180601985007XXX02,3.7199996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,6982.0,1985-01-07T15:46:02,7.656970868055556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.48963928222656,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601985087XXX09,4.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,3589.0,1985-03-28T15:46:07,87.65703578703703,291.0,"{blue=53.301368261120984, green=38.50275133319737, red=21.366975674924163, nir=9.261177518113781, swir1=0.699126972775279, swir2=0.17933275468673082, tir1=8.531956634647454}",35.698570251464844,"{lake_TIR=8.531956634647454, bkgd_BT=26.958334720272816, lake_BT=21.5266575764135, bkgd_TIR=9.234788175215622}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601985103XXX04,4.230000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.268,4544.0,1985-04-13T15:46:03,103.65698270833333,106.0,"{blue=53.795763861458255, green=33.283630508296895, red=18.744342812952006, nir=7.572547218709622, swir1=0.7767724116455834, swir2=0.22228125468739923, tir1=8.559907533158109}",35.50491714477539,"{lake_TIR=8.559907533158109, bkgd_BT=27.28880041981617, lake_BT=21.736120547888415, bkgd_TIR=9.325095987901229}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601989338CPE00,2.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,5501.0,1989-12-04T15:39:31,338.6524429513889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.57965850830078,"{lake_TIR=null, bkgd_BT=39.036411802520455, lake_BT=null, bkgd_TIR=10.901926087691267}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601990005CPE04,2.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,3846.0,1990-01-05T15:38:28,5.651713518518519,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.005611419677734,"{lake_TIR=null, bkgd_BT=32.97958261388219, lake_BT=null, bkgd_TIR=10.047050852901945}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601990117CPE03,4.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,2441.0,1990-04-27T15:35:54,117.64993824074074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.534210205078125,"{lake_TIR=null, bkgd_BT=-0.05443988268888449, lake_BT=null, bkgd_TIR=6.059744961182528}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601991056XXX03,4.780000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,3057.0,1991-02-25T15:36:46,56.6505400462963,32.0,"{blue=45.578595742583275, green=26.455098051577806, red=15.174755964428186, nir=6.346837241202593, swir1=0.49880783702246845, swir2=0.14702880452387035, tir1=8.462578559643589}",40.82963180541992,"{lake_TIR=8.462578559643589, bkgd_BT=24.542882283528645, lake_BT=20.972886085510254, bkgd_TIR=8.927930653643083}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601991072CPE04,4.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,967.0,1991-03-13T15:37:05,72.65076157407407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.10578918457031,"{lake_TIR=null, bkgd_BT=29.34492135805161, lake_BT=null, bkgd_TIR=9.551483718007875}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601991104CPE00,4.0,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,2553.0,1991-04-14T15:37:40,104.65116157407408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.58694839477539,"{lake_TIR=null, bkgd_BT=28.488271633234373, lake_BT=null, bkgd_TIR=9.436864602087095}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LT50180601991136CPE00,4.489999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,1636.0,1991-05-16T15:38:09,136.65149880787038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.650386810302734,"{lake_TIR=null, bkgd_BT=29.63700396388532, lake_BT=null, bkgd_TIR=9.590418665899602}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
