system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81210652013134LGN01,5.569999694824219,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,2077.0,2013-05-14T02:56:15,134.12240363425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.781761169433594,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013150LGN00,5.060000610351563,"{shadow_count=2.0, cloud_count=2075.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,2044.0,2013-05-30T02:56:21,150.12247351851852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.131168365478516,"{lake_TIR=null, bkgd_BT=13.337653266059029, lake_BT=null, bkgd_TIR=7.760122025734745}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013166LGN00,5.1,"{shadow_count=245.0, cloud_count=1832.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,2065.0,2013-06-15T02:56:16,166.12241716435184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.68973922729492,"{lake_TIR=null, bkgd_BT=13.394905565947575, lake_BT=null, bkgd_TIR=7.767669132235341}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013182LGN00,4.930000305175781,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,2077.0,2013-07-01T02:56:16,182.12241324074074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.09065628051758,"{lake_TIR=null, bkgd_BT=5.212860107421875, lake_BT=null, bkgd_TIR=6.773492292708555}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013198LGN00,4.989999389648437,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259,2077.0,2013-07-17T02:56:16,198.12241655092592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.1753044128418,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013214LGN00,4.75,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,2077.0,2013-08-02T02:56:18,214.1224382175926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.975914001464844,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013230LGN00,4.530000305175781,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,2077.0,2013-08-18T02:56:19,230.12244681712963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.74777603149414,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013246LGN00,4.569999694824219,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.267,2077.0,2013-09-03T02:56:20,246.12246293981482,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.94884490966797,"{lake_TIR=null, bkgd_BT=17.527231852213543, lake_BT=null, bkgd_TIR=8.299483853857964}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013262LGN00,4.6399993896484375,"{shadow_count=0.0, cloud_count=2077.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.262,2077.0,2013-09-19T02:56:15,262.12239694444446,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.27090072631836,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
LC81210652013310LGN00,4.910000610351562,"{shadow_count=295.0, cloud_count=1395.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.269,2006.0,2013-11-06T02:56:03,310.1222588657407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.547340393066406,"{lake_TIR=null, bkgd_BT=13.631904602050781, lake_BT=null, bkgd_TIR=7.797322150311365}","{blue=2077, green=2077, red=2077, nir=2077, swir1=2077, swir2=2077, tir1=2077, tir2=2077}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.07090100000002,-7.250404999999997],[108.071185,-7.263012],[108.08294000000004,-7.263243000000002],[108.082927,-7.250201000000001],[108.07090100000002,-7.250404999999997]]]}"
