system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50990232007204MGR00,2.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.304,7339.0,2007-07-23T00:15:13,204.0105685648148,41.0,"{blue=121.55396429794591, green=102.7011901401892, red=53.06584852206998, nir=16.20277100656091, swir1=1.1270904742726466, swir2=0.33923566832048135, tir1=8.63920985025967}",36.059871673583984,"{lake_TIR=8.63920985025967, bkgd_BT=29.26560984717475, lake_BT=22.221017977086507, bkgd_TIR=9.541025958334407}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232007220MGR00,2.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.338,8048.0,2007-08-08T00:15:02,220.01045130787037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.69868469238281,"{lake_TIR=null, bkgd_BT=0.6715648498140362, lake_BT=null, bkgd_TIR=6.133263539532525}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232009177MGR00,2.0600006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.339,8187.0,2009-06-26T00:10:07,177.00703400462962,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.18850326538086,"{lake_TIR=null, bkgd_BT=-11.418146227702442, lake_BT=null, bkgd_TIR=4.950245493028719}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232009193MGR00,1.9600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.337,6812.0,2009-07-12T00:10:24,193.00722252314816,27.0,"{blue=115.48131089740329, green=94.24230106671651, red=50.680829207102455, nir=18.6385440826416, swir1=1.4709755259531516, swir2=0.43267719364828533, tir1=8.087970783727037}",34.68904495239258,"{lake_TIR=8.026854278147221, bkgd_BT=null, lake_BT=17.283282470703124, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232009209MGR00,1.8399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,7677.0,2009-07-28T00:10:39,209.00739706018518,51.0,"{blue=130.14213825090258, green=111.31136990995968, red=61.284354476367724, nir=22.24570028922137, swir1=1.2347244297464688, swir2=0.35770034906910914, tir1=9.186885606716661}",37.532867431640625,"{lake_TIR=9.234007807821035, bkgd_BT=26.54340494485726, lake_BT=26.98692626953125, bkgd_TIR=9.176468793610882}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232009225MGR00,1.4899993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,4003.0,2009-08-13T00:10:52,225.0075564814815,45.0,"{blue=104.79377297825283, green=85.628258228302, red=47.0153119775984, nir=18.21026585366991, swir1=1.5797401815652847, swir2=0.4501575094130304, tir1=7.855810098101696}",41.467529296875,"{lake_TIR=7.855810098101696, bkgd_BT=null, lake_BT=15.789183213975694, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232009241MGR00,3.0,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,8187.0,2009-08-29T00:11:08,241.0077315162037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.26927947998047,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232011183MGR00,2.9100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,6757.0,2011-07-02T00:10:49,183.00752038194443,6.0,"{blue=83.48677062988281, green=57.25984442234039, red=31.019273181756336, nir=12.214370648066202, swir1=0.4123031608760357, swir2=0.07942914590239525, tir1=6.61850849352777}",33.50768280029297,"{lake_TIR=6.61850849352777, bkgd_BT=0.9033896706321023, lake_BT=4.874654134114583, bkgd_TIR=6.191457376900044}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990232011215MGR00,1.870001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29,6380.0,2011-08-03T00:10:33,215.00733155092593,15.0,"{blue=65.87275511026382, green=49.97062635421753, red=28.47893054485321, nir=10.637528077761333, swir1=0.7212126130859057, swir2=0.21708663254976274, tir1=7.775825409591198}",38.81996536254883,"{lake_TIR=7.775825409591198, bkgd_BT=31.758699519721752, lake_BT=15.158992513020833, bkgd_TIR=9.877766229785406}","{blue=8187, green=8187, red=8187, nir=8187, swir1=8187, swir2=8187, tir1=8187}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
LT50990242011183MGR00,2.9100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,217.0,2011-07-02T00:11:13,183.00779453703703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.554588317871094,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=361, green=361, red=361, nir=361, swir1=338, swir2=333, tir1=50}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.012298,52.565016000000014],[158.009398,52.547574],[158.064075,52.546554],[158.064012,52.565848],[158.012298,52.565016000000014]]]}"
