system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81110582013240LGN00,4.980000305175781,"{shadow_count=0.0, cloud_count=28.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.279,28.0,2013-08-28T01:51:45,240.07761181712962,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.017139434814453,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582013336LGN00,4.480000305175781,"{shadow_count=0.0, cloud_count=28.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,26.0,2013-12-02T01:51:20,336.0773166550926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.77445602416992,"{lake_TIR=null, bkgd_BT=20.79173380533854, lake_BT=null, bkgd_TIR=8.745997467520647}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014003LGN00,4.189999389648437,"{shadow_count=6.0, cloud_count=22.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.248,24.0,2014-01-03T01:51:05,3.0771430555555557,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.97162628173828,"{lake_TIR=null, bkgd_BT=12.723710880723111, lake_BT=null, bkgd_TIR=7.682949436741859}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014019LGN00,5.689999389648437,"{shadow_count=0.0, cloud_count=28.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.245,28.0,2014-01-19T01:50:51,19.07698446759259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.61946105957031,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014035LGN00,4.019999694824219,"{shadow_count=0.0, cloud_count=10.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.03660000000000001, green=0.0541, red=0.06732, nir=0.07082, swir1=0.06852, swir2=0.06163999999999999}}",0.25,21.0,2014-02-04T01:50:44,35.07690148148148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.057861328125,"{lake_TIR=null, bkgd_BT=26.265183731164345, lake_BT=null, bkgd_TIR=9.506358675188652}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014051LGN00,3.5699996948242188,"{shadow_count=0.0, cloud_count=0.0, water_count=8.0, snow_count=0.0, lake_SR={blue=0.03535, green=0.050324999999999995, red=0.063225, nir=0.0665375, swir1=0.06224999999999999, swir2=0.05445}}",0.252,20.0,2014-02-20T01:50:30,51.07674619212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.67182540893555,"{lake_TIR=null, bkgd_BT=27.47434454957254, lake_BT=null, bkgd_TIR=9.669755258544143}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014067LGN00,3.5300003051757813,"{shadow_count=0.0, cloud_count=28.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.254,28.0,2014-03-08T01:50:16,67.07658195601852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.08346939086914,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014083LGN00,4.689999389648437,"{shadow_count=0.0, cloud_count=0.0, water_count=9.0, snow_count=0.0, lake_SR={blue=0.030422222222222222, green=0.04716666666666666, red=0.06205555555555556, nir=0.06538888888888889, swir1=0.062122222222222225, swir2=0.05397777777777777}}",0.254,20.0,2014-03-24T01:50:03,83.07642809027777,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.029346466064453,"{lake_TIR=null, bkgd_BT=23.20147762606773, lake_BT=null, bkgd_TIR=9.068202983972025}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014099LGN00,4.619999694824219,"{shadow_count=0.0, cloud_count=28.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,28.0,2014-04-09T01:49:49,99.07626569444444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.171035766601562,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
LC81110582014115LGN00,4.35,"{shadow_count=0.0, cloud_count=28.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.251,23.0,2014-04-25T01:49:33,115.0760825925926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.709529876708984,"{lake_TIR=null, bkgd_BT=22.889862060546875, lake_BT=null, bkgd_TIR=9.020768687954511}","{blue=28, green=28, red=28, nir=28, swir1=28, swir2=28, tir1=28, tir2=28}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[125.405815,2.781598],[125.40576100000001,2.780081],[125.407405,2.780047],[125.407335,2.7815890000000003],[125.405815,2.781598]]]}"
