system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71620681999279AGS00,3.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.291,14908.0,1999-10-06T07:01:56,279.29301077546296,46.0,"{blue=47.27913450676462, green=27.706093521221824, red=13.663120912468951, nir=6.040234421906264, swir1=0.6189148620418881, swir2=0.17390872910618782, tir1=9.49858959424107, tir2=9.517523890847098}",27.95148468017578,"{lake_TIR=9.517913456074893, bkgd_BT=25.19625525917937, lake_BT=27.80677032470703, bkgd_TIR=9.167555526166328}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682000074SGS00,4.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,15226.0,2000-03-14T07:01:27,74.29267586805555,41.0,"{blue=45.48175595446331, green=31.183454632759094, red=13.968014624060654, nir=5.774976105224796, swir1=0.5577454461557109, swir2=0.15000476706318738, tir1=9.545934389640646, tir2=9.55202604457736}",33.75395584106445,"{lake_TIR=9.545934389640646, bkgd_BT=16.00903065999349, lake_BT=28.121042391149007, bkgd_TIR=7.964671974794732}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682000138SGS00,3.1800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,11763.0,2000-05-17T07:00:59,138.29235680555556,88.0,"{blue=30.931747035546735, green=16.420803385702047, red=7.666191220283508, nir=3.546519459648566, swir1=0.3568701706826687, swir2=0.07899961044842546, tir1=8.015325757082213, tir2=8.015897857067598}",42.6097297668457,"{lake_TIR=8.015325757082213, bkgd_BT=19.448980229067075, lake_BT=16.299223813143644, bkgd_TIR=8.404245403104412}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682000234SGS00,2.9399993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,10862.0,2000-08-21T06:59:54,234.29160855324074,89.0,"{blue=33.44574938463361, green=17.67227270830883, red=8.508741335922412, nir=3.7107494895377857, swir1=0.42104406621348994, swir2=0.1027868382549018, tir1=7.855917955884773, tir2=7.856442933169643}",39.26228332519531,"{lake_TIR=7.855917955884773, bkgd_BT=18.340370435556153, lake_BT=15.005267539720856, bkgd_TIR=8.26606686857226}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682000282SGS00,3.330000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.279,13921.0,2000-10-08T06:59:16,282.2911651736111,38.0,"{blue=44.8484672558935, green=30.934272361429112, red=14.843835905978555, nir=6.4294655009319905, swir1=0.6275798835252461, swir2=0.16984041270456815, tir1=9.247360200866273, tir2=9.245767647400498}",28.130992889404297,"{lake_TIR=9.247360200866273, bkgd_BT=22.41089083671832, lake_BT=25.83312907971834, bkgd_TIR=8.790975018281767}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682001060SGS00,3.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,16827.0,2001-03-01T06:59:12,60.29112261574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.878334045410156,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682001124SGS01,4.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,14888.0,2001-05-04T06:58:57,124.29094087962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.757381439208984,"{lake_TIR=null, bkgd_BT=16.92356868695609, lake_BT=null, bkgd_TIR=8.078926801379723}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682001140EDC00,4.180000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,16327.0,2001-05-20T06:58:44,140.29079512731482,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",43.43280029296875,"{lake_TIR=null, bkgd_BT=19.19209841307752, lake_BT=null, bkgd_TIR=8.36903783587321}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682001236SGS00,2.330000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,15415.0,2001-08-24T06:57:40,236.29005388888888,1.0,"{blue=44.418110847473145, green=33.54094451665878, red=16.757874488830566, nir=7.5007874965667725, swir1=0.5146457701921463, swir2=0.22066925466060638, tir1=9.056692980229855, tir2=9.003936942666769}",39.041473388671875,"{lake_TIR=9.056692980229855, bkgd_BT=14.073769463433159, lake_BT=24.51409912109375, bkgd_TIR=7.727739089656444}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
LE71620682001300SGS00,2.769999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.282,14799.0,2001-10-27T06:57:11,300.28972149305554,8.0,"{blue=45.48887857794762, green=27.35009814798832, red=13.72731339931488, nir=6.28917333483696, swir1=0.6093111298978329, swir2=0.12738677766174078, tir1=8.620629984885454, tir2=8.636540295090526}",26.940750122070312,"{lake_TIR=8.620629984885454, bkgd_BT=23.467797151015514, lake_BT=21.108009338378906, bkgd_TIR=8.932799306770566}","{blue=17045, green=17045, red=17045, nir=17045, swir1=17045, swir2=17045, tir1=17045, tir2=17045}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[43.345408,-11.746601999999996],[43.345095,-11.780944],[43.38245200000002,-11.779799],[43.382847,-11.746023000000003],[43.345408,-11.746601999999996]]]}"
