system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50980222007213MGR00,2.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,34693.0,2007-08-01T00:08:32,213.0059351273148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.03399658203125,"{lake_TIR=null, bkgd_BT=-1.0726242065429688, lake_BT=null, bkgd_TIR=5.952971561769531}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222007261MGR00,1.0100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.323,34741.0,2007-09-18T00:08:05,261.005621400463,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",53.95955276489258,"{lake_TIR=null, bkgd_BT=2.0264346474095394, lake_BT=null, bkgd_TIR=6.275710663067525}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222009170MGR01,1.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.348,31115.0,2009-06-19T00:03:25,170.00237753472223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.01674270629883,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222009186MGR01,2.2800003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.358,22725.0,2009-07-05T00:03:42,186.00257295138888,13.0,"{blue=51.970053897454186, green=34.25591883292565, red=16.898822802763718, nir=8.193646715237545, swir1=0.39841612256490266, swir2=0.10211994040470856, tir1=6.950042660992879}",34.84013748168945,"{lake_TIR=6.950042660992879, bkgd_BT=11.183215890647345, lake_BT=8.224015455979567, bkgd_TIR=7.287560783890359}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222009202MGR01,1.35,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.309,22729.0,2009-07-21T00:03:57,202.0027518634259,2547.0,"{blue=40.43840655348654, green=24.193430381613148, red=9.512825953431536, nir=5.469298090755027, swir1=0.20455372201890912, swir2=0.03563827830269892, tir1=7.7327828202155295}",37.147090911865234,"{lake_TIR=7.7327828202155295, bkgd_BT=21.60094066592429, lake_BT=14.993786863125584, bkgd_TIR=8.545025303524145}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222009234MGR01,1.2399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.293,23618.0,2009-08-22T00:04:26,234.00308721064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.17992401123047,"{lake_TIR=null, bkgd_BT=8.218098851254112, lake_BT=null, bkgd_TIR=6.949489668129306}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222009234MGR02,1.2399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.293,23654.0,2009-08-22T00:04:26,234.00308721064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.17992401123047,"{lake_TIR=null, bkgd_BT=8.52361296040811, lake_BT=null, bkgd_TIR=6.983935301744779}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980222009266MGR00,1.320001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29,21795.0,2009-09-23T00:04:53,266.0033971990741,29.0,"{blue=33.470360743588415, green=19.382210912375616, red=9.80975211077723, nir=4.712788816156058, swir1=0.3147746504380785, swir2=0.07603856741354384, tir1=6.98162200648723}",56.118629455566406,"{lake_TIR=6.981076449687992, bkgd_BT=null, lake_BT=8.500558035714286, bkgd_TIR=null}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980232007197MGR00,1.379998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.336,34700.0,2007-07-16T00:09:06,197.00632185185185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.82705307006836,"{lake_TIR=null, bkgd_BT=3.4847056703490766, lake_BT=null, bkgd_TIR=6.444352422556795}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
LT50980232007213MGR00,2.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,34669.0,2007-08-01T00:08:56,213.0062125925926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.976505279541016,"{lake_TIR=null, bkgd_BT=-0.7123581735711348, lake_BT=null, bkgd_TIR=5.989964848188193}","{blue=34815, green=34815, red=34815, nir=34815, swir1=34815, swir2=34815, tir1=34815}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.417432,54.010195],[159.418616,53.96005100000001],[159.503752,53.960699],[159.504956,54.009956999999986],[159.417432,54.010195]]]}"
