system:index,H2O,O3,date,doy,solar_z,swir,tir,vnir,.geo
20000723031430,2.6100006103515625,0.262,2000-07-23T03:14:30,205.13506944444444,34.857813,"{swir1=3.7208846153846156, swir2=1.1939076923076921, swir3=1.0168269230769231, swir4=1.143484615384615, swir5=0.623896153846154, swir6=0.5760692307692307}","{bkgd_rad={tir1=7.846390505576207, tir2=8.365310185873604, tir3=8.737237583643124, tir4=8.949967416356877, tir5=8.68231840148699}, lake_rad={tir1=8.411526, tir2=8.96768, tir3=9.46983, tir4=9.568035333333334, tir5=9.2169}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=4995.0, lake=137.0}, mean_radiance={green=45.90878832116786, red=22.242569343065703, nir=20.857883211678836}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20010131031136,5.210000610351562,0.259,2001-01-31T03:11:36,31.133055555555554,24.766881999999995,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20011023025845,5.339999389648438,0.271,2001-10-23T02:58:45,296.12413194444446,19.294380000000004,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20020118030200,5.45,0.268,2002-01-18T03:02:00,18.12638888888889,27.108879,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20020212025456,5.089999389648438,0.269,2002-02-12T02:54:56,43.12148148148148,28.062027,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=7.221003804878044, tir2=7.8588468292682885, tir3=8.349208536585369, tir4=8.533182158536587, tir5=8.18260487804878}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9066.0, lake=9.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20030506025337,4.630000305175781,0.25761666666666666,2003-05-06T02:53:37,126.12056712962963,33.673389,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=6.927741, tir2=7.495289999999999, tir3=8.0398, tir4=8.2520035, tir5=7.8740749999999995}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20030817025851,4.039999389648438,0.255,2003-08-17T02:58:51,229.12420138888888,32.191254,"{swir1=3.2388764044943836, swir2=0.17922471910112367, swir3=0.22348314606741584, swir4=0.1492134831460675, swir5=0.08258426966292137, swir6=0.16376404494382032}","{bkgd_rad={tir1=8.450073318584076, tir2=9.028184999999999, tir3=9.431121039823003, tir4=9.54726176106195, tir5=9.213778871681427}, lake_rad={tir1=8.73130725, tir2=9.3809775, tir3=9.83228, tir4=9.938554750000002, tir5=9.588528125}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=0.0, lake=367.0}, mean_radiance={green=50.85617438692077, red=21.803337874659547, nir=17.831891008174303}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20030902025854,3.519999694824219,0.258,2003-09-02T02:58:54,245.12423611111112,28.300812999999998,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20030927025307,3.6399993896484375,0.261,2003-09-27T02:53:07,270.12021990740743,23.246048000000002,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=8.452458, tir2=9.07348909090909, tir3=9.544117272727272, tir4=9.61444190909091, tir5=9.190774999999999}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20031020025934,3.5,0.252,2003-10-20T02:59:34,293.1246990740741,19.064722000000003,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=6.6280474960629965, tir2=7.163221259842515, tir3=7.578603779527561, tir4=7.64808976115485, tir5=7.334117191601058}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=3758.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20031121030022,5.2,0.2614666666666667,2003-11-21T03:00:22,325.12525462962964,21.921087999999997,"{swir1=null, swir2=null, swir3=null, swir4=null, swir5=null, swir6=null}","{bkgd_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}, lake_rad={tir1=null, tir2=null, tir3=null, tir4=null, tir5=null}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=9394.0, lake=0.0}, mean_radiance={green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
20040803025914,3.3199996948242188,0.257,2004-08-03T02:59:14,216.1244675925926,35.245767,"{swir1=4.561776666666671, swir2=1.4326000000000003, swir3=1.1989583333333333, swir4=1.1223599999999996, swir5=0.6609450000000001, swir6=0.5363600000000004}","{bkgd_rad={tir1=7.505712266009853, tir2=8.003639704433498, tir3=8.378162413793104, tir4=8.5618232906404, tir5=8.29943633004926}, lake_rad={tir1=8.094302999999998, tir2=8.69309, tir3=9.178771666666668, tir4=9.250176166666666, tir5=8.87205}}","{pixel_counts={valid={green=9394, red=9394, nir=9394}, cloud=4265.0, lake=259.0}, mean_radiance={green=56.998803738317726, red=29.63343925233645, nir=26.7139439252336}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[112.298655,-7.930490999999999],[112.29866800000002,-7.943818],[112.31228400000003,-7.9434869999999975],[112.311896,-7.930936999999999],[112.298655,-7.930490999999999]]]}"
