system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80990242013124LGN01,0.9899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.413,27419.0,2013-05-04T00:23:48,124.01653642361111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.558433532714844,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013140LGN01,1.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.396,27419.0,2013-05-20T00:24:01,140.01668532407407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.68037414550781,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013156LGN00,1.6399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.335,27339.0,2013-06-05T00:24:03,156.01670265046297,3.0,"{blue=99.77569740203519, green=68.84366457816213, red=38.645823918282986, nir=13.986473079770803, swir1=0.6602135895518586, swir2=0.15349966568949944, tir1=6.602638545911759, tir2=6.326366463210434}",31.369369506835938,"{lake_TIR=6.602638545911759, bkgd_BT=null, lake_BT=3.7362569173177085, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013172LGN00,0.9100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.366,27191.0,2013-06-21T00:23:55,172.01661394675926,19.0,"{blue=85.59864010196179, green=53.10954900365323, red=29.676894320812274, nir=10.004779387142902, swir1=0.5911966124733322, swir2=0.14945983612223676, tir1=6.1392202703466054, tir2=5.806427328620646}",30.77164077758789,"{lake_TIR=6.1392202703466054, bkgd_BT=null, lake_BT=-0.3826711554276316, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013220LGN00,3.080000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,21750.0,2013-08-08T00:24:01,220.01668104166666,1927.0,"{blue=60.03740723558895, green=36.50844655733954, red=16.99473088874458, nir=7.320872335405232, swir1=0.7887721675714903, swir2=0.19369837707910226, tir1=7.768175124703108, tir2=7.053128603131152}",37.97454833984375,"{lake_TIR=7.768175124703108, bkgd_BT=25.71588946634687, lake_BT=13.399863448486961, bkgd_TIR=9.416992097644792}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013236LGN00,1.4399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,27199.0,2013-08-24T00:24:03,236.01670238425925,8.0,"{blue=56.06675756536424, green=31.452819139230996, red=17.63543268945068, nir=6.726127824280411, swir1=0.8808076462591998, swir2=0.25056499263155274, tir1=7.363876748786424, tir2=6.8636209740361664}",42.58483123779297,"{lake_TIR=7.363876748786424, bkgd_BT=null, lake_BT=10.153858184814453, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013252LGN00,1.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.322,14978.0,2013-09-09T00:24:01,252.0166839236111,8761.0,"{blue=37.39749299318037, green=20.524812500252356, red=8.561537021160149, nir=2.6479411259303762, swir1=0.14685052981558813, swir2=0.028469659869971086, tir1=7.601688858466468, tir2=7.075738961976688}",47.901817321777344,"{lake_TIR=7.601688858466468, bkgd_BT=21.481390553069257, lake_BT=12.070297065302057, bkgd_TIR=8.84470254528262}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013268LGN00,1.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.297,12945.0,2013-09-25T00:23:53,268.016592037037,7845.0,"{blue=39.35148213085421, green=21.255640664696337, red=10.3687791223985, nir=3.141028243432224, swir1=0.2790486168608258, swir2=0.06439777635826763, tir1=6.80635325217047, tir2=6.238796281508957}",53.652984619140625,"{lake_TIR=6.80635325217047, bkgd_BT=5.8344809638129345, lake_BT=5.489661204700944, bkgd_TIR=6.8468148865053085}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013284LGN00,0.779998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.318,27073.0,2013-10-11T00:23:53,284.0165920601852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.51997947692871,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013332LGN00,0.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.377,27419.0,2013-11-28T00:23:37,332.0164049421296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",73.68952369689941,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242013364LGN00,0.579998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.475,27419.0,2013-12-30T00:23:25,364.0162657407407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",76.10300540924072,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242014015LGN00,0.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.454,27419.0,2014-01-15T00:23:09,15.016087662037037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",74.46321868896484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242014047LGN00,0.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.365,27419.0,2014-02-16T00:22:51,47.015869537037034,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",66.20042991638184,"{lake_TIR=null, bkgd_BT=-12.546168751186794, lake_BT=null, bkgd_TIR=4.888027253480686}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LC80990242014063LGN00,0.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.453,27419.0,2014-03-04T00:22:34,63.01568003472222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",60.36416435241699,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419, tir2=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
