system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51080351984108HAJ00,1.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.353,859.0,1984-04-17T00:49:11,108.03415590277778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.65409469604492,"{lake_TIR=null, bkgd_BT=-1.3376979891732799, lake_BT=null, bkgd_TIR=5.926253858274931}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984188HAJ00,4.319999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.305,859.0,1984-07-06T00:50:33,188.0351110300926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.15475082397461,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984220HAJ00,3.6899993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3,859.0,1984-08-07T00:51:30,220.03577105324075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.152748107910156,"{lake_TIR=null, bkgd_BT=5.4977683974644975, lake_BT=null, bkgd_TIR=6.662433162874758}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984284HAJ00,1.179998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,859.0,1984-10-10T00:52:06,284.0361843981481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.83233642578125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984300HAJ00,0.9899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,809.0,1984-10-26T00:52:01,300.03613216435184,34.0,"{blue=114.14768454607795, green=99.5530881706406, red=59.749095026184534, nir=18.71584028706831, swir1=1.5556693151593208, swir2=0.42839280252947526, tir1=7.068558087024619}",53.70212173461914,"{lake_TIR=7.068558087024619, bkgd_BT=3.181367450290256, lake_BT=9.268174115349264, bkgd_TIR=6.398550600123902}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984316HAJ00,2.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,859.0,1984-11-11T00:51:53,316.0360414699074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",58.23820114135742,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984332HAJ00,1.020001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,859.0,1984-11-27T00:51:54,332.03604390046297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",61.965715408325195,"{lake_TIR=null, bkgd_BT=-12.324432146990741, lake_BT=null, bkgd_TIR=4.8647929256988895}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351984348HAJ00,0.579998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,842.0,1984-12-13T00:52:04,348.03616185185183,32.0,"{blue=89.06874671578407, green=73.8891919888556, red=47.799019280821085, nir=14.942819308489561, swir1=0.6417286063078791, swir2=0.17365897307172418, tir1=6.121295982738957}",64.41617202758789,"{lake_TIR=6.121295982738957, bkgd_BT=null, lake_BT=0.553828239440918, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351985014HAJ00,0.3,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.323,859.0,1985-01-14T00:52:20,14.036346145833333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",64.25747489929199,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LT51080351985046HAJ00,0.4399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.347,859.0,1985-02-15T00:52:26,46.03641875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",57.327823638916016,"{lake_TIR=null, bkgd_BT=-20.544524330582895, lake_BT=null, bkgd_TIR=4.151603045894312}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
