system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81920302013103LGN01,0.9399993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=9.0, snow_count=0.0, lake_SR={blue=0.02752222222222222, green=0.046066666666666665, red=0.024677777777777778, nir=0.020399999999999998, swir1=0.014288888888888887, swir2=0.009944444444444443}}",0.395,64.0,2013-04-13T10:00:57,103.41733461805556,6.0,"{blue=48.96056245965883, green=36.21787225749964, red=18.19706963468343, nir=6.373388009766738, swir1=0.8247557717841119, swir2=0.18422441961592995, tir1=8.198945323762018, tir2=7.404384585912339}",37.60746383666992,"{lake_TIR=8.198945323762018, bkgd_BT=16.898122151692707, lake_BT=16.758138020833332, bkgd_TIR=8.217159229214303}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013119LGN01,2.3600006103515625,"{shadow_count=0.0, cloud_count=85.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.335,85.0,2013-04-29T10:00:55,119.41731358796297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.35675048828125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013167LGN00,2.5100006103515624,"{shadow_count=0.0, cloud_count=0.0, water_count=7.0, snow_count=0.0, lake_SR={blue=0.041114285714285714, green=0.07175714285714287, red=0.03844285714285715, nir=0.023871428571428568, swir1=0.013257142857142856, swir2=0.009442857142857142}}",0.337,66.0,2013-06-16T10:01:07,167.4174484837963,6.0,"{blue=57.48237046832219, green=50.19121410030251, red=24.28175998898223, nir=7.624619252979755, swir1=0.8849794024135917, swir2=0.2061653049410476, tir1=9.33238496305421, tir2=8.369108874700032}",25.066246032714844,"{lake_TIR=9.33238496305421, bkgd_BT=28.231321850279716, lake_BT=25.131011962890625, bkgd_TIR=9.77640491809129}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013183LGN00,2.05,"{shadow_count=0.0, cloud_count=0.0, water_count=12.0, snow_count=0.0, lake_SR={blue=0.047108333333333335, green=0.07376666666666666, red=0.04246666666666666, nir=0.034258333333333335, swir1=0.019566666666666663, swir2=0.013975000000000001}}",0.325,65.0,2013-07-02T10:01:08,183.4174571064815,6.0,"{blue=59.17572674155235, green=50.28124189376831, red=24.50402939040214, nir=7.385729128805299, swir1=0.7651558631914668, swir2=0.19071718755488595, tir1=9.601527443621308, tir2=8.568403534358367}",25.78521728515625,"{lake_TIR=9.601527443621308, bkgd_BT=29.895168726365405, lake_BT=27.032933553059895, bkgd_TIR=10.019259404244105}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013199LGN00,2.5,"{shadow_count=0.0, cloud_count=0.0, water_count=6.0, snow_count=0.0, lake_SR={blue=0.07191666666666667, green=0.09550000000000002, red=0.07048333333333333, nir=0.07184999999999998, swir1=0.03191666666666667, swir2=0.022816666666666666}}",0.338,74.0,2013-07-18T10:01:07,199.41745244212962,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.772045135498047,"{lake_TIR=null, bkgd_BT=27.725313941320508, lake_BT=null, bkgd_TIR=9.703212619214433}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013215LGN00,2.1600006103515623,"{shadow_count=0.0, cloud_count=0.0, water_count=19.0, snow_count=0.0, lake_SR={blue=0.05418947368421053, green=0.08806842105263159, red=0.057773684210526324, nir=0.04658947368421051, swir1=0.03798421052631579, swir2=0.027494736842105266}}",0.302,63.0,2013-08-03T10:01:10,215.41747908564815,8.0,"{blue=59.040080880513415, green=53.743235495407134, red=27.420610832981765, nir=8.289073856489267, swir1=1.1092566834995523, swir2=0.2567199698241893, tir1=10.539947399534867, tir2=9.348565817897907}",30.801116943359375,"{lake_TIR=10.539947399534867, bkgd_BT=34.534689491124084, lake_BT=33.43934631347656, bkgd_TIR=10.707924629550453}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013231LGN00,2.730000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=14.0, snow_count=0.0, lake_SR={blue=0.05568571428571428, green=0.08547142857142856, red=0.05343571428571427, nir=0.03555714285714285, swir1=0.026971428571428573, swir2=0.018957142857142856}}",0.306,65.0,2013-08-19T10:01:11,231.4174901388889,7.0,"{blue=59.779864099275855, green=51.63225047649549, red=26.564806554998672, nir=7.452662042608218, swir1=0.6679309359086412, swir2=0.16635816584208182, tir1=9.667285291877176, tir2=8.526851321919821}",34.734073638916016,"{lake_TIR=9.667285291877176, bkgd_BT=27.58855259894237, lake_BT=27.492924281529017, bkgd_TIR=9.683361819201453}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013247LGN00,1.920001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=16.0, snow_count=0.0, lake_SR={blue=0.04179375, green=0.07341875, red=0.04561250000000001, nir=0.028793750000000003, swir1=0.026625, swir2=0.020593749999999994}}",0.306,63.0,2013-09-04T10:01:11,247.41749807870372,11.0,"{blue=48.77278085425496, green=42.60304454341531, red=21.08182182163, nir=5.457729563879019, swir1=0.7150695991956375, swir2=0.17409005922011353, tir1=9.882883418753574, tir2=8.778990106487816}",39.43478775024414,"{lake_TIR=9.882883418753574, bkgd_BT=31.04169390166227, lake_BT=28.989263361150567, bkgd_TIR=10.185464125718832}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013279LGN00,2.35,"{shadow_count=0.0, cloud_count=39.0, water_count=11.0, snow_count=0.0, lake_SR={blue=0.07066363636363636, green=0.1345, red=0.11365454545454545, nir=0.03960909090909092, swir1=0.0232, swir2=0.015118181818181819}}",0.279,66.0,2013-10-06T10:01:03,279.41739662037037,11.0,"{blue=61.50148861076344, green=61.181213280440055, red=42.12086928669702, nir=7.288745646618984, swir1=0.7335793381048874, swir2=0.15183410072826187, tir1=8.010937512936918, tir2=7.25446039557838}",50.30925750732422,"{lake_TIR=8.010937512936918, bkgd_BT=null, lake_BT=15.306124600497158, bkgd_TIR=null}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LC81920302013295LGN00,2.2800003051757813,"{shadow_count=85.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.3,39.0,2013-10-22T10:00:57,295.41733368055554,6.0,"{blue=43.56722978595644, green=30.73876262564833, red=19.18447824800387, nir=6.24504955438897, swir1=0.6149358906550333, swir2=0.12299789319513366, tir1=8.088826390798204, tir2=7.432847294432577}",55.84121322631836,"{lake_TIR=8.088826390798204, bkgd_BT=16.44617982984029, lake_BT=15.910812377929688, bkgd_TIR=8.15829088871399}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85, tir2=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
