system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT42330761987327XXX13,1.420001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=6.0, snow_count=8.0, lake_SR={blue=0.045783333333333336, green=0.0661, red=0.07311666666666666, nir=0.06823333333333333, swir1=0.06430000000000001, swir2=0.057100000000000005}}",0.274,82.0,1987-11-23T13:52:21,327.5780299189815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.07371139526367,"{lake_TIR=null, bkgd_BT=17.953228854393775, lake_BT=null, bkgd_TIR=8.304625791215965}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989140XXX04,0.5399993896484375,"{shadow_count=0.0, cloud_count=87.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.267,84.0,1989-05-20T14:04:14,140.58627710648148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",55.78695297241211,"{lake_TIR=null, bkgd_BT=-13.302312677556818, lake_BT=null, bkgd_TIR=4.813819000666792}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989156XXX02,1.45,"{shadow_count=0.0, cloud_count=87.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,87.0,1989-06-05T14:04:18,156.5863233449074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",58.001426696777344,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989172XXX02,1.429998779296875,"{shadow_count=0.0, cloud_count=87.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.267,86.0,1989-06-21T14:04:17,172.58631461805555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",59.14229393005371,"{lake_TIR=null, bkgd_BT=-15.515286498599583, lake_BT=null, bkgd_TIR=4.631965701002628}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989188XXX02,0.95,"{shadow_count=0.0, cloud_count=87.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.274,79.0,1989-07-07T14:04:21,188.58635486111112,1.0,"{blue=26.327715396881104, green=15.836220383644104, red=11.889881134033203, nir=3.746142029762268, swir1=0.6306298971176147, swir2=0.17972439527511597, tir1=5.280303128063679}",58.93794250488281,"{lake_TIR=5.280303128063679, bkgd_BT=-19.36775297277114, lake_BT=-8.3890380859375, bkgd_TIR=4.273798970834298}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989204XXX02,1.779998779296875,"{shadow_count=0.0, cloud_count=87.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.271,87.0,1989-07-23T14:04:22,204.58637689814816,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",57.30086135864258,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989220XXX02,1.1100006103515625,"{shadow_count=0.0, cloud_count=82.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.295,82.0,1989-08-08T14:04:23,220.58638863425927,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",54.30880355834961,"{lake_TIR=null, bkgd_BT=-12.654576619466146, lake_BT=null, bkgd_TIR=4.87422701716423}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989300XXX05,1.229998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=4.0, snow_count=0.0, lake_SR={blue=0.044225, green=0.063475, red=0.075275, nir=0.070775, swir1=0.0664, swir2=0.058975}}",0.269,83.0,1989-10-27T14:04:04,300.5861676967593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.013248443603516,"{lake_TIR=null, bkgd_BT=26.55835764325297, lake_BT=null, bkgd_TIR=9.372412475966721}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989316XXX02,0.920001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=5.0, snow_count=6.0, lake_SR={blue=0.06467999999999999, green=0.08230000000000001, red=0.09490000000000001, nir=0.08648, swir1=0.06742000000000001, swir2=0.06132}}",0.282,83.0,1989-11-12T14:03:56,316.5860755324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.504940032958984,"{lake_TIR=null, bkgd_BT=23.85354043425416, lake_BT=null, bkgd_TIR=9.02263045225212}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989332XXX02,0.820001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=4.0, snow_count=0.0, lake_SR={blue=0.0643, green=0.0871, red=0.090125, nir=0.0863, swir1=0.060675, swir2=0.049525}}",0.273,84.0,1989-11-28T14:03:53,332.58604046296296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.636383056640625,"{lake_TIR=null, bkgd_BT=27.511502703352917, lake_BT=null, bkgd_TIR=9.499767181534484}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761989348XXX02,2.0100006103515624,"{shadow_count=0.0, cloud_count=0.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.04414, green=0.0617, red=0.07046, nir=0.07174, swir1=0.06824, swir2=0.05828}}",0.256,82.0,1989-12-14T14:03:51,348.5860181944444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.93196105957031,"{lake_TIR=null, bkgd_BT=27.154724050040016, lake_BT=null, bkgd_TIR=9.459461917820992}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761993039XXX02,1.3399993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=87.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,87.0,1993-02-08T13:44:06,39.572297291666665,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.84560012817383,"{lake_TIR=null, bkgd_BT=-9.029464536948584, lake_BT=null, bkgd_TIR=5.2192978571658415}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
LT42330761993055XXX02,1.2,"{shadow_count=0.0, cloud_count=19.0, water_count=0.0, snow_count=68.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.245,87.0,1993-02-24T13:44:18,55.572430625,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.51692581176758,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=87, green=87, red=87, nir=87, swir1=87, swir2=87, tir1=87}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-67.882264,-22.832576],[-67.88516499999999,-22.832319999999996],[-67.885457,-22.834699999999998],[-67.882669,-22.834941],[-67.882264,-22.832576]]]}"
