system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80170522013157LGN00,4.210000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27624553571428573,1893.0,2013-06-06T16:08:24,157.67250998842593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.83826446533203,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013173LGN00,4.430000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2775133928571429,1893.0,2013-06-22T16:08:17,173.67242587962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.813518524169922,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013189LGN00,3.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2811125,1659.0,2013-07-08T16:08:22,189.67247782407406,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.103641510009766,"{lake_TIR=null, lake_BT=null, bkgd_BT=22.278194514562287, bkgd_TIR=8.938012488923345}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013205LGN00,3.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2841875,1788.0,2013-07-24T16:08:20,205.6724644212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.641475677490234,"{lake_TIR=null, lake_BT=null, bkgd_BT=22.30857669758837, bkgd_TIR=8.941232687190375}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013221LGN00,3.2399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28575,1684.0,2013-08-09T16:08:23,221.6724924537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.680747985839844,"{lake_TIR=null, lake_BT=null, bkgd_BT=25.008807431129497, bkgd_TIR=9.324034907739417}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013237LGN00,4.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28433193277310925,1837.0,2013-08-25T16:08:25,237.6725172337963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.768043518066406,"{lake_TIR=null, lake_BT=null, bkgd_BT=20.1917477562314, bkgd_TIR=8.653779155833703}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013253LGN00,4.410000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28407058823529413,1893.0,2013-09-10T16:08:23,253.6724903472222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.6461181640625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013269LGN00,3.7899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2758883928571429,1852.0,2013-09-26T16:08:14,269.6723897800926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.894004821777344,"{lake_TIR=null, lake_BT=null, bkgd_BT=22.020807537117953, bkgd_TIR=8.90289934195587}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013285LGN00,3.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27079019607843136,1581.0,2013-10-12T16:08:15,285.6723991550926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.586170196533203,"{lake_TIR=null, lake_BT=null, bkgd_BT=24.187110602018663, bkgd_TIR=9.20101962306515}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
LC80170522013301LGN00,4.75,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2617088815789474,1889.0,2013-10-28T16:08:05,301.6722823148148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.220211029052734,"{lake_TIR=null, lake_BT=null, bkgd_BT=21.97267491364282, bkgd_TIR=8.895015542872619}","{blue=1893, green=1893, red=1893, nir=1893, swir1=1893, swir2=1893, tir1=1893, tir2=1893}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-86.174461,11.989495],[-86.174699,11.981445999999998],[-86.156787,11.981185],[-86.157029,11.989202],[-86.174461,11.989495]]]}"
