system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80420332013188LGN00,0.979998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=3970.0, snow_count=0.0, lake_SR={blue=0.04240340050377844, green=0.06710350125944586, red=0.033737078085642316, nir=-0.004722544080604531, swir1=-4.730478589419933E-5, swir2=0.001611209068010075}}",0.299,16438.0,2013-07-07T18:35:18,188.7745209490741,4357.0,"{blue=60.87330222938963, green=50.85061142369182, red=25.477767686308926, nir=3.5094285774037637, swir1=0.3618958769562264, swir2=0.09491456627584932, tir1=9.066867675309739, tir2=8.455120643573434}",24.17401123046875,"{lake_TIR=9.066867675309739, lake_BT=23.21443682327603, bkgd_BT=45.769719236342745, bkgd_TIR=12.484153069776388}","{blue=20881, green=20881, red=20881, nir=20881, swir1=20881, swir2=20881, tir1=20881, tir2=20881}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013204LGN00,1.529998779296875,"{shadow_count=0.0, cloud_count=17196.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.3,18129.0,2013-07-23T18:35:17,204.7745038888889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.340316772460938,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=18129, green=18129, red=18129, nir=18129, swir1=18129, swir2=18129, tir1=18129, tir2=18129}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013220LGN00,1.420001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=4229.0, snow_count=0.0, lake_SR={blue=0.05682331520454014, green=0.07994726885788601, red=0.04778569401749819, nir=0.006032064317805641, swir1=0.0037739654764719875, swir2=0.0032935682194372355}}",0.317,16672.0,2013-08-08T18:35:19,220.7745355787037,4513.0,"{blue=59.12621176826468, green=50.29276949947804, red=26.446621427234486, nir=3.98623599229579, swir1=0.3624023880086032, swir2=0.08649926413905501, tir1=8.9606499386808, tir2=8.349497408559062}",29.380084991455078,"{lake_TIR=8.9606499386808, lake_BT=22.441926245728485, bkgd_BT=44.14165049431884, bkgd_TIR=12.218666162315964}","{blue=21275, green=21275, red=21275, nir=21275, swir1=21275, swir2=21275, tir1=21275, tir2=21275}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013236LGN00,1.070001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=6601.0, snow_count=0.0, lake_SR={blue=0.04306386911074078, green=0.06595065899106188, red=0.035856355097712546, nir=0.002347916982275375, swir1=0.0010635206786850507, swir2=0.0011425844569004835}}",0.3,18285.0,2013-08-24T18:35:21,236.77455854166666,6661.0,"{blue=51.73737583949495, green=43.481227168754344, red=21.651385654897368, nir=3.0600223669570736, swir1=0.20119003143797423, swir2=0.04472207653605131, tir1=8.927056819741608, tir2=8.387783841827641}",33.24273681640625,"{lake_TIR=8.927056819741608, lake_BT=22.198360047385492, bkgd_BT=43.21382977360084, bkgd_TIR=12.068623143098714}","{blue=25073, green=25073, red=25073, nir=25073, swir1=25073, swir2=25073, tir1=25073, tir2=25073}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013252LGN00,0.9899993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=6532.0, snow_count=0.0, lake_SR={blue=0.03647251990202077, green=0.07108487446417636, red=0.036316212492345415, nir=0.006157134109001844, swir1=0.0022598132271892083, swir2=0.0018178658909981545}}",0.302,18342.0,2013-09-09T18:35:19,252.7745361574074,6593.0,"{blue=45.973593258813544, green=42.93503813194974, red=20.407142290108848, nir=3.5764687750706767, swir1=0.23525585537378282, swir2=0.051375644445455615, tir1=8.688507960452371, tir2=8.182760206722294}",37.856143951416016,"{lake_TIR=8.688507960452371, lake_BT=20.444132090446605, bkgd_BT=40.73321772794704, bkgd_TIR=11.66909742766388}","{blue=25068, green=25068, red=25068, nir=25068, swir1=25068, swir2=25068, tir1=25068, tir2=25068}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013268LGN00,0.720001220703125,"{shadow_count=0.0, cloud_count=2025.0, water_count=2149.0, snow_count=0.0, lake_SR={blue=0.03192959516053983, green=0.07011112145183815, red=0.036356398324802204, nir=0.007316705444392743, swir1=0.004134015821312233, swir2=0.0035068403908794722}}",0.319,15818.0,2013-09-25T18:35:11,268.77444055555554,3169.0,"{blue=40.86745218238501, green=39.24991808542979, red=19.747643451480286, nir=3.6934303066852827, swir1=0.32636825319265833, swir2=0.0872034948841688, tir1=7.772458873437425, tir2=7.341479001351203}",43.03236770629883,"{lake_TIR=7.772458873437425, lake_BT=13.43395170799826, bkgd_BT=28.74813394429659, bkgd_TIR=9.848504401789784}","{blue=19122, green=19122, red=19122, nir=19122, swir1=19122, swir2=19122, tir1=19122, tir2=19122}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013284LGN00,0.5899993896484375,"{shadow_count=0.0, cloud_count=1214.0, water_count=5653.0, snow_count=0.0, lake_SR={blue=0.021085069874403072, green=0.06243070935786316, red=0.025094887670263483, nir=0.004635149478153184, swir1=0.0015589244648858862, swir2=0.0011736776932602083}}",0.31,18251.0,2013-10-11T18:35:12,284.7744449884259,6203.0,"{blue=35.01339116430608, green=34.63357815861716, red=14.851882176054845, nir=2.6248597401405522, swir1=0.16238010012054183, swir2=0.03576130568248484, tir1=7.625153644841153, tir2=7.2085671050798314}",48.48176574707031,"{lake_TIR=7.625153644841153, lake_BT=12.264097349962341, bkgd_BT=25.10194568246435, bkgd_TIR=9.329463814525766}","{blue=24619, green=24619, red=24619, nir=24619, swir1=24619, swir2=24619, tir1=24619, tir2=24619}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013300LGN00,0.629998779296875,"{shadow_count=0.0, cloud_count=3665.0, water_count=1878.0, snow_count=0.0, lake_SR={blue=0.022438178913738047, green=0.07255644302449417, red=0.0285611821086262, nir=0.004292917997870071, swir1=0.002234078807241745, swir2=0.0018647497337593274}}",0.32,15754.0,2013-10-27T18:35:02,300.77433386574074,2902.0,"{blue=33.61172674693871, green=35.35539022701466, red=15.723128718576895, nir=2.876387849812435, swir1=0.2140343149533132, swir2=0.05427077340447443, tir1=7.504043086454706, tir2=7.127404640835093}",53.79765319824219,"{lake_TIR=7.504043086454706, lake_BT=11.290579808325212, bkgd_BT=25.10927682363447, bkgd_TIR=9.330820529527458}","{blue=18762, green=18762, red=18762, nir=18762, swir1=18762, swir2=18762, tir1=18762, tir2=18762}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013316LGN00,1.279998779296875,"{shadow_count=0.0, cloud_count=24884.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.242,25813.0,2013-11-12T18:35:02,316.77433587962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",58.52722358703613,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=25813, green=25813, red=25813, nir=25813, swir1=25813, swir2=25813, tir1=25813, tir2=25813}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LC80420332013332LGN00,0.779998779296875,"{shadow_count=516.0, cloud_count=2129.0, water_count=5756.0, snow_count=1537.0, lake_SR={blue=0.02671051077136908, green=0.05981217859624734, red=0.02624119179986103, nir=0.013878144544822791, swir1=0.009851337734537892, swir2=0.008456341209173074}}",0.257,19116.0,2013-11-28T18:34:56,332.7742614236111,6188.0,"{blue=28.967143288653695, green=25.271409859472485, red=11.352798093237348, nir=3.3051483094524867, swir1=0.39565285590357485, swir2=0.10542788514000519, tir1=6.593397455879788, tir2=6.045558645699506}",62.19071578979492,"{lake_TIR=6.593397455879788, lake_BT=3.654370525535184, bkgd_BT=null, bkgd_TIR=null}","{blue=26126, green=26126, red=26126, nir=26126, swir1=26126, swir2=26126, tir1=26126, tir2=26126}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
