system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71700332012115ASN00,0.7100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.315,0.0,2012-04-24T07:38:39,115.31851451388889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.00112533569336,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=8, green=0, red=0, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71700332012147ASN00,1.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.337,0.0,2012-05-26T07:38:57,147.31871528935184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.226951599121094,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2071, green=390, red=10, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71700332014024SG100,0.729998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,0.0,2014-01-24T07:41:08,24.320241724537038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",62.34588050842285,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=58, green=0, red=0, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71700332014040SG100,0.3399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.286,0.0,2014-02-09T07:41:14,40.32031241898148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",58.31338691711426,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=0, green=0, red=0, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71710331999214EDC00,1.6600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,28226.0,1999-08-02T07:43:28,214.32185690972221,1678.0,"{blue=45.04184552284759, green=25.56703727876188, red=12.20661468812763, nir=5.766071260970028, swir1=0.5785834386465234, swir2=0.15286074862931995, tir1=8.452913448214531, tir2=8.45701863390479}",29.42151641845703,"{lake_TIR=8.452913448214531, lake_BT=19.87926360392883, bkgd_BT=40.53176419620639, bkgd_TIR=11.338800404915329}","{blue=42576, green=42576, red=42576, nir=42576, swir1=42576, swir2=42576, tir1=42576, tir2=42576}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71710331999230EDC00,2.2,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29,30255.0,1999-08-18T07:43:24,230.32181094907406,818.0,"{blue=45.05405025085785, green=26.845709450233244, red=13.138908428201466, nir=6.192065252360038, swir1=0.654599284867057, swir2=0.1666826751347276, tir1=8.415351505038354, tir2=8.416575325038147}",32.80299758911133,"{lake_TIR=8.415351505038354, lake_BT=19.587035908967184, bkgd_BT=33.1911264358816, bkgd_TIR=10.264877193007512}","{blue=42576, green=42576, red=42576, nir=42576, swir1=42576, swir2=42576, tir1=42576, tir2=42576}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71710331999278EDC00,1.2899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,25982.0,1999-10-05T07:43:36,278.32195209490743,26.0,"{blue=45.19685101509094, green=28.532964575749176, red=15.060282083658072, nir=6.90787391937696, swir1=0.684557954279276, swir2=0.1531344296840521, tir1=7.629812291321846, tir2=7.634516916452692}",46.994728088378906,"{lake_TIR=7.629812291321846, lake_BT=13.27007821890024, bkgd_BT=26.52244747423757, bkgd_TIR=9.33140150332182}","{blue=42576, green=42576, red=42576, nir=42576, swir1=42576, swir2=42576, tir1=42576, tir2=42576}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71710331999310SGS00,0.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,42574.0,1999-11-06T07:43:27,310.3218513657407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",57.31349182128906,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=42576, green=42576, red=42576, nir=42576, swir1=42576, swir2=42576, tir1=42576, tir2=42576}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71710331999342SGS04,0.820001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,27394.0,1999-12-08T07:43:28,342.3218610185185,9039.0,"{blue=38.03621498991634, green=20.183816061061837, red=10.683839879741262, nir=4.549611019928617, swir1=0.1913236123390701, swir2=0.04963893545720414, tir1=6.530009266411092, tir2=6.528564712502716}",64.36566352844238,"{lake_TIR=6.530009266411092, lake_BT=3.739474656452897, bkgd_BT=-8.48161922089041, bkgd_TIR=5.259807171010876}","{blue=42576, green=42576, red=42576, nir=42576, swir1=42576, swir2=42576, tir1=42576, tir2=42576}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
LE71710331999358EDC00,0.520001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,26267.0,1999-12-24T07:43:26,358.32183086805554,14371.0,"{blue=31.871892003374004, green=16.19349542170375, red=7.861536690739382, nir=3.042508755187452, swir1=0.08845074041287408, swir2=0.02120396719767085, tir1=6.358472232548265, tir2=6.358771949633204}",65.61771965026855,"{lake_TIR=6.358472232548265, lake_BT=2.0914377057637776, bkgd_BT=null, bkgd_TIR=null}","{blue=42576, green=42576, red=42576, nir=42576, swir1=42576, swir2=42576, tir1=42576, tir2=42576}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[42.20037599999999,38.646483],[42.20002699999999,38.596034],[42.277779,38.59573399999999],[42.278048,38.647233],[42.20037599999999,38.646483]]]}"
