system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81070312013132LGN01,1.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.346,3581.0,2013-05-12T01:16:09,132.05288902777778,95.0,"{blue=62.493553115349066, green=36.711132946375166, red=20.67376032024622, nir=7.886945673205743, swir1=1.0041754644817527, swir2=0.271333457190715, tir1=6.899479765296718, tir2=6.42130274426094}",28.10411834716797,"{lake_TIR=6.899479765296718, lake_BT=6.288516074732731, bkgd_BT=7.930185953776042, bkgd_TIR=7.094469693140127}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013164LGN00,3.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.287,1866.0,2013-06-13T01:16:13,164.05293783564815,2012.0,"{blue=54.774055341356316, green=31.662480978345197, red=15.569818532029556, nir=6.294018068362886, swir1=0.6270997598452519, swir2=0.14497923060106466, tir1=8.209317707781477, tir2=7.520712520436591}",24.300064086914062,"{lake_TIR=8.209317707781477, lake_BT=16.837241034384512, bkgd_BT=19.31255965549503, bkgd_TIR=8.536094560767229}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013180LGN00,1.8399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.353,4652.0,2013-06-29T01:16:11,180.0529153472222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.75250244140625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013196LGN00,3.3100006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.344,2404.0,2013-07-15T01:16:13,196.05293090277777,28.0,"{blue=72.87578730195362, green=62.27988434586275, red=37.11311547484781, nir=12.812896687038508, swir1=0.9068033833256257, swir2=0.17819647895521484, tir1=8.543406162589756, tir2=7.658098161860835}",26.470184326171875,"{lake_TIR=8.543406162589756, lake_BT=19.368409293038503, bkgd_BT=18.907250852710952, bkgd_TIR=8.482299766449367}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013212LGN00,5.119999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,4652.0,2013-07-31T01:16:14,212.0529418287037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.2178955078125,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013260LGN00,1.6899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.285,2821.0,2013-09-17T01:16:11,260.0529162962963,501.0,"{blue=49.31471165476326, green=30.9612696441634, red=15.972865509750422, nir=6.303672520230021, swir1=0.7308015855381956, swir2=0.17272995790594933, tir1=8.326283900203842, tir2=7.688171834935167}",42.417842864990234,"{lake_TIR=8.326283900203842, lake_BT=17.730152731646083, bkgd_BT=17.497726006432526, bkgd_TIR=8.295756705473629}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013276LGN00,1.2899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2990491228070175,1873.0,2013-10-03T01:16:07,276.05286280092594,2629.0,"{blue=41.025810575160875, green=22.6812242100801, red=10.622762313864689, nir=3.6107803445912334, swir1=0.33503285182075637, swir2=0.08007171229480954, tir1=8.107679098533763, tir2=7.474637752092688}",47.90591812133789,"{lake_TIR=8.107679098533763, lake_BT=16.056234784160743, bkgd_BT=13.494084698420092, bkgd_TIR=7.779888171003647}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013292LGN00,0.679998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3031214574898785,2523.0,2013-10-19T01:16:04,292.0528274652778,1447.0,"{blue=38.50129374091751, green=20.969557240432863, red=10.178942010185727, nir=3.4774247706390184, swir1=0.2759037024343776, swir2=0.062228892689136985, tir1=7.60027403833157, tir2=7.0581728369395815}",53.44328689575195,"{lake_TIR=7.60027403833157, lake_BT=12.065231966494526, bkgd_BT=11.417487165609291, bkgd_TIR=7.519850967405334}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013308LGN00,1.1600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.31513815789473687,2308.0,2013-11-04T01:15:58,308.0527657986111,3.0,"{blue=48.020036263391376, green=33.05304822511971, red=19.53727704814325, nir=6.797278235821675, swir1=0.5028462773188949, swir2=0.096723009153114, tir1=7.354811571072787, tir2=6.746121788863093}",58.60337448120117,"{lake_TIR=7.354811571072787, lake_BT=10.079182942708334, bkgd_BT=9.508792338631526, bkgd_TIR=7.285207202199012}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LC81070312013324LGN00,0.7600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32855098039215686,1519.0,2013-11-20T01:15:52,324.0526860300926,2667.0,"{blue=35.723286717563006, green=19.37363615515214, red=10.156619938993481, nir=3.4290919212951283, swir1=0.2203173023096122, swir2=0.04355430706347579, tir1=6.742154243468444, tir2=6.186659543549263}",62.920379638671875,"{lake_TIR=6.742154243468444, lake_BT=4.946055849616698, bkgd_BT=1.7343754820516593, bkgd_TIR=6.374913020816837}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
