system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80100612013108LGN01,4.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.245,5973.0,2013-04-18T15:28:30,108.64479697916667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.131263732910156,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013124LGN01,4.330000305175782,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.248,2583.0,2013-05-04T15:28:30,124.64479976851852,2748.0,"{blue=36.03826938124626, green=27.958647075483338, red=11.496639530293052, nir=3.9859837559392415, swir1=0.471190322278809, swir2=0.11637625875118564, tir1=7.69102733067006, tir2=7.080188476419667}",30.97344970703125,"{lake_TIR=7.69102733067006, lake_BT=12.789273790917543, bkgd_BT=17.82392864227295, bkgd_TIR=8.34289270450854}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013156LGN00,4.0,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,3759.0,2013-06-05T15:28:44,156.6449607060185,1137.0,"{blue=41.86978723351715, green=28.74012190185933, red=13.675553199070897, nir=5.631508413925046, swir1=0.8544541999630928, swir2=0.23891502224861522, tir1=7.257505552498575, tir2=6.673485733874297}",35.116455078125,"{lake_TIR=7.257505552498575, lake_BT=9.27840641662544, bkgd_BT=6.439253743489584, bkgd_TIR=6.917120840051211}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013172LGN00,3.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,2067.0,2013-06-21T15:28:36,172.64486719907407,3107.0,"{blue=31.61943938587332, green=20.986534254976146, red=8.922493341957384, nir=2.954713211416728, swir1=0.36509442629441285, swir2=0.09462592895154724, tir1=7.572145542536036, tir2=7.014144209680677}",36.22730255126953,"{lake_TIR=7.572145542536036, lake_BT=11.836751259520463, bkgd_BT=20.310707296904933, bkgd_TIR=8.681632064804756}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013188LGN00,3.8199996948242188,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,4791.0,2013-07-07T15:28:41,188.6449244675926,457.0,"{blue=36.44350394461492, green=23.632447367085703, red=11.451967130936845, nir=4.445468393144253, swir1=0.7441927044860269, swir2=0.20833365081264832, tir1=7.31433021278412, tir2=6.789740630366668}",36.21009063720703,"{lake_TIR=7.31433021278412, lake_BT=9.744781026694133, bkgd_BT=24.786790263758295, bkgd_TIR=9.290529308754918}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013204LGN00,3.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,2963.0,2013-07-23T15:28:40,204.64490758101851,2055.0,"{blue=46.57353474626186, green=32.27910162963725, red=12.425793813053437, nir=4.271271892642226, swir1=0.6886958410025296, swir2=0.1904919872474245, tir1=7.514084183130189, tir2=6.911500586398001}",34.981361389160156,"{lake_TIR=7.514084183130189, lake_BT=11.366555541101164, bkgd_BT=20.89817849183694, bkgd_TIR=8.757883565437693}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013220LGN00,4.069999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,3050.0,2013-08-08T15:28:42,220.64494070601853,2051.0,"{blue=47.10717074152378, green=32.481355314862725, red=12.253171041863052, nir=4.2419879161482585, swir1=0.680274397824475, swir2=0.18340234757947765, tir1=7.599004789368853, tir2=6.945254481237448}",32.68707275390625,"{lake_TIR=7.599004789368853, lake_BT=12.051648493803517, bkgd_BT=26.534329249831785, bkgd_TIR=9.545153103511236}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013236LGN00,4.219999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,3990.0,2013-08-24T15:28:44,236.64496395833334,624.0,"{blue=60.966686032806486, green=43.366818100693095, red=18.99043795747014, nir=8.340128984279895, swir1=1.4783670265859632, swir2=0.41418573875545495, tir1=7.311803124544475, tir2=6.651021508471995}",29.713397979736328,"{lake_TIR=7.311803124544475, lake_BT=9.718271891276041, bkgd_BT=23.85766847672001, bkgd_TIR=9.155686542418064}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013252LGN00,3.9399993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,3375.0,2013-09-09T15:28:43,252.64494216435185,1307.0,"{blue=62.83493878759084, green=44.04624174366183, red=19.343169263902517, nir=8.136622978386475, swir1=1.48043014625397, swir2=0.41809888543849155, tir1=7.327152996917214, tir2=6.666594864827383}",26.707172393798828,"{lake_TIR=7.327152996917214, lake_BT=9.849598307416196, bkgd_BT=24.55461391151374, bkgd_TIR=9.254819727069302}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013268LGN00,3.9399993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,3249.0,2013-09-25T15:28:34,268.64484640046294,1399.0,"{blue=51.82808593943918, green=35.106979215588204, red=15.600764078243214, nir=6.280497127709533, swir1=1.1233731272218987, swir2=0.30974910149344603, tir1=7.632622869388554, tir2=7.027334889054935}",24.515975952148438,"{lake_TIR=7.632622869388554, lake_BT=12.31844839732761, bkgd_BT=26.516375324798577, bkgd_TIR=9.536841322371732}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013284LGN00,4.35,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,3729.0,2013-10-11T15:28:34,284.6448492824074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.94927215576172,"{lake_TIR=null, lake_BT=null, bkgd_BT=26.694640300049855, bkgd_TIR=9.555516886229654}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LC80100612013316LGN00,4.5,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.241,4446.0,2013-11-12T15:28:25,316.6447405324074,871.0,"{blue=45.64659535884857, green=30.54952645330689, red=14.997536783163296, nir=5.886521168012519, swir1=0.9813527120406933, swir2=0.2670482834128783, tir1=7.653615621483406, tir2=7.049367260121036}",27.710704803466797,"{lake_TIR=7.653615621483406, lake_BT=12.486980941895093, bkgd_BT=26.117864046963778, bkgd_TIR=9.48056969250383}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
