system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51240631987340BKT00,4.85,"{shadow_count=22843.0, cloud_count=61518.0, water_count=92965.0, snow_count=0.0, lake_SR={blue=0.018678544613564198, green=0.02041349970418967, red=0.01006077556069483, nir=0.023532730597536647, swir1=0.011219581562954157, swir2=0.00976993814876616}}",0.256,230310.0,1987-12-06T02:40:27,340.11142699074077,631.0,"{blue=43.77141431772199, green=26.648727178195767, red=12.505925777219177, nir=6.2492650745409986, swir1=0.48831140384573946, swir2=0.12415146723791083, tir1=8.026713868600158}",36.7554931640625,"{lake_TIR=8.026713868600158, lake_BT=17.44141568094728, bkgd_BT=16.034970818243455, bkgd_TIR=7.858059607916888}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988151BKT00,4.460000610351562,"{shadow_count=2740.0, cloud_count=347383.0, water_count=0.0, snow_count=605.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,367249.0,1988-05-30T02:42:31,151.1128672800926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.5538215637207,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.777695225905498, bkgd_TIR=7.35568826922239}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988167BKT00,3.7899993896484374,"{shadow_count=88.0, cloud_count=2574.0, water_count=138282.0, snow_count=0.0, lake_SR={blue=0.019242108878957585, green=0.020920838576242714, red=0.008758402395105768, nir=0.016139850450528164, swir1=0.004134771698413573, swir2=0.0028554598573931325}}",0.247,228209.0,1988-06-15T02:42:37,167.11293306712963,83369.0,"{blue=34.51800204519904, green=20.155409217029508, red=8.785925453358, nir=4.5694270996416035, swir1=0.181579392131013, swir2=0.041922521027502276, tir1=8.475511128528755}",43.95426940917969,"{lake_TIR=8.475511128528755, lake_BT=21.07955660236208, bkgd_BT=19.87258954605146, bkgd_TIR=8.326411923888084}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988215BKT00,4.369999694824219,"{shadow_count=17274.0, cloud_count=164830.0, water_count=38475.0, snow_count=119.0, lake_SR={blue=0.03933895256660209, green=0.0371789993502274, red=0.024714835607537317, nir=0.03774149707602289, swir1=0.01570923716699166, swir2=0.01141939961013527}}",0.256,300942.0,1988-08-02T02:42:46,215.11304287037038,2.0,"{blue=41.78133702278137, green=27.57070827484131, red=16.055611073970795, nir=6.374212980270386, swir1=0.5326574929058552, swir2=0.11220473796129227, tir1=8.353560967370868}",42.185367584228516,"{lake_TIR=8.353560967370868, lake_BT=20.102066040039062, bkgd_BT=15.898347966002918, bkgd_TIR=7.845629349449338}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988247BKT00,4.4,"{shadow_count=67892.0, cloud_count=155472.0, water_count=78594.0, snow_count=0.0, lake_SR={blue=0.03593864544367273, green=0.03222810265414646, red=0.02119331755604748, nir=0.030320561366007758, swir1=0.011804878234979629, swir2=0.009115124564216147}}",0.252,242330.0,1988-09-03T02:42:50,247.11308378472222,93.0,"{blue=49.754384738142775, green=30.542114556476633, red=16.02754719154809, nir=7.259656239581364, swir1=0.4750685920958878, swir2=0.11854840094043363, tir1=8.20857631487231}",36.609275817871094,"{lake_TIR=8.20857631487231, lake_BT=18.92927994266633, bkgd_BT=13.493335518360986, bkgd_TIR=7.575525147220503}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988263BKT00,4.589999389648438,"{shadow_count=589.0, cloud_count=640.0, water_count=42334.0, snow_count=0.0, lake_SR={blue=0.03362529408985687, green=0.033757979401900964, red=0.022596884301034348, nir=0.03945646525251682, swir1=0.019958591203284203, swir2=0.015440352907825486}}",0.258,229984.0,1988-09-19T02:42:46,263.1130384143519,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.80547332763672,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.106152069635556, bkgd_TIR=7.747102645291063}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988279BKT00,4.3899993896484375,"{shadow_count=9275.0, cloud_count=28611.0, water_count=135512.0, snow_count=0.0, lake_SR={blue=0.03184591253911312, green=0.02764412155381115, red=0.0197524064289513, nir=0.029845631383200167, swir1=0.011627794586457416, swir2=0.009039333785939137}}",0.2653632478632479,229676.0,1988-10-05T02:42:41,279.1129792939815,27.0,"{blue=49.35254409578111, green=30.802764230304295, red=15.95894659007037, nir=7.282681950816402, swir1=0.4903105983027705, swir2=0.12919948939923886, tir1=8.553522688647112}",31.896286010742188,"{lake_TIR=8.553522688647112, lake_BT=21.700703938802082, bkgd_BT=21.74638081925161, bkgd_TIR=8.560543861082596}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631988295BKT00,4.239999389648437,"{shadow_count=18270.0, cloud_count=100303.0, water_count=116902.0, snow_count=0.0, lake_SR={blue=0.030291882089271426, green=0.028236997656153066, red=0.01848942704145383, nir=0.02750423174966762, swir1=0.01416070725906809, swir2=0.011322805426770114}}",0.258,239801.0,1988-10-21T02:42:35,295.1129073611111,20.0,"{blue=48.09191946983337, green=30.28122792840004, red=14.855038183927537, nir=7.206435447931289, swir1=0.6409763917326927, swir2=0.1712008036673069, tir1=8.145908410660923}",31.43048095703125,"{lake_TIR=8.145908410660923, lake_BT=18.41899719238281, bkgd_BT=16.64026576057846, bkgd_TIR=7.936685702293436}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631989073BKT00,3.6100006103515625,"{shadow_count=45322.0, cloud_count=30652.0, water_count=0.0, snow_count=1698.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.257,298112.0,1989-03-14T02:41:24,73.1120858912037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.495384216308594,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.681398967314049, bkgd_TIR=7.0027135067382416}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LT51240631989121BKT00,3.4899993896484376,"{shadow_count=10690.0, cloud_count=25744.0, water_count=136220.0, snow_count=0.0, lake_SR={blue=0.022820142416679037, green=0.023316467479077268, red=0.012749017031273145, nir=0.02645522316840325, swir1=0.010300067537804165, swir2=0.007644005285566082}}",0.266,225379.0,1989-05-01T02:40:50,121.11169263888888,17.0,"{blue=39.62910458620857, green=23.992977885638965, red=10.98925488836625, nir=5.395127724198734, swir1=0.5149583264308817, swir2=0.12377259398207945, tir1=8.319359369795112}",39.418731689453125,"{lake_TIR=8.319359369795112, lake_BT=19.826424991383274, bkgd_BT=19.490930035916673, bkgd_TIR=8.27910108610871}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
