system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51150662007028ASA00,4.830000305175782,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,0.0,2007-01-28T02:12:34,28.09206494212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.22119903564453,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=3248, green=1256, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51150662007044ASA00,4.169999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.246,0.0,2007-02-13T02:12:36,44.09208736111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.81930160522461,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=3609, green=1498, red=52, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51150662007060ASA00,5.539999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.245,0.0,2007-03-01T02:12:35,60.09208149305555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.3429069519043,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2148, green=374, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51150662007076ASA00,5.530000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.248,0.0,2007-03-17T02:12:33,76.09205243055555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.34406661987305,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2968, green=987, red=3, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51150662007092ASA00,5.460000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,0.0,2007-04-02T02:12:29,92.09200719907408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.24971008300781,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2373, green=463, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51150662007108ASA00,5.239999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,31.0,2007-04-18T02:12:23,108.09194324074075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.11635971069336,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6452, green=3747, red=1392, nir=32, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51160661995018DKI00,5.519999694824219,"{shadow_count=0.0, cloud_count=29345.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2558214285714286,29343.0,1995-01-18T01:36:17,18.066865208333333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.75736999511719,"{lake_TIR=null, lake_BT=null, bkgd_BT=-3.0499993188241987, bkgd_TIR=5.762237137728712}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51160661995034DKI00,5.169999694824218,"{shadow_count=1152.0, cloud_count=27320.0, water_count=624.0, snow_count=0.0, lake_SR={blue=0.06957532051282052, green=0.05911105769230769, red=0.045781250000000016, nir=0.04726682692307714, swir1=0.0281536858974359, swir2=0.02265080128205134}}",0.25492916666666665,23824.0,1995-02-03T01:35:39,34.06643002314815,47.0,"{blue=173.52844478475288, green=227.39124175842773, red=183.5249784094222, nir=20.89383901180105, swir1=15.859909713426804, swir2=3.707756922124548, tir1=7.008679302211138}",43.22373580932617,"{lake_TIR=7.008679302211138, lake_BT=8.662540516954786, bkgd_BT=6.895623736788351, bkgd_TIR=6.802429712067768}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51160661995146DKI00,3.7399993896484376,"{shadow_count=0.0, cloud_count=0.0, water_count=15147.0, snow_count=0.0, lake_SR={blue=0.019968634052947857, green=0.0211892718029989, red=0.017040839770252114, nir=0.020848979996037725, swir1=0.012240357826631508, swir2=0.011610180233710674}}",0.25335972850678734,9918.0,1995-05-26T01:30:55,146.06314594907408,10175.0,"{blue=25.442370678370942, green=14.565453006125786, red=6.994049598368146, nir=2.8970663306988427, swir1=0.1053020296064583, swir2=0.01987259341326041, tir1=8.484600104779298}",49.7243537902832,"{lake_TIR=8.484600104779298, lake_BT=21.150881482623426, bkgd_BT=18.048991254705008, bkgd_TIR=8.109881176788265}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LT51160661995162DKI00,4.569999694824219,"{shadow_count=0.0, cloud_count=0.0, water_count=15521.0, snow_count=0.0, lake_SR={blue=0.021534649829263064, green=0.022088673410219545, red=0.01852494684620869, nir=0.022573268474969786, swir1=0.014505927453127525, swir2=0.013698730751884502}}",0.24879700854700854,9740.0,1995-06-11T01:30:10,162.06262148148147,8923.0,"{blue=25.3660723672284, green=14.417355986570252, red=7.0926586964813625, nir=2.915573826194758, swir1=0.16228096254915583, swir2=0.0378747053597188, tir1=8.364678590153813}",51.452369689941406,"{lake_TIR=8.364678590153813, lake_BT=20.19068308976364, bkgd_BT=16.143671390004975, bkgd_TIR=7.877706227614502}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
