system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50960641987335ASA00,4.630000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,501.0,1987-12-01T23:47:45,335.99149650462965,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.62619400024414,"{lake_TIR=null, lake_BT=null, bkgd_BT=16.763186555024426, bkgd_TIR=7.944375354274505}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641988130ASA00,3.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,540.0,1988-05-09T23:49:44,130.99287136574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.150672912597656,"{lake_TIR=null, lake_BT=null, bkgd_BT=16.25372314453125, bkgd_TIR=7.882881838828325}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989148ASA00,4.219999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249343984962406,546.0,1989-05-28T23:47:44,148.9914872337963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.90240478515625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989164ASA00,3.9699996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,358.0,1989-06-13T23:47:20,164.99120568287037,80.0,"{blue=32.26511296033859, green=18.331802870333195, red=8.878273144364357, nir=3.811843803524971, swir1=0.27991339564323425, swir2=0.05320867225527763, tir1=8.229661608533934}",45.459232330322266,"{lake_TIR=8.229661608533934, lake_BT=19.101250839233398, bkgd_BT=19.112211752092183, bkgd_TIR=8.231373752771747}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989196ASA00,4.269999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,546.0,1989-07-15T23:46:45,196.99080585648147,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.68285369873047,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989212ASA00,3.8699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,546.0,1989-07-31T23:46:26,212.99058615740742,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",44.11384201049805,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.518110625597895, bkgd_TIR=7.794735447408593}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989228ASA00,4.030000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,546.0,1989-08-16T23:46:02,228.99030289351853,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.62075424194336,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.945384216308593, bkgd_TIR=7.3741330748889595}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989260ASA01,3.8100006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,546.0,1989-09-17T23:45:11,260.9897202199074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.68609619140625,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.820202438919633, bkgd_TIR=7.830840519060278}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641989276ASA00,3.8699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,546.0,1989-10-03T23:45:03,276.98962015046294,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.52182388305664,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.468105727820088, bkgd_TIR=8.033068915815662}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641990135ASA00,4.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,546.0,1990-05-15T23:39:40,135.98588041666667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.905235290527344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641990151ASA00,4.460000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,546.0,1990-05-31T23:39:34,151.98581493055556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.77389907836914,"{lake_TIR=null, lake_BT=null, bkgd_BT=5.74387953016493, bkgd_TIR=6.675420675737162}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641990183ASA00,3.6899993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,546.0,1990-07-02T23:39:32,183.98579805555556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.57426452636719,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LT50960641990295ASA00,4.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.266,546.0,1990-10-22T23:38:56,295.9853744560185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.07646560668945,"{lake_TIR=null, lake_BT=null, bkgd_BT=14.277861022949219, bkgd_TIR=7.647255857237454}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
