system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81130662013110LGN01,4.789999389648438,"{shadow_count=102.0, cloud_count=689.0, water_count=3170.0, snow_count=0.0, lake_SR={blue=0.05058271293375365, green=0.05642971608832787, red=0.026915488958990565, nir=0.041681955835962306, swir1=0.02199391167192429, swir2=0.01548719242902213}}",0.251,7920.0,2013-04-20T02:07:03,110.08823548611112,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.925048828125,"{lake_TIR=null, lake_BT=null, bkgd_BT=16.51469956408339, bkgd_TIR=8.168000345004135}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013126LGN01,5.430000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=5469.0, snow_count=0.0, lake_SR={blue=0.01522667763759372, green=0.027531742548912122, red=-4.76869628816967E-4, nir=0.002233479612360558, swir1=7.077345035655525E-4, swir2=2.918266593527135E-4}}",0.258,7764.0,2013-05-06T02:07:05,126.08825309027777,5440.0,"{blue=43.5739252286025, green=29.754897087949384, red=9.824320730796385, nir=3.363152497183011, swir1=0.19516723814817583, swir2=0.032451768055462335, tir1=8.782811431077576, tir2=7.917470859503373}",36.58791732788086,"{lake_TIR=8.782811431077576, lake_BT=21.14898614322438, bkgd_BT=21.059936947762136, bkgd_TIR=8.770905807675305}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013142LGN01,5.419999694824218,"{shadow_count=1812.0, cloud_count=5316.0, water_count=2228.0, snow_count=0.0, lake_SR={blue=0.023698608617594225, green=0.03343716337522447, red=0.00898662477558347, nir=0.023356777378815072, swir1=0.01458761220825853, swir2=0.011381463195691218}}",0.252,8807.0,2013-05-22T02:07:17,142.08840083333334,33.0,"{blue=49.41071489557737, green=33.896475138255596, red=14.331297348902533, nir=7.412726052105427, swir1=0.8947585452115163, swir2=0.21163213385664154, tir1=8.238385999204844, tir2=7.464540603919886}",39.22344207763672,"{lake_TIR=8.238385999204844, lake_BT=17.060976895419035, bkgd_BT=16.128716095434942, bkgd_TIR=8.11768216572914}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013158LGN00,6.089999389648438,"{shadow_count=1.0, cloud_count=13389.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.239,13390.0,2013-06-07T02:07:17,158.08840034722223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.26231384277344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013174LGN00,4.6,"{shadow_count=2193.0, cloud_count=7275.0, water_count=1341.0, snow_count=0.0, lake_SR={blue=0.02234578672632366, green=0.02909597315436239, red=0.00600492170022371, nir=0.007621327367636089, swir1=0.004413646532438477, swir2=0.0032665175242356363}}",0.256,9398.0,2013-06-23T02:07:10,174.0883198726852,2720.0,"{blue=41.55838075138985, green=26.081027051405158, red=10.649244699158075, nir=4.054334178951104, swir1=0.3595150590321282, swir2=0.07899068668364849, tir1=8.58208464617436, tir2=7.74909568865953}",42.27690887451172,"{lake_TIR=8.58208464617436, lake_BT=19.6586779089535, bkgd_BT=19.988283959200277, bkgd_TIR=8.626353660540413}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013190LGN00,5.210000610351562,"{shadow_count=0.0, cloud_count=0.0, water_count=5497.0, snow_count=0.0, lake_SR={blue=0.004158850281972001, green=0.01938642896125161, red=-0.002527305803165374, nir=-0.0011386028742950732, swir1=-5.623067127523971E-5, swir2=5.8904857194832765E-5}}",0.255,7733.0,2013-07-09T02:07:15,190.0883695486111,5453.0,"{blue=37.561049284650515, green=25.368484571776968, red=9.094641226271566, nir=2.6501193574034345, swir1=0.15394392992099468, swir2=0.027621762111510444, tir1=8.63285165080827, tir2=7.787513182244015}",42.00428009033203,"{lake_TIR=8.63285165080827, lake_BT=20.03781388725422, bkgd_BT=19.931571198531103, bkgd_TIR=8.618837282226663}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013206LGN00,4.680000305175781,"{shadow_count=1177.0, cloud_count=4447.0, water_count=2758.0, snow_count=0.0, lake_SR={blue=0.03546000725163159, green=0.039206671501087684, red=0.016698368382886134, nir=0.015880928208846963, swir1=0.008865192168237852, swir2=0.006478752719361843}}",0.251,9105.0,2013-07-25T02:07:14,206.0883579398148,3085.0,"{blue=46.80998857967084, green=30.67389329733445, red=13.74786189313845, nir=5.480258813701763, swir1=0.5811475955824952, swir2=0.13160609432831602, tir1=8.65785765280559, tir2=7.910370109436129}",40.380218505859375,"{lake_TIR=8.65785765280559, lake_BT=20.22361556042342, bkgd_BT=19.53787728564232, bkgd_TIR=8.566116893251545}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013222LGN00,3.3399993896484377,"{shadow_count=824.0, cloud_count=1071.0, water_count=5037.0, snow_count=0.0, lake_SR={blue=0.0025445503275759304, green=0.02351409569187996, red=0.002661524717093499, nir=0.009126444312090552, swir1=0.006389497716895004, swir2=0.0048903712527296785}}",0.266,7744.0,2013-08-10T02:07:16,222.08838450231482,4395.0,"{blue=40.192390491132784, green=29.528636806693026, red=11.916538317370163, nir=5.2501604043337196, swir1=0.5314530509800584, swir2=0.11633242795898646, tir1=8.862006648732333, tir2=8.140633033337103}",37.54636764526367,"{lake_TIR=8.862006648732333, lake_BT=21.731193519913433, bkgd_BT=20.283757513368624, bkgd_TIR=8.666636751955414}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013238LGN00,2.7899993896484374,"{shadow_count=1866.0, cloud_count=4395.0, water_count=4613.0, snow_count=0.0, lake_SR={blue=0.01889733362237152, green=0.04632033383915022, red=0.01185950574463478, nir=0.009566507695642667, swir1=0.0045313678734012555, swir2=0.0029536527205723194}}",0.26,7955.0,2013-08-26T02:07:18,238.08841,5052.0,"{blue=43.278304465929146, green=35.96119632869251, red=12.957382829264596, nir=4.572182859551834, swir1=0.38473915836921935, swir2=0.0775875343329073, tir1=8.900167651723345, tir2=8.170399395976965}",33.84286117553711,"{lake_TIR=8.900167651723345, lake_BT=22.009800624771902, bkgd_BT=21.381365015735366, bkgd_TIR=8.81593395064773}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
LC81130662013254LGN00,4.330000305175782,"{shadow_count=1309.0, cloud_count=10793.0, water_count=681.0, snow_count=0.0, lake_SR={blue=0.041188399412628515, green=0.06822187958883995, red=0.030826725403817933, nir=0.03557973568281936, swir1=0.025385609397944185, swir2=0.02144214390602057}}",0.26,10509.0,2013-09-11T02:07:16,254.08838085648148,22.0,"{blue=64.17107538506389, green=56.29298885446042, red=25.28167665432292, nir=12.331274814395742, swir1=1.8561495448758996, swir2=0.4774671974221498, tir1=8.101809558321044, tir2=7.4151043073030785}",29.830692291259766,"{lake_TIR=8.101809558321044, lake_BT=16.008679476651277, bkgd_BT=15.161177825927734, bkgd_TIR=7.992181291867746}","{blue=13390, green=13390, red=13390, nir=13390, swir1=13390, swir2=13390, tir1=13390, tir2=13390}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[119.972304,-8.72742],[120.00390299999998,-8.727646],[120.00436899999997,-8.695455],[119.97373100000002,-8.696009],[119.972304,-8.72742]]]}"
