system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51110591999234DKI00,4.969999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,6.0,1999-08-22T01:27:35,234.06082818287038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.54261016845703,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=6, nir=6, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51110592000013DKI00,4.089999389648438,"{shadow_count=0.0, cloud_count=6.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.246,6.0,2000-01-13T01:25:04,13.059076458333333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.39763641357422,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=6, nir=6, swir1=6, swir2=6, tir1=6}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51110592000125DKI00,4.55,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,6.0,2000-05-04T01:25:37,125.0594607638889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.82362365722656,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=6, nir=6, swir1=0, swir2=6, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51110592000157DKI00,5.180000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,0.0,2000-06-05T01:26:15,157.05989649305556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.84778594970703,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51110592000173DKI01,5.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,0.0,2000-06-21T01:26:36,173.06013899305555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.86499786376953,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51120591990344XXX03,3.980000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.258,6.0,1990-12-10T01:15:36,344.05250239583336,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.914329528808594,"{lake_TIR=null, lake_BT=null, bkgd_BT=14.708669026692709, bkgd_TIR=7.698301788419485}","{blue=6, green=6, red=6, nir=6, swir1=6, swir2=6, tir1=6}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51120591991299XXX02,4.710000610351562,"{shadow_count=0.0, cloud_count=6.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.24,6.0,1991-10-26T01:20:25,299.0558474189815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.37190246582031,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=6, nir=6, swir1=6, swir2=6, tir1=6}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51120591991331XXX02,4.580000305175782,"{shadow_count=5.0, cloud_count=1.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.233,6.0,1991-11-27T01:20:37,331.0559846527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.96037292480469,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=6, nir=6, swir1=6, swir2=6, tir1=6}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51120591991347XXX02,4.430000305175781,"{shadow_count=1.0, cloud_count=5.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.242,6.0,1991-12-13T01:20:45,347.05607716435185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.32643127441406,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=6, green=6, red=6, nir=6, swir1=6, swir2=6, tir1=6}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
LT51120591991363XXX02,4.85,"{shadow_count=6.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.254,6.0,1991-12-29T01:20:36,363.05598298611113,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.95077896118164,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.519497921592311, bkgd_TIR=7.557819716219223}","{blue=6, green=6, red=6, nir=6, swir1=6, swir2=6, tir1=6}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.75175499999999,1.136233],[124.75176699999999,1.135701],[124.752405,1.1357050000000004],[124.752366,1.136243],[124.75175499999999,1.136233]]]}"
