system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70190502012129ASN00,3.0100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,112.0,2012-05-08T16:12:34,129.6753936574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.593849182128906,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=114, green=114, red=113, nir=112, swir1=0, swir2=21, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200501999212EDC01,3.5100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.285,234.0,1999-07-31T16:17:01,212.67848487268517,62.0,"{blue=128.7983761064468, green=147.48859339183377, red=95.23662270269087, nir=32.42936843152969, swir1=1.7137403264641762, swir2=0.3573183481010698, tir1=8.689880683897965, tir2=8.681696028418598}",27.297225952148438,"{lake_TIR=8.687716599553823, lake_BT=21.70770481654576, bkgd_BT=21.790823554250515, bkgd_TIR=8.69998535787839}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200501999308EDC00,2.4699996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2541084558823529,238.0,1999-11-04T16:16:59,308.67847059027775,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.22240447998047,"{lake_TIR=null, lake_BT=null, bkgd_BT=12.767208099365234, bkgd_TIR=7.569286895011152}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200501999324EDC00,1.6899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.246,227.0,1999-11-20T16:16:57,324.67844121527776,78.0,"{blue=122.8512231142093, green=138.83141848903435, red=92.31269139509935, nir=27.052230653090355, swir1=0.5745195874418968, swir2=0.09685540887025687, tir1=8.597407695192556, tir2=8.588961177147352}",40.97480010986328,"{lake_TIR=8.58708667755127, lake_BT=20.931105764288652, bkgd_BT=21.540307916379444, bkgd_TIR=8.667195988008205}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200502000023EDC00,2.2399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.246,238.0,2000-01-23T16:16:55,23.678418344907406,80.0,"{blue=142.05265936255455, green=153.32383651435376, red=113.41723190546035, nir=30.055019333958626, swir1=0.6077333739027381, swir2=0.11915597086772323, tir1=8.515807149466127, tir2=8.518880356056616}",44.710838317871094,"{lake_TIR=8.50587656505798, lake_BT=20.300124318976152, bkgd_BT=22.38534085612652, bkgd_TIR=8.779198346828872}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200502000119EDC00,2.6300003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28,238.0,2000-04-28T16:16:26,119.6780788425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.285720825195312,"{lake_TIR=null, lake_BT=null, bkgd_BT=27.686692102658796, bkgd_TIR=9.487229683561344}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200502000151EDC00,4.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,232.0,2000-05-30T16:16:03,151.6778153125,80.0,"{blue=165.52194116413594, green=188.9910997867584, red=118.1573402762413, nir=35.295216366648674, swir1=1.5496537029743194, swir2=0.3446800770238042, tir1=8.723775654938072, tir2=8.723506336985157}",25.975067138671875,"{lake_TIR=8.723775654938072, lake_BT=21.98450813293457, bkgd_BT=23.706766093975236, bkgd_TIR=8.952139541224456}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200502000167EDC00,4.010000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.273,238.0,2000-06-15T16:15:58,167.67776479166668,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.021583557128906,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.06956672668457, bkgd_TIR=8.096515807788819}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200502000231EDC00,3.3,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.283,238.0,2000-08-18T16:15:10,231.67720722222222,60.0,"{blue=155.9337028503418, green=179.9378190755844, red=116.13955643971761, nir=39.97204703092575, swir1=2.022980501502752, swir2=0.4401574358344078, tir1=8.124189036339521, tir2=8.137066878005863}",27.245201110839844,"{lake_TIR=8.124189036339521, lake_BT=17.29039764404297, bkgd_BT=18.27347843148614, bkgd_TIR=8.247939204075243}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LE70200502000263EDC00,4.569999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2746160714285714,238.0,2000-09-19T16:14:35,263.6767966203704,63.0,"{blue=141.3650812383682, green=169.46695183288483, red=118.7879979421222, nir=38.902749453272136, swir1=0.8632547138702302, swir2=0.1614422851375171, tir1=8.41244850603361, tir2=8.426968448100583}",28.554157257080078,"{lake_TIR=8.41244850603361, lake_BT=19.571451822916668, bkgd_BT=18.349896051187432, bkgd_TIR=8.257936790096505}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238, tir2=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
