system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71110591999274EDC01,4.05,"{shadow_count=0.0, cloud_count=246.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2601921568627451,246.0,1999-10-01T01:43:08,274.07162140046296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.343841552734375,"{lake_TIR=null, lake_BT=null, bkgd_BT=18.219879150390625, bkgd_TIR=8.251653604209423}","{blue=246, green=246, red=246, nir=246, swir1=246, swir2=246, tir1=246, tir2=246}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592000181EDC00,5.439999389648437,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.255,240.0,2000-06-29T01:41:46,181.0706798263889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.09667205810547,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=1, swir2=246, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592000325EDC00,4.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.241,0.0,2000-11-20T01:40:25,325.06974320601853,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.80522155761719,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001071SGS00,5.0,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.245,246.0,2001-03-12T01:40:25,71.06974070601852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.975643157958984,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=71, swir2=246, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001135DKI01,4.989999389648437,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25596031746031744,240.0,2001-05-15T01:39:59,135.06943488425927,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.77820587158203,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=192, swir2=246, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001151DKI00,5.060000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.241,246.0,2001-05-31T01:39:51,151.06935020833333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.62643814086914,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=246, swir2=246, tir1=12, tir2=12}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001167DKI01,5.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2558325791855204,246.0,2001-06-16T01:39:40,167.0692196875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.01396942138672,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=92, swir2=246, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001199EDC00,4.419999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25840625,233.0,2001-07-18T01:39:26,199.06905377314814,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.01188659667969,"{lake_TIR=null, lake_BT=null, bkgd_BT=19.366659033258173, bkgd_TIR=8.386507532003902}","{blue=246, green=246, red=246, nir=246, swir1=246, swir2=246, tir1=246, tir2=246}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001215DKI00,5.619999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,241.0,2001-08-03T01:39:13,215.06890072916667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.46118927001953,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.784309656796943, bkgd_TIR=8.186285639563478}","{blue=246, green=246, red=246, nir=246, swir1=246, swir2=246, tir1=246, tir2=246}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001231DKI00,4.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2613730158730159,237.0,2001-08-19T01:38:55,231.0687025925926,6.0,"{blue=63.88661503791809, green=55.1090544462204, red=39.44822931289673, nir=8.954724490642548, swir1=null, swir2=null, tir1=null, tir2=null}",32.22007369995117,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
LE71110592001247DKI00,4.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,221.0,2001-09-04T01:38:43,247.06855658564814,21.0,"{blue=131.8965896765391, green=116.77026466812406, red=90.1425967443557, nir=7.870041336332049, swir1=null, swir2=null, tir1=null, tir2=null}",29.819278717041016,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=246, green=246, red=246, nir=246, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.86061700000002,1.3511800000000003],[124.86501899999999,1.350986],[124.86517199999999,1.3551470000000003],[124.86073799999998,1.3552719999999996],[124.86061700000002,1.3511800000000003]]]}"
