system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51050301984151HAJ00,1.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.387,42195.0,1984-05-30T00:29:28,151.0204709375,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.72823715209961,"{lake_TIR=null, lake_BT=null, bkgd_BT=3.9642920028533877, bkgd_TIR=6.482186414636799}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984167HAJ00,1.8399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3685344129554655,41020.0,1984-06-15T00:29:46,167.0206795601852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.964046478271484,"{lake_TIR=null, lake_BT=null, bkgd_BT=10.880366315632841, bkgd_TIR=7.251345238253393}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984215HAJ00,4.269999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.277,21054.0,1984-08-02T00:30:48,215.0213979861111,16.0,"{blue=49.04018518328667, green=33.52062946557999, red=15.859865494072437, nir=7.523994021117687, swir1=0.6379675334319472, swir2=0.12859253399074078, tir1=8.3604827192612}",35.01203536987305,"{lake_TIR=8.3604827192612, lake_BT=20.156675338745117, bkgd_BT=21.191326547451602, bkgd_TIR=8.492189369492502}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984231HAJ00,1.979998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.283,20876.0,1984-08-18T00:31:19,231.02175783564815,15.0,"{blue=41.66944726308187, green=24.750004895528157, red=11.914504583676656, nir=5.206181446711223, swir1=0.5527165482441584, swir2=0.09909450113773347, tir1=8.381247974932194}",38.46946716308594,"{lake_TIR=8.381247974932194, lake_BT=20.32356974283854, bkgd_BT=22.150718082420376, bkgd_TIR=8.610575777725526}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984247HAJ00,1.720001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.282,39462.0,1984-09-03T00:31:32,247.0219076851852,2.0,"{blue=62.59283232688904, green=37.487243592739105, red=20.231516778469086, nir=9.002283930778503, swir1=0.5928346589207649, swir2=0.1777559220790863, tir1=7.495263732969761}",42.63611602783203,"{lake_TIR=7.495263732969761, lake_BT=12.98614501953125, bkgd_BT=3.718592618591291, bkgd_TIR=6.4561884727308945}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984263HAJ00,1.420001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.307,36864.0,1984-09-19T00:31:35,263.0219391087963,1.0,"{blue=51.515746116638184, green=36.826141238212585, red=18.665552139282227, nir=9.002283930778503, swir1=0.7131889909505844, swir2=0.1777559220790863, tir1=7.716759793460369}",47.3944091796875,"{lake_TIR=7.716759793460369, lake_BT=14.8646240234375, bkgd_BT=10.31481206984747, bkgd_TIR=7.194661936589649}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984279HAJ00,0.8100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.31,18911.0,1984-10-05T00:31:35,279.02193626157407,629.0,"{blue=34.087626376098974, green=18.605361559243196, red=8.723709861879698, nir=4.109643099228415, swir1=0.18757158222894033, swir2=0.029979166786507697, tir1=7.32429976259108}",52.550086975097656,"{lake_TIR=7.32429976259108, lake_BT=11.513275583142885, bkgd_BT=7.125845673999562, bkgd_TIR=6.827937313921173}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984311HAJ00,0.6399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,17365.0,1984-11-06T00:31:25,311.02181726851853,33.0,"{blue=31.72143044616237, green=17.433805505434673, red=9.427942550543582, nir=3.9850575707175513, swir1=0.3265962880669218, swir2=0.08042234566175577, tir1=6.6763995093378155}",62.678606033325195,"{lake_TIR=6.6763995093378155, lake_BT=5.752795595111269, bkgd_BT=2.3617005089189003, bkgd_TIR=6.311124938810451}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984327HAJ00,0.4899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.348,16148.0,1984-11-22T00:31:21,327.0217775115741,2387.0,"{blue=28.309988078583622, green=15.666988460199574, red=8.241532809473652, nir=3.7215531799250883, swir1=0.1830652176110276, swir2=0.03325222252825588, tir1=6.518829853402292}",66.78974533081055,"{lake_TIR=6.518829853402292, lake_BT=4.304366841693778, bkgd_BT=-1.5037190107719827, bkgd_TIR=5.909137551245063}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
LT51050301984343HAJ00,0.579998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.37,15767.0,1984-12-08T00:31:29,343.02186615740743,2772.0,"{blue=28.30225376339702, green=15.697100113781671, red=8.83778704558788, nir=3.746142029762268, swir1=0.1767612231914142, swir2=0.03281970005240533, tir1=6.317427268445298}",69.65594673156738,"{lake_TIR=6.317427268445298, lake_BT=2.4226079613271385, bkgd_BT=-6.173509941726435, bkgd_TIR=5.443701861212488}","{blue=42195, green=42195, red=42195, nir=42195, swir1=42195, swir2=42195, tir1=42195}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[144.57372900000001,43.609407999999995],[144.50191,43.60860699999999],[144.503477,43.549868000000004],[144.574938,43.550046],[144.57372900000001,43.609407999999995]]]}"
