system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80440312013154LGN00,1.070001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=2002.0, snow_count=0.0, lake_SR={blue=0.01872122877122882, green=0.023570529470529514, red=0.012683716283716347, nir=0.0073765734265734675, swir1=0.005671928071928033, swir2=0.004599800199800173}}",0.317,1815.0,2013-06-03T18:46:55,154.7825914699074,1894.0,"{blue=38.54545465310192, green=24.16908404362853, red=10.97403205546463, nir=2.9952471187110072, swir1=0.3154092146668371, swir2=0.07932964676814454, tir1=8.066164424352312, tir2=7.641996563376661}",24.72028350830078,"{lake_TIR=8.066164424352312, lake_BT=15.726194822800826, bkgd_BT=28.788830710260154, bkgd_TIR=9.85744674023008}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013170LGN00,1.270001220703125,"{shadow_count=186.0, cloud_count=2674.0, water_count=190.0, snow_count=0.0, lake_SR={blue=0.03661736842105263, green=0.04064157894736842, red=0.028329473684210522, nir=0.021891052631578953, swir1=0.02142473684210528, swir2=0.01845894736842106}}",0.361,3036.0,2013-06-19T18:46:48,170.7825092824074,245.0,"{blue=47.54164920177843, green=30.574734040992144, red=16.088697176152955, nir=5.593533108459443, swir1=0.8961457224396456, swir2=0.25088964496211774, tir1=7.370220241807782, tir2=6.792045884243003}",24.31958770751953,"{lake_TIR=7.370220241807782, lake_BT=10.196104586854274, bkgd_BT=8.565791496863731, bkgd_TIR=7.170934033337219}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013186LGN00,1.120001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=1955.0, snow_count=0.0, lake_SR={blue=0.02705570332480818, green=0.031164040920716077, red=0.019907979539641896, nir=0.014800818414322245, swir1=0.011730434782608679, swir2=0.009704552429667532}}",0.316,1862.0,2013-07-05T18:46:52,186.78254939814815,1633.0,"{blue=41.90107816238634, green=27.49885530802333, red=13.723089848737422, nir=4.800165434440955, swir1=0.6960799451442624, swir2=0.18415605465522086, tir1=8.565395255931822, tir2=8.038345530493993}",25.3360595703125,"{lake_TIR=8.565395255931822, lake_BT=19.529747537214625, bkgd_BT=27.510776874842676, bkgd_TIR=9.676423294561472}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013202LGN00,0.8600006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=1924.0, snow_count=0.0, lake_SR={blue=0.02168601871101867, green=0.02492032224532225, red=0.012848596673596627, nir=0.007083523908523933, swir1=0.004384771309771294, swir2=0.0033407484407484375}}",0.302,1898.0,2013-07-21T18:46:50,202.78252547453704,1833.0,"{blue=39.088484269546, green=24.357619206116226, red=10.925683146356354, nir=2.895143142069115, swir1=0.23718164210070322, swir2=0.054239407102478314, tir1=9.0531495665362, tir2=8.554618919757347}",27.5089111328125,"{lake_TIR=9.0531495665362, lake_BT=23.117100092861342, bkgd_BT=34.6250016387721, bkgd_TIR=10.725961626518455}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013218LGN00,1.379998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=1891.0, snow_count=0.0, lake_SR={blue=0.027271655208884166, green=0.02963929138022217, red=0.01761824431517713, nir=0.013571073506081405, swir1=0.007336329984135388, swir2=0.005359122157588563}}",0.317,1935.0,2013-08-06T18:46:53,218.7825665625,1727.0,"{blue=41.402817522595704, green=26.29150455514941, red=12.891996620563207, nir=4.638525275380869, swir1=0.4347068608663523, swir2=0.09832795128882439, tir1=8.657813639756517, tir2=8.158132241191515}",30.651329040527344,"{lake_TIR=8.657813639756517, lake_BT=20.21775589033435, bkgd_BT=29.10944169195474, bkgd_TIR=9.90813277167966}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013234LGN00,2.0100006103515624,"{shadow_count=0.0, cloud_count=451.0, water_count=1350.0, snow_count=0.0, lake_SR={blue=0.040078222222222175, green=0.04295029629629632, red=0.032055111111111055, nir=0.036197999999999994, swir1=0.016268666666666685, swir2=0.01243844444444443}}",0.307,2020.0,2013-08-22T18:46:55,234.78258561342594,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.65362548828125,"{lake_TIR=null, lake_BT=null, bkgd_BT=14.089732974183326, bkgd_TIR=7.856976709629902}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013250LGN00,1.2600006103515624,"{shadow_count=0.0, cloud_count=0.0, water_count=1871.0, snow_count=0.0, lake_SR={blue=0.01944029930518419, green=0.023699518973810795, red=0.01249657936932128, nir=0.006154195617316932, swir1=0.004158845537145931, swir2=0.003307803313735959}}",0.274,1958.0,2013-09-07T18:46:54,250.78257393518518,1786.0,"{blue=33.766609420284446, green=20.998318007508917, red=9.388687358398412, nir=2.2357231705164806, swir1=0.18021996806126425, swir2=0.04324647537323105, tir1=8.218434404064109, tir2=7.743902259886493}",39.40003967285156,"{lake_TIR=8.218434404064109, lake_BT=16.902646738631194, bkgd_BT=23.56035214467008, bkgd_TIR=9.119306275089832}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013266LGN00,1.8600006103515625,"{shadow_count=860.0, cloud_count=2616.0, water_count=281.0, snow_count=0.0, lake_SR={blue=0.02255765124555159, green=0.028058007117437736, red=0.014056939501779352, nir=0.0038572953736654807, swir1=0.005359786476868335, swir2=0.005326690391459079}}",0.327,2139.0,2013-09-23T18:46:46,266.7824876851852,751.0,"{blue=38.434699699490984, green=24.09651456096429, red=11.948662921431637, nir=3.3245217622407823, swir1=0.44461653207660656, swir2=0.12789764630860312, tir1=7.444439498834764, tir2=6.934220967673419}",44.69530487060547,"{lake_TIR=7.444439498834764, lake_BT=10.807522871522865, bkgd_BT=7.972935207930627, bkgd_TIR=7.100493334118545}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013282LGN00,0.620001220703125,"{shadow_count=0.0, cloud_count=3888.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.317,3880.0,2013-10-09T18:46:46,282.7824798263889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",50.25384521484375,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
LC80440312013298LGN00,0.65,"{shadow_count=0.0, cloud_count=0.0, water_count=1882.0, snow_count=0.0, lake_SR={blue=0.021071944739638672, green=0.023720775770456948, red=0.012290860786397403, nir=0.006228586609989347, swir1=0.00428746014877786, swir2=0.003307279489904363}}",0.246,1861.0,2013-10-25T18:46:38,298.78238667824075,1765.0,"{blue=27.835517023967068, green=16.63578619095985, red=7.327129745806327, nir=1.693535892548773, swir1=0.11476916555320532, swir2=0.02550618532252242, tir1=7.160595869308763, tir2=6.796428718483247}",55.685585021972656,"{lake_TIR=7.160595869308763, lake_BT=8.477283337298601, bkgd_BT=10.8580834584014, bkgd_TIR=7.451820482235661}","{blue=3888, green=3888, red=3888, nir=3888, swir1=3888, swir2=3888, tir1=3888, tir2=3888}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.61427,41.58948300000001],[-121.61355399999998,41.576522],[-121.58494599999999,41.575894],[-121.58547299999998,41.589223],[-121.61427,41.58948300000001]]]}"
